RevisionColumn,periods,Units,SILC_Agevs,GenderID,ValueColumn
"r_2","2008","perc_pop_fig","1","2","0.64"
"r_2","2009","perc_pop_fig","1","2","0.61"
"r_2","2010","perc_pop_fig","1","2","0.7"
"r_2","2011","perc_pop_fig","1","2","0.69"
"r_2","2012","perc_pop_fig","1","2","0.7"
"r_2","2013","perc_pop_fig","1","2","0.72"
"r_2","2014","perc_pop_fig","1","2","0.77"
"r_2","2008","perc_pop_fig","1","1","0.69"
"r_2","2009","perc_pop_fig","1","1","0.65"
"r_2","2010","perc_pop_fig","1","1","0.8"
"r_2","2011","perc_pop_fig","1","1","0.77"
"r_2","2012","perc_pop_fig","1","1","0.8"
"r_2","2013","perc_pop_fig","1","1","0.81"
"r_2","2014","perc_pop_fig","1","1","0.87"
"r_2","2008","perc_pop_fig","1","0","0.66"
"r_2","2009","perc_pop_fig","1","0","0.63"
"r_2","2010","perc_pop_fig","1","0","0.74"
"r_2","2011","perc_pop_fig","1","0","0.72"
"r_2","2012","perc_pop_fig","1","0","0.74"
"r_2","2013","perc_pop_fig","1","0","0.76"
"r_2","2014","perc_pop_fig","1","0","0.82"
"r_2","2008","perc_pop_fig","5","2","0.68"
"r_2","2009","perc_pop_fig","5","2","0.63"
"r_2","2010","perc_pop_fig","5","2","0.74"
"r_2","2011","perc_pop_fig","5","2","0.74"
"r_2","2012","perc_pop_fig","5","2","0.74"
"r_2","2013","perc_pop_fig","5","2","0.76"
"r_2","2014","perc_pop_fig","5","2","0.83"
"r_2","2008","perc_pop_fig","5","1","0.74"
"r_2","2009","perc_pop_fig","5","1","0.71"
"r_2","2010","perc_pop_fig","5","1","0.85"
"r_2","2011","perc_pop_fig","5","1","0.82"
"r_2","2012","perc_pop_fig","5","1","0.86"
"r_2","2013","perc_pop_fig","5","1","0.85"
"r_2","2014","perc_pop_fig","5","1","0.93"
"r_2","2008","perc_pop_fig","5","0","0.7"
"r_2","2009","perc_pop_fig","5","0","0.67"
"r_2","2010","perc_pop_fig","5","0","0.79"
"r_2","2011","perc_pop_fig","5","0","0.78"
"r_2","2012","perc_pop_fig","5","0","0.79"
"r_2","2013","perc_pop_fig","5","0","0.8"
"r_2","2014","perc_pop_fig","5","0","0.87"
"r_3","2015","perc_pop_fig","1","2","0.65"
"r_3","2015","perc_pop_fig","1","1","0.78"
"r_3","2015","perc_pop_fig","1","0","0.71"
"r_3","2015","perc_pop_fig","5","2","0.71"
"r_3","2015","perc_pop_fig","5","1","0.83"
"r_3","2015","perc_pop_fig","5","0","0.75"
"r_4","2016","perc_pop_fig","1","2","0.73"
"r_4","2016","perc_pop_fig","1","1","0.87"
"r_4","2016","perc_pop_fig","1","0","0.8"
"r_4","2016","perc_pop_fig","5","2","0.78"
"r_4","2016","perc_pop_fig","5","1","0.93"
"r_4","2016","perc_pop_fig","5","0","0.84"
"r_5","2017","perc_pop_fig","1","2","0.64"
"r_5","2017","perc_pop_fig","1","1","0.78"
"r_5","2017","perc_pop_fig","1","0","0.71"
"r_5","2017","perc_pop_fig","5","2","0.7"
"r_5","2017","perc_pop_fig","5","1","0.86"
"r_5","2017","perc_pop_fig","5","0","0.76"
"r_6","2018","perc_pop_fig","1","2","0.7"
"r_6","2018","perc_pop_fig","1","1","0.83"
"r_6","2018","perc_pop_fig","1","0","0.75"
"r_6","2018","perc_pop_fig","5","2","0.74"
"r_6","2018","perc_pop_fig","5","1","0.88"
"r_6","2018","perc_pop_fig","5","0","0.8"
"r_7","2019","perc_pop_fig","1","2","0.63"
"r_7","2019","perc_pop_fig","1","1","0.74"
"r_7","2019","perc_pop_fig","1","0","0.67"
"r_7","2019","perc_pop_fig","5","2","0.68"
"r_7","2019","perc_pop_fig","5","1","0.8"
"r_7","2019","perc_pop_fig","5","0","0.73"
"r_8","2020","perc_pop_fig","1","2","0.61"
"r_8","2020","perc_pop_fig","1","1","0.72"
"r_8","2020","perc_pop_fig","1","0","0.65"
"r_8","2020","perc_pop_fig","5","2","0.67"
"r_8","2020","perc_pop_fig","5","1","0.8"
"r_8","2020","perc_pop_fig","5","0","0.72"
"r_9","2021","perc_pop_fig","1","2","0.63"
"r_9","2021","perc_pop_fig","1","1","0.79"
"r_9","2021","perc_pop_fig","1","0","0.7"
"r_9","2021","perc_pop_fig","5","2","0.7"
"r_9","2021","perc_pop_fig","5","1","0.85"
"r_9","2021","perc_pop_fig","5","0","0.77"
"r_10","2022","perc_pop_fig","1","2","0.61"
"r_10","2022","perc_pop_fig","1","1","0.81"
"r_10","2022","perc_pop_fig","1","0","0.68"
"r_10","2022","perc_pop_fig","5","2","0.68"
"r_10","2022","perc_pop_fig","5","1","0.87"
"r_10","2022","perc_pop_fig","5","0","0.76"
"r_11","2023","perc_pop_fig","1","2","0.7"
"r_11","2023","perc_pop_fig","1","1","0.84"
"r_11","2023","perc_pop_fig","1","0","0.75"
"r_11","2023","perc_pop_fig","5","2","0.75"
"r_11","2023","perc_pop_fig","5","1","0.9"
"r_11","2023","perc_pop_fig","5","0","0.8"
"r_12","2024","perc_pop_fig","1","2","0.71"
"r_12","2024","perc_pop_fig","1","1","0.85"
"r_12","2024","perc_pop_fig","1","0","0.76"
"r_12","2024","perc_pop_fig","5","2","0.77"
"r_12","2024","perc_pop_fig","5","1","0.92"
"r_12","2024","perc_pop_fig","5","0","0.82"
