RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_14","2008","3.5.1.2","num","total","8532972"
"r_14","2008","3.5.1.2.1","num","total","4765700"
"r_14","2008","3.5.1.2.2","num","total","418374"
"r_14","2008","3.5.1.2.3","num","total","3348898"
"r_14","2008","3.5.1.2","num","EU","5722712"
"r_14","2008","3.5.1.2.1","num","EU","3773131"
"r_14","2008","3.5.1.2.2","num","EU","272883"
"r_14","2008","3.5.1.2.3","num","EU","1676698"
"r_14","2008","3.5.1.2","num","AT","157027"
"r_14","2008","3.5.1.2.1","num","AT","49599"
"r_14","2008","3.5.1.2.2","num","AT","20451"
"r_14","2008","3.5.1.2.3","num","AT","86977"
"r_14","2008","3.5.1.2","num","BE","93269"
"r_14","2008","3.5.1.2.1","num","BE","43418"
"r_14","2008","3.5.1.2.2","num","BE","6296"
"r_14","2008","3.5.1.2.3","num","BE","43555"
"r_14","2008","3.5.1.2","num","GB","370908"
"r_14","2008","3.5.1.2.1","num","GB","328696"
"r_14","2008","3.5.1.2.2","num","GB","25572"
"r_14","2008","3.5.1.2.3","num","GB","16640"
"r_14","2008","3.5.1.2","num","DE","759660"
"r_14","2008","3.5.1.2.1","num","DE","523580"
"r_14","2008","3.5.1.2.2","num","DE","35982"
"r_14","2008","3.5.1.2.3","num","DE","200098"
"r_14","2008","3.5.1.2","num","GR","881458"
"r_14","2008","3.5.1.2.1","num","GR","762222"
"r_14","2008","3.5.1.2.2","num","GR","56899"
"r_14","2008","3.5.1.2.3","num","GR","62337"
"r_14","2008","3.5.1.2","num","DK","122364"
"r_14","2008","3.5.1.2.1","num","DK","110140"
"r_14","2008","3.5.1.2.2","num","DK","3726"
"r_14","2008","3.5.1.2.3","num","DK","8498"
"r_14","2008","3.5.1.2","num","IE","67090"
"r_14","2008","3.5.1.2.1","num","IE","62249"
"r_14","2008","3.5.1.2.2","num","IE","3912"
"r_14","2008","3.5.1.2.3","num","IE","929"
"r_14","2008","3.5.1.2","num","ES","40869"
"r_14","2008","3.5.1.2.1","num","ES","29614"
"r_14","2008","3.5.1.2.2","num","ES","8414"
"r_14","2008","3.5.1.2.3","num","ES","2841"
"r_14","2008","3.5.1.2","num","IT","104931"
"r_14","2008","3.5.1.2.1","num","IT","58341"
"r_14","2008","3.5.1.2.2","num","IT","32498"
"r_14","2008","3.5.1.2.3","num","IT","14092"
"r_14","2008","3.5.1.2","num","CY","24324"
"r_14","2008","3.5.1.2.1","num","CY","16726"
"r_14","2008","3.5.1.2.2","num","CY","3101"
"r_14","2008","3.5.1.2.3","num","CY","4497"
"r_14","2008","3.5.1.2","num","MT","10757"
"r_14","2008","3.5.1.2.1","num","MT","9766"
"r_14","2008","3.5.1.2.2","num","MT","879"
"r_14","2008","3.5.1.2.3","num","MT","112"
"r_14","2008","3.5.1.2","num","NL","165231"
"r_14","2008","3.5.1.2.1","num","NL","63278"
"r_14","2008","3.5.1.2.2","num","NL","8682"
"r_14","2008","3.5.1.2.3","num","NL","93271"
"r_14","2008","3.5.1.2","num","PL","257713"
"r_14","2008","3.5.1.2.1","num","PL","136784"
"r_14","2008","3.5.1.2.2","num","PL","5794"
"r_14","2008","3.5.1.2.3","num","PL","115135"
"r_14","2008","3.5.1.2","num","PT","11536"
"r_14","2008","3.5.1.2.1","num","PT","9141"
