RevisionColumn,periods,Units,GenderID,ValueColumn
"r_2","2008","perc_pop_fig","2","0.36"
"r_2","2009","perc_pop_fig","2","0.34"
"r_2","2010","perc_pop_fig","2","0.4"
"r_2","2011","perc_pop_fig","2","0.39"
"r_2","2012","perc_pop_fig","2","0.38"
"r_2","2013","perc_pop_fig","2","0.37"
"r_2","2014","perc_pop_fig","2","0.44"
"r_2","2008","perc_pop_fig","1","0.37"
"r_2","2009","perc_pop_fig","1","0.39"
"r_2","2010","perc_pop_fig","1","0.51"
"r_2","2011","perc_pop_fig","1","0.46"
"r_2","2012","perc_pop_fig","1","0.52"
"r_2","2013","perc_pop_fig","1","0.46"
"r_2","2014","perc_pop_fig","1","0.51"
"r_2","2008","perc_pop_fig","0","0.34"
"r_2","2009","perc_pop_fig","0","0.34"
"r_2","2010","perc_pop_fig","0","0.43"
"r_2","2011","perc_pop_fig","0","0.41"
"r_2","2012","perc_pop_fig","0","0.42"
"r_2","2013","perc_pop_fig","0","0.39"
"r_2","2014","perc_pop_fig","0","0.44"
"r_3","2015","perc_pop_fig","2","0.38"
"r_3","2015","perc_pop_fig","1","0.47"
"r_3","2015","perc_pop_fig","0","0.41"
"r_4","2016","perc_pop_fig","2","0.42"
"r_4","2016","perc_pop_fig","1","0.5"
"r_4","2016","perc_pop_fig","0","0.45"
"r_5","2017","perc_pop_fig","2","0.33"
"r_5","2017","perc_pop_fig","1","0.43"
"r_5","2017","perc_pop_fig","0","0.37"
"r_6","2018","perc_pop_fig","2","0.36"
"r_6","2018","perc_pop_fig","1","0.49"
"r_6","2018","perc_pop_fig","0","0.41"
"r_7","2019","perc_pop_fig","2","0.35"
"r_7","2019","perc_pop_fig","1","0.42"
"r_7","2019","perc_pop_fig","0","0.37"
"r_8","2020","perc_pop_fig","2","0.32"
"r_8","2020","perc_pop_fig","1","0.38"
"r_8","2020","perc_pop_fig","0","0.34"
"r_9","2021","perc_pop_fig","2","0.34"
"r_9","2021","perc_pop_fig","1","0.39"
"r_9","2021","perc_pop_fig","0","0.35"
"r_10","2022","perc_pop_fig","2","0.34"
"r_10","2022","perc_pop_fig","1","0.43"
"r_10","2022","perc_pop_fig","0","0.36"
"r_11","2023","perc_pop_fig","2","0.46"
"r_11","2023","perc_pop_fig","1","0.48"
"r_11","2023","perc_pop_fig","0","0.46"
"r_12","2024","perc_pop_fig","2","0.44"
"r_12","2024","perc_pop_fig","1","0.46"
"r_12","2024","perc_pop_fig","0","0.43"
