RevisionColumn,SILC_Edu,Units,periods,ValueColumn
"r_2","1","perc_pop_fig","2008","21.3"
"r_2","1","perc_pop_fig","2009","22.7"
"r_2","1","perc_pop_fig","2010","26.4"
"r_2","1","perc_pop_fig","2011","30.6"
"r_2","1","perc_pop_fig","2012","26.9"
"r_2","1","perc_pop_fig","2013","30.2"
"r_2","1","perc_pop_fig","2014","35.5"
"r_2","2","perc_pop_fig","2008","5.2"
"r_2","2","perc_pop_fig","2009","5.4"
"r_2","2","perc_pop_fig","2010","5.3"
"r_2","2","perc_pop_fig","2011","5.8"
"r_2","2","perc_pop_fig","2012","5.9"
"r_2","2","perc_pop_fig","2013","5"
"r_2","2","perc_pop_fig","2014","7.2"
"r_2","3","perc_pop_fig","2008","1.3"
"r_2","3","perc_pop_fig","2009","1.6"
"r_2","3","perc_pop_fig","2010","1.6"
"r_2","3","perc_pop_fig","2011","1"
"r_2","3","perc_pop_fig","2012","2.1"
"r_2","3","perc_pop_fig","2013","1.5"
"r_2","3","perc_pop_fig","2014","1.7"
"r_3","1","perc_pop_fig","2015","31.2"
"r_3","2","perc_pop_fig","2015","5.9"
"r_3","3","perc_pop_fig","2015","1.6"
"r_4","1","perc_pop_fig","2016","38.3"
"r_4","2","perc_pop_fig","2016","10.5"
"r_4","3","perc_pop_fig","2016","2.5"
"r_5","1","perc_pop_fig","2017","39.2"
"r_5","2","perc_pop_fig","2017","8.1"
"r_5","3","perc_pop_fig","2017","1.4"
"r_6","1","perc_pop_fig","2018","34.1"
"r_6","2","perc_pop_fig","2018","8.6"
"r_6","3","perc_pop_fig","2018","2.4"
"r_7","1","perc_pop_fig","2019","34"
"r_7","2","perc_pop_fig","2019","6.9"
"r_7","3","perc_pop_fig","2019","2.3"
"r_8","1","perc_pop_fig","2020","36.6"
"r_8","2","perc_pop_fig","2020","7.4"
"r_8","3","perc_pop_fig","2020","2.1"
"r_9","1","perc_pop_fig","2021","31.3"
"r_9","2","perc_pop_fig","2021","9.1"
"r_9","3","perc_pop_fig","2021","3.3"
"r_10","1","perc_pop_fig","2022","35.6"
"r_10","2","perc_pop_fig","2022","8.4"
"r_10","3","perc_pop_fig","2022","3"
"r_11","1","perc_pop_fig","2023","37.2"
"r_11","2","perc_pop_fig","2023","10.8"
"r_11","3","perc_pop_fig","2023","3.2"
"r_12","1","perc_pop_fig","2024","35"
"r_12","2","perc_pop_fig","2024","11.3"
"r_12","3","perc_pop_fig","2024","4.8"
