RevisionColumn,SILC_Activity,Units,periods,ValueColumn
"r_2","6","perc_pop_fig","2008","20.3"
"r_2","6","perc_pop_fig","2009","24.2"
"r_2","6","perc_pop_fig","2010","30.3"
"r_2","6","perc_pop_fig","2011","33"
"r_2","6","perc_pop_fig","2012","27.9"
"r_2","6","perc_pop_fig","2013","20.9"
"r_2","6","perc_pop_fig","2014","27.8"
"r_2","7","perc_pop_fig","2008","6.3"
"r_2","7","perc_pop_fig","2009","6.2"
"r_2","7","perc_pop_fig","2010","6.4"
"r_2","7","perc_pop_fig","2011","7"
"r_2","7","perc_pop_fig","2012","6.6"
"r_2","7","perc_pop_fig","2013","6.4"
"r_2","7","perc_pop_fig","2014","8.1"
"r_3","6","perc_pop_fig","2015","30.3"
"r_3","7","perc_pop_fig","2015","6.7"
"r_4","6","perc_pop_fig","2016","42.2"
"r_4","7","perc_pop_fig","2016","10.2"
"r_5","6","perc_pop_fig","2017","35.6"
"r_5","7","perc_pop_fig","2017","8.3"
"r_6","6","perc_pop_fig","2018","34.4"
"r_6","7","perc_pop_fig","2018","8.6"
"r_7","6","perc_pop_fig","2019","30.8"
"r_7","7","perc_pop_fig","2019","7.8"
"r_8","6","perc_pop_fig","2020","33.6"
"r_8","7","perc_pop_fig","2020","8.4"
"r_9","6","perc_pop_fig","2021","25.4"
"r_9","7","perc_pop_fig","2021","8.9"
"r_10","6","perc_pop_fig","2022","23.5"
"r_10","7","perc_pop_fig","2022","9"
"r_11","6","perc_pop_fig","2023","30.1"
"r_11","7","perc_pop_fig","2023","10.3"
"r_12","6","perc_pop_fig","2024","29.2"
"r_12","7","perc_pop_fig","2024","10.6"
