RevisionColumn,GenderID,SILC_Age,SILC_Median,Units,periods,ValueColumn
"r_2","0","0","5","euro","2008","2662"
"r_2","0","0","5","euro","2009","3278"
"r_2","0","0","5","euro","2010","3498"
"r_2","0","0","5","euro","2011","3429"
"r_2","0","0","5","euro","2012","3276"
"r_2","0","0","5","euro","2013","3509"
"r_2","0","0","5","euro","2014","3907"
"r_2","0","0","5","BGN_fig","2008","5207"
"r_2","0","0","5","BGN_fig","2009","6411"
"r_2","0","0","5","BGN_fig","2010","6841"
"r_2","0","0","5","BGN_fig","2011","6707"
"r_2","0","0","5","BGN_fig","2012","6408"
"r_2","0","0","5","BGN_fig","2013","6863"
"r_2","0","0","5","BGN_fig","2014","7642"
"r_2","0","0","6","euro","2008","2171"
"r_2","0","0","6","euro","2009","2828"
"r_2","0","0","6","euro","2010","3017"
"r_2","0","0","6","euro","2011","2914"
"r_2","0","0","6","euro","2012","2860"
"r_2","0","0","6","euro","2013","2924"
"r_2","0","0","6","euro","2014","3311"
"r_2","0","0","6","BGN_fig","2008","4247"
"r_2","0","0","6","BGN_fig","2009","5530"
"r_2","0","0","6","BGN_fig","2010","5900"
"r_2","0","0","6","BGN_fig","2011","5700"
"r_2","0","0","6","BGN_fig","2012","5593"
"r_2","0","0","6","BGN_fig","2013","5718"
"r_2","0","0","6","BGN_fig","2014","6476"
"r_2","1","0","5","euro","2008","2725"
"r_2","1","0","5","euro","2009","3349"
"r_2","1","0","5","euro","2010","3550"
"r_2","1","0","5","euro","2011","3479"
"r_2","1","0","5","euro","2012","3338"
"r_2","1","0","5","euro","2013","3552"
"r_2","1","0","5","euro","2014","3995"
"r_2","1","0","5","BGN_fig","2008","5329"
"r_2","1","0","5","BGN_fig","2009","6549"
"r_2","1","0","5","BGN_fig","2010","6944"
"r_2","1","0","5","BGN_fig","2011","6804"
"r_2","1","0","5","BGN_fig","2012","6528"
"r_2","1","0","5","BGN_fig","2013","6947"
"r_2","1","0","5","BGN_fig","2014","7813"
"r_2","1","0","6","euro","2008","2218"
"r_2","1","0","6","euro","2009","2900"
"r_2","1","0","6","euro","2010","3095"
"r_2","1","0","6","euro","2011","2977"
"r_2","1","0","6","euro","2012","2939"
"r_2","1","0","6","euro","2013","2983"
"r_2","1","0","6","euro","2014","3372"
"r_2","1","0","6","BGN_fig","2008","4338"
"r_2","1","0","6","BGN_fig","2009","5672"
"r_2","1","0","6","BGN_fig","2010","6054"
"r_2","1","0","6","BGN_fig","2011","5823"
"r_2","1","0","6","BGN_fig","2012","5747"
"r_2","1","0","6","BGN_fig","2013","5833"
"r_2","1","0","6","BGN_fig","2014","6595"
"r_2","2","0","5","euro","2008","2604"
"r_2","2","0","5","euro","2009","3212"
"r_2","2","0","5","euro","2010","3448"
"r_2","2","0","5","euro","2011","3383"
"r_2","2","0","5","euro","2012","3218"
"r_2","2","0","5","euro","2013","3468"
"r_2","2","0","5","euro","2014","3824"
"r_2","2","0","5","BGN_fig","2008","5092"
"r_2","2","0","5","BGN_fig","2009","6281"
"r_2","2","0","5","BGN_fig","2010","6744"
"r_2","2","0","5","BGN_fig","2011","6616"
"r_2","2","0","5","BGN_fig","2012","6294"
"r_2","2","0","5","BGN_fig","2013","6784"
"r_2","2","0","5","BGN_fig","2014","7480"
"r_2","2","0","6","euro","2008","2131"
"r_2","2","0","6","euro","2009","2762"
"r_2","2","0","6","euro","2010","2925"
"r_2","2","0","6","euro","2011","2814"
"r_2","2","0","6","euro","2012","2776"
"r_2","2","0","6","euro","2013","2860"
"r_2","2","0","6","euro","2014","3260"
"r_2","2","0","6","BGN_fig","2008","4167"
"r_2","2","0","6","BGN_fig","2009","5401"
"r_2","2","0","6","BGN_fig","2010","5720"
"r_2","2","0","6","BGN_fig","2011","5504"
"r_2","2","0","6","BGN_fig","2012","5428"
"r_2","2","0","6","BGN_fig","2013","5593"
"r_2","2","0","6","BGN_fig","2014","6375"
"r_2","0","1","5","euro","2008","2526"
"r_2","0","1","5","euro","2009","3109"
"r_2","0","1","5","euro","2010","3220"
"r_2","0","1","5","euro","2011","3118"
"r_2","0","1","5","euro","2012","2922"
"r_2","0","1","5","euro","2013","3047"
"r_2","0","1","5","euro","2014","3390"
"r_2","0","1","5","BGN_fig","2008","4940"
"r_2","0","1","5","BGN_fig","2009","6081"
"r_2","0","1","5","BGN_fig","2010","6297"
"r_2","0","1","5","BGN_fig","2011","6098"
"r_2","0","1","5","BGN_fig","2012","5715"
"r_2","0","1","5","BGN_fig","2013","5960"
"r_2","0","1","5","BGN_fig","2014","6630"
"r_2","0","1","6","euro","2008","2082"
"r_2","0","1","6","euro","2009","2768"
"r_2","0","1","6","euro","2010","2750"
"r_2","0","1","6","euro","2011","2680"
"r_2","0","1","6","euro","2012","2624"
"r_2","0","1","6","euro","2013","2634"
"r_2","0","1","6","euro","2014","2892"
"r_2","0","1","6","BGN_fig","2008","4072"
"r_2","0","1","6","BGN_fig","2009","5414"
"r_2","0","1","6","BGN_fig","2010","5378"
"r_2","0","1","6","BGN_fig","2011","5242"
"r_2","0","1","6","BGN_fig","2012","5132"
"r_2","0","1","6","BGN_fig","2013","5151"
"r_2","0","1","6","BGN_fig","2014","5656"
"r_2","1","1","5","euro","2008","2560"
"r_2","1","1","5","euro","2009","3093"
"r_2","1","1","5","euro","2010","3220"
"r_2","1","1","5","euro","2011","3121"
"r_2","1","1","5","euro","2012","2940"
"r_2","1","1","5","euro","2013","3143"
"r_2","1","1","5","euro","2014","3514"
"r_2","1","1","5","BGN_fig","2008","5007"
"r_2","1","1","5","BGN_fig","2009","6049"
"r_2","1","1","5","BGN_fig","2010","6297"
"r_2","1","1","5","BGN_fig","2011","6104"
"r_2","1","1","5","BGN_fig","2012","5749"
"r_2","1","1","5","BGN_fig","2013","6148"
"r_2","1","1","5","BGN_fig","2014","6873"
"r_2","1","1","6","euro","2008","2038"
"r_2","1","1","6","euro","2009","2748"
"r_2","1","1","6","euro","2010","2735"
"r_2","1","1","6","euro","2011","2713"
"r_2","1","1","6","euro","2012","2658"
"r_2","1","1","6","euro","2013","2682"
"r_2","1","1","6","euro","2014","2960"
"r_2","1","1","6","BGN_fig","2008","3985"
"r_2","1","1","6","BGN_fig","2009","5375"
"r_2","1","1","6","BGN_fig","2010","5349"
"r_2","1","1","6","BGN_fig","2011","5306"
"r_2","1","1","6","BGN_fig","2012","5198"
"r_2","1","1","6","BGN_fig","2013","5245"
"r_2","1","1","6","BGN_fig","2014","5789"
"r_2","2","1","5","euro","2008","2490"
"r_2","2","1","5","euro","2009","3126"
"r_2","2","1","5","euro","2010","3220"
"r_2","2","1","5","euro","2011","3115"
"r_2","2","1","5","euro","2012","2903"
"r_2","2","1","5","euro","2013","2944"
"r_2","2","1","5","euro","2014","3259"
"r_2","2","1","5","BGN_fig","2008","4870"
"r_2","2","1","5","BGN_fig","2009","6114"
"r_2","2","1","5","BGN_fig","2010","6297"
"r_2","2","1","5","BGN_fig","2011","6092"
"r_2","2","1","5","BGN_fig","2012","5678"
"r_2","2","1","5","BGN_fig","2013","5758"
"r_2","2","1","5","BGN_fig","2014","6375"
"r_2","2","1","6","euro","2008","2136"
"r_2","2","1","6","euro","2009","2798"
"r_2","2","1","6","euro","2010","2775"
"r_2","2","1","6","euro","2011","2625"
"r_2","2","1","6","euro","2012","2594"
"r_2","2","1","6","euro","2013","2603"
"r_2","2","1","6","euro","2014","2839"
"r_2","2","1","6","BGN_fig","2008","4177"
"r_2","2","1","6","BGN_fig","2009","5472"
"r_2","2","1","6","BGN_fig","2010","5427"
"r_2","2","1","6","BGN_fig","2011","5133"
"r_2","2","1","6","BGN_fig","2012","5073"
"r_2","2","1","6","BGN_fig","2013","5090"
"r_2","2","1","6","BGN_fig","2014","5553"
"r_2","0","2","5","euro","2008","2898"
"r_2","0","2","5","euro","2009","3586"
"r_2","0","2","5","euro","2010","3782"
"r_2","0","2","5","euro","2011","3701"
"r_2","0","2","5","euro","2012","3552"
