RevisionColumn,SILC_HHType,SILC_Median,Units,periods,ValueColumn
"r_2","1","5","euro","2008","1699"
"r_2","1","5","euro","2009","2086"
"r_2","1","5","euro","2010","2378"
"r_2","1","5","euro","2011","2335"
"r_2","1","5","euro","2012","2346"
"r_2","1","5","euro","2013","2647"
"r_2","1","5","euro","2014","3279"
"r_2","1","5","BGN_fig","2008","3324"
"r_2","1","5","BGN_fig","2009","4081"
"r_2","1","5","BGN_fig","2010","4652"
"r_2","1","5","BGN_fig","2011","4567"
"r_2","1","5","BGN_fig","2012","4589"
"r_2","1","5","BGN_fig","2013","5177"
"r_2","1","5","BGN_fig","2014","6414"
"r_2","1","6","euro","2008","1221"
"r_2","1","6","euro","2009","1493"
"r_2","1","6","euro","2010","1774"
"r_2","1","6","euro","2011","1715"
"r_2","1","6","euro","2012","1841"
"r_2","1","6","euro","2013","2009"
"r_2","1","6","euro","2014","2556"
"r_2","1","6","BGN_fig","2008","2387"
"r_2","1","6","BGN_fig","2009","2921"
"r_2","1","6","BGN_fig","2010","3470"
"r_2","1","6","BGN_fig","2011","3355"
"r_2","1","6","BGN_fig","2012","3601"
"r_2","1","6","BGN_fig","2013","3930"
"r_2","1","6","BGN_fig","2014","5000"
"r_2","12","5","euro","2008","2390"
"r_2","12","5","euro","2009","3027"
"r_2","12","5","euro","2010","3092"
"r_2","12","5","euro","2011","3149"
"r_2","12","5","euro","2012","2422"
"r_2","12","5","euro","2013","2762"
"r_2","12","5","euro","2014","2621"
"r_2","12","5","BGN_fig","2008","4674"
"r_2","12","5","BGN_fig","2009","5919"
"r_2","12","5","BGN_fig","2010","6047"
"r_2","12","5","BGN_fig","2011","6160"
"r_2","12","5","BGN_fig","2012","4738"
"r_2","12","5","BGN_fig","2013","5403"
"r_2","12","5","BGN_fig","2014","5126"
"r_2","12","6","euro","2008","1641"
"r_2","12","6","euro","2009","2457"
"r_2","12","6","euro","2010","2257"
"r_2","12","6","euro","2011","2449"
"r_2","12","6","euro","2012","1943"
"r_2","12","6","euro","2013","2298"
"r_2","12","6","euro","2014","2266"
"r_2","12","6","BGN_fig","2008","3209"
"r_2","12","6","BGN_fig","2009","4806"
"r_2","12","6","BGN_fig","2010","4413"
"r_2","12","6","BGN_fig","2011","4790"
"r_2","12","6","BGN_fig","2012","3800"
"r_2","12","6","BGN_fig","2013","4494"
"r_2","12","6","BGN_fig","2014","4432"
"r_2","20","5","euro","2008","2490"
"r_2","20","5","euro","2009","3064"
"r_2","20","5","euro","2010","3504"
"r_2","20","5","euro","2011","3493"
"r_2","20","5","euro","2012","3349"
"r_2","20","5","euro","2013","3388"
"r_2","20","5","euro","2014","4113"
"r_2","20","5","BGN_fig","2008","4870"
"r_2","20","5","BGN_fig","2009","5992"
"r_2","20","5","BGN_fig","2010","6852"
"r_2","20","5","BGN_fig","2011","6832"
"r_2","20","5","BGN_fig","2012","6550"
"r_2","20","5","BGN_fig","2013","6627"
"r_2","20","5","BGN_fig","2014","8045"
"r_2","20","6","euro","2008","1898"
"r_2","20","6","euro","2009","2379"
"r_2","20","6","euro","2010","2836"
"r_2","20","6","euro","2011","2689"
"r_2","20","6","euro","2012","2729"
"r_2","20","6","euro","2013","2718"
"r_2","20","6","euro","2014","3443"
"r_2","20","6","BGN_fig","2008","3712"
"r_2","20","6","BGN_fig","2009","4653"
"r_2","20","6","BGN_fig","2010","5546"
"r_2","20","6","BGN_fig","2011","5259"
"r_2","20","6","BGN_fig","2012","5336"
"r_2","20","6","BGN_fig","2013","5316"
"r_2","20","6","BGN_fig","2014","6734"
"r_2","8","5","euro","2008","3110"
"r_2","8","5","euro","2009","3948"
"r_2","8","5","euro","2010","4318"
"r_2","8","5","euro","2011","4353"
"r_2","8","5","euro","2012","4126"
"r_2","8","5","euro","2013","4001"
"r_2","8","5","euro","2014","4883"
"r_2","8","5","BGN_fig","2008","6083"
"r_2","8","5","BGN_fig","2009","7721"
"r_2","8","5","BGN_fig","2010","8444"
"r_2","8","5","BGN_fig","2011","8514"
"r_2","8","5","BGN_fig","2012","8069"
"r_2","8","5","BGN_fig","2013","7825"
"r_2","8","5","BGN_fig","2014","9549"
"r_2","8","6","euro","2008","2461"
"r_2","8","6","euro","2009","3297"
"r_2","8","6","euro","2010","3600"
"r_2","8","6","euro","2011","3507"
"r_2","8","6","euro","2012","3496"
"r_2","8","6","euro","2013","3372"
"r_2","8","6","euro","2014","4066"
"r_2","8","6","BGN_fig","2008","4813"
"r_2","8","6","BGN_fig","2009","6448"
"r_2","8","6","BGN_fig","2010","7041"
"r_2","8","6","BGN_fig","2011","6858"
"r_2","8","6","BGN_fig","2012","6838"
"r_2","8","6","BGN_fig","2013","6595"
"r_2","8","6","BGN_fig","2014","7952"
"r_2","13","5","euro","2008","3088"
"r_2","13","5","euro","2009","4012"
"r_2","13","5","euro","2010","3982"
"r_2","13","5","euro","2011","4346"
"r_2","13","5","euro","2012","3700"
"r_2","13","5","euro","2013","3723"
"r_2","13","5","euro","2014","4230"
"r_2","13","5","BGN_fig","2008","6040"
"r_2","13","5","BGN_fig","2009","7847"
"r_2","13","5","BGN_fig","2010","7789"
"r_2","13","5","BGN_fig","2011","8500"
"r_2","13","5","BGN_fig","2012","7237"
"r_2","13","5","BGN_fig","2013","7281"
"r_2","13","5","BGN_fig","2014","8274"
"r_2","13","6","euro","2008","2456"
"r_2","13","6","euro","2009","3380"
"r_2","13","6","euro","2010","3389"
"r_2","13","6","euro","2011","3585"
"r_2","13","6","euro","2012","3221"
"r_2","13","6","euro","2013","3277"
"r_2","13","6","euro","2014","3503"
"r_2","13","6","BGN_fig","2008","4804"
"r_2","13","6","BGN_fig","2009","6611"
"r_2","13","6","BGN_fig","2010","6628"
"r_2","13","6","BGN_fig","2011","7011"
"r_2","13","6","BGN_fig","2012","6300"
"r_2","13","6","BGN_fig","2013","6408"
"r_2","13","6","BGN_fig","2014","6852"
"r_2","14","5","euro","2008","2989"
"r_2","14","5","euro","2009","3535"
"r_2","14","5","euro","2010","3637"
"r_2","14","5","euro","2011","3546"
"r_2","14","5","euro","2012","3278"
"r_2","14","5","euro","2013","3631"
"r_2","14","5","euro","2014","3965"
"r_2","14","5","BGN_fig","2008","5845"
"r_2","14","5","BGN_fig","2009","6913"
"r_2","14","5","BGN_fig","2010","7114"
"r_2","14","5","BGN_fig","2011","6936"
"r_2","14","5","BGN_fig","2012","6412"
"r_2","14","5","BGN_fig","2013","7102"
"r_2","14","5","BGN_fig","2014","7755"
"r_2","14","6","euro","2008","2447"
"r_2","14","6","euro","2009","3112"
"r_2","14","6","euro","2010","3128"
"r_2","14","6","euro","2011","2971"
"r_2","14","6","euro","2012","2819"
"r_2","14","6","euro","2013","2860"
"r_2","14","6","euro","2014","3222"
"r_2","14","6","BGN_fig","2008","4786"
"r_2","14","6","BGN_fig","2009","6087"
"r_2","14","6","BGN_fig","2010","6118"
"r_2","14","6","BGN_fig","2011","5810"
"r_2","14","6","BGN_fig","2012","5514"
"r_2","14","6","BGN_fig","2013","5593"
"r_2","14","6","BGN_fig","2014","6301"
"r_2","15","5","euro","2008","1321"
"r_2","15","5","euro","2009","1629"
"r_2","15","5","euro","2010","1866"
"r_2","15","5","euro","2011","1581"
"r_2","15","5","euro","2012","1564"
"r_2","15","5","euro","2013","1407"
"r_2","15","5","euro","2014","1829"
"r_2","15","5","BGN_fig","2008","2583"
"r_2","15","5","BGN_fig","2009","3187"
"r_2","15","5","BGN_fig","2010","3649"
"r_2","15","5","BGN_fig","2011","3092"
"r_2","15","5","BGN_fig","2012","3058"
"r_2","15","5","BGN_fig","2013","2752"
"r_2","15","5","BGN_fig","2014","3577"
"r_2","15","6","euro","2008","908"
"r_2","15","6","euro","2009","1227"
"r_2","15","6","euro","2010","1324"
"r_2","15","6","euro","2011","1269"
"r_2","15","6","euro","2012","1196"
"r_2","15","6","euro","2013","1367"
"r_2","15","6","euro","2014","1169"
"r_2","15","6","BGN_fig","2008","1776"
"r_2","15","6","BGN_fig","2009","2400"
"r_2","15","6","BGN_fig","2010","2589"
"r_2","15","6","BGN_fig","2011","2482"
"r_2","15","6","BGN_fig","2012","2339"
"r_2","15","6","BGN_fig","2013","2674"
"r_2","15","6","BGN_fig","2014","2286"
"r_2","18","5","euro","2008","2812"
"r_2","18","5","euro","2009","3537"
"r_2","18","5","euro","2010","3849"
"r_2","18","5","euro","2011","3805"
"r_2","18","5","euro","2012","3715"
"r_2","18","5","euro","2013","3952"
"r_2","18","5","euro","2014","4456"
"r_2","18","5","BGN_fig","2008","5500"
"r_2","18","5","BGN_fig","2009","6917"
"r_2","18","5","BGN_fig","2010","7527"
"r_2","18","5","BGN_fig","2011","7443"
"r_2","18","5","BGN_fig","2012","7267"
"r_2","18","5","BGN_fig","2013","7729"
"r_2","18","5","BGN_fig","2014","8716"
"r_2","18","6","euro","2008","2336"
"r_2","18","6","euro","2009","2970"
"r_2","18","6","euro","2010","3377"
"r_2","18","6","euro","2011","3213"
"r_2","18","6","euro","2012","3136"
"r_2","18","6","euro","2013","3257"
"r_2","18","6","euro","2014","3781"
"r_2","18","6","BGN_fig","2008","4569"
"r_2","18","6","BGN_fig","2009","5810"
"r_2","18","6","BGN_fig","2010","6605"
"r_2","18","6","BGN_fig","2011","6284"
"r_2","18","6","BGN_fig","2012","6134"
"r_2","18","6","BGN_fig","2013","6371"
"r_2","18","6","BGN_fig","2014","7394"
"r_2","17","5","euro","2008","2688"
"r_2","17","5","euro","2009","3254"
"r_2","17","5","euro","2010","3414"
"r_2","17","5","euro","2011","3325"
"r_2","17","5","euro","2012","3135"
"r_2","17","5","euro","2013","3341"
"r_2","17","5","euro","2014","3654"
"r_2","17","5","BGN_fig","2008","5257"
"r_2","17","5","BGN_fig","2009","6364"
"r_2","17","5","BGN_fig","2010","6676"
"r_2","17","5","BGN_fig","2011","6504"
"r_2","17","5","BGN_fig","2012","6132"
"r_2","17","5","BGN_fig","2013","6534"
"r_2","17","5","BGN_fig","2014","7147"
"r_2","17","6","euro","2008","2251"
"r_2","17","6","euro","2009","2882"
"r_2","17","6","euro","2010","2956"
"r_2","17","6","euro","2011","2886"
"r_2","17","6","euro","2012","2860"
"r_2","17","6","euro","2013","2892"
"r_2","17","6","euro","2014","3159"
"r_2","17","6","BGN_fig","2008","4403"
"r_2","17","6","BGN_fig","2009","5637"
"r_2","17","6","BGN_fig","2010","5782"
"r_2","17","6","BGN_fig","2011","5644"
"r_2","17","6","BGN_fig","2012","5594"
"r_2","17","6","BGN_fig","2013","5656"
"r_2","17","6","BGN_fig","2014","6179"
"r_2","10","5","euro","2008","3098"
"r_2","10","5","euro","2009","3974"
"r_2","10","5","euro","2010","4174"
"r_2","10","5","euro","2011","4084"
"r_2","10","5","euro","2012","4100"
"r_2","10","5","euro","2013","4520"
"r_2","10","5","euro","2014","4821"
"r_2","10","5","BGN_fig","2008","6059"
"r_2","10","5","BGN_fig","2009","7773"
"r_2","10","5","BGN_fig","2010","8164"
"r_2","10","5","BGN_fig","2011","7987"
"r_2","10","5","BGN_fig","2012","8019"
"r_2","10","5","BGN_fig","2013","8841"
"r_2","10","5","BGN_fig","2014","9429"
"r_2","10","6","euro","2008","2800"
"r_2","10","6","euro","2009","3465"
"r_2","10","6","euro","2010","3803"
"r_2","10","6","euro","2011","3651"
"r_2","10","6","euro","2012","3556"
"r_2","10","6","euro","2013","3731"
"r_2","10","6","euro","2014","4169"
"r_2","10","6","BGN_fig","2008","5476"
"r_2","10","6","BGN_fig","2009","6776"
"r_2","10","6","BGN_fig","2010","7437"
"r_2","10","6","BGN_fig","2011","7140"
"r_2","10","6","BGN_fig","2012","6955"
"r_2","10","6","BGN_fig","2013","7298"
"r_2","10","6","BGN_fig","2014","8153"
"r_2","3","5","euro","2008","2653"
"r_2","3","5","euro","2009","3319"
"r_2","3","5","euro","2010","3623"
"r_2","3","5","euro","2011","3573"
"r_2","3","5","euro","2012","3483"
"r_2","3","5","euro","2013","3722"
"r_2","3","5","euro","2014","4236"
"r_2","3","5","BGN_fig","2008","5189"
"r_2","3","5","BGN_fig","2009","6491"
"r_2","3","5","BGN_fig","2010","7087"
"r_2","3","5","BGN_fig","2011","6989"
"r_2","3","5","BGN_fig","2012","6812"
"r_2","3","5","BGN_fig","2013","7280"
"r_2","3","5","BGN_fig","2014","8284"
"r_2","3","6","euro","2008","2127"
"r_2","3","6","euro","2009","2738"
"r_2","3","6","euro","2010","3139"
"r_2","3","6","euro","2011","2977"
"r_2","3","6","euro","2012","2921"
"r_2","3","6","euro","2013","3017"
"r_2","3","6","euro","2014","3550"
"r_2","3","6","BGN_fig","2008","4160"
"r_2","3","6","BGN_fig","2009","5355"
"r_2","3","6","BGN_fig","2010","6139"
"r_2","3","6","BGN_fig","2011","5822"
"r_2","3","6","BGN_fig","2012","5713"
"r_2","3","6","BGN_fig","2013","5900"
"r_2","3","6","BGN_fig","2014","6943"
"r_2","11","5","euro","2008","2680"
"r_2","11","5","euro","2009","3247"
"r_2","11","5","euro","2010","3400"
"r_2","11","5","euro","2011","3318"
"r_2","11","5","euro","2012","3101"
"r_2","11","5","euro","2013","3310"
"r_2","11","5","euro","2014","3597"
"r_2","11","5","BGN_fig","2008","5241"
"r_2","11","5","BGN_fig","2009","6351"
"r_2","11","5","BGN_fig","2010","6649"
"r_2","11","5","BGN_fig","2011","6490"
"r_2","11","5","BGN_fig","2012","6065"
"r_2","11","5","BGN_fig","2013","6474"
"r_2","11","5","BGN_fig","2014","7034"
"r_2","11","6","euro","2008","2216"
"r_2","11","6","euro","2009","2876"
"r_2","11","6","euro","2010","2920"
"r_2","11","6","euro","2011","2854"
"r_2","11","6","euro","2012","2805"
"r_2","11","6","euro","2013","2852"
"r_2","11","6","euro","2014","3109"
"r_2","11","6","BGN_fig","2008","4335"
"r_2","11","6","BGN_fig","2009","5624"
"r_2","11","6","BGN_fig","2010","5711"
"r_2","11","6","BGN_fig","2011","5583"
"r_2","11","6","BGN_fig","2012","5486"
"r_2","11","6","BGN_fig","2013","5579"
"r_2","11","6","BGN_fig","2014","6081"
"r_3","1","5","euro","2015","3128"
"r_3","1","5","BGN_fig","2015","6118"
"r_3","1","6","euro","2015","2255"
"r_3","1","6","BGN_fig","2015","4410"
"r_3","12","5","euro","2015","2903"
"r_3","12","5","BGN_fig","2015","5677"
"r_3","12","6","euro","2015","2599"
"r_3","12","6","BGN_fig","2015","5084"
"r_3","20","5","euro","2015","4163"
"r_3","20","5","BGN_fig","2015","8142"
"r_3","20","6","euro","2015","3309"
"r_3","20","6","BGN_fig","2015","6471"
"r_3","8","5","euro","2015","5081"
"r_3","8","5","BGN_fig","2015","9938"
"r_3","8","6","euro","2015","4134"
"r_3","8","6","BGN_fig","2015","8086"
"r_3","13","5","euro","2015","4886"
"r_3","13","5","BGN_fig","2015","9555"
"r_3","13","6","euro","2015","3915"
"r_3","13","6","BGN_fig","2015","7657"
"r_3","14","5","euro","2015","4632"
"r_3","14","5","BGN_fig","2015","9059"
"r_3","14","6","euro","2015","3798"
"r_3","14","6","BGN_fig","2015","7429"
"r_3","15","5","euro","2015","2022"
"r_3","15","5","BGN_fig","2015","3955"
"r_3","15","6","euro","2015","1460"
"r_3","15","6","BGN_fig","2015","2855"
"r_3","18","5","euro","2015","4449"
"r_3","18","5","BGN_fig","2015","8701"
"r_3","18","6","euro","2015","3656"
"r_3","18","6","BGN_fig","2015","7151"
"r_3","17","5","euro","2015","4117"
"r_3","17","5","BGN_fig","2015","8052"
"r_3","17","6","euro","2015","3380"
"r_3","17","6","BGN_fig","2015","6610"
"r_3","10","5","euro","2015","4803"
"r_3","10","5","BGN_fig","2015","9393"
"r_3","10","6","euro","2015","4041"
"r_3","10","6","BGN_fig","2015","7903"
"r_3","3","5","euro","2015","4142"
"r_3","3","5","BGN_fig","2015","8102"
"r_3","3","6","euro","2015","3344"
"r_3","3","6","BGN_fig","2015","6541"
"r_3","11","5","euro","2015","4042"
"r_3","11","5","BGN_fig","2015","7906"
"r_3","11","6","euro","2015","3331"
"r_3","11","6","BGN_fig","2015","6515"
"r_5","1","5","euro","2016","3064"
