RevisionColumn,SILC_Activity,SILC_Age,SILC_Median,Units,periods,ValueColumn
"r_2","1","2","5","euro","2008","3321"
"r_2","1","2","5","euro","2009","4068"
"r_2","1","2","5","euro","2010","4267"
"r_2","1","2","5","euro","2011","4265"
"r_2","1","2","5","euro","2012","4087"
"r_2","1","2","5","euro","2013","4404"
"r_2","1","2","5","euro","2014","4898"
"r_2","1","3","5","euro","2008","3023"
"r_2","1","3","5","euro","2009","3860"
"r_2","1","3","5","euro","2010","4674"
"r_2","1","3","5","euro","2011","4852"
"r_2","1","3","5","euro","2012","4688"
"r_2","1","3","5","euro","2013","6080"
"r_2","1","3","5","euro","2014","6673"
"r_2","1","2","5","BGN_fig","2008","6494"
"r_2","1","2","5","BGN_fig","2009","7957"
"r_2","1","2","5","BGN_fig","2010","8346"
"r_2","1","2","5","BGN_fig","2011","8342"
"r_2","1","2","5","BGN_fig","2012","7993"
"r_2","1","2","5","BGN_fig","2013","8614"
"r_2","1","2","5","BGN_fig","2014","9580"
"r_2","1","3","5","BGN_fig","2008","5912"
"r_2","1","3","5","BGN_fig","2009","7550"
"r_2","1","3","5","BGN_fig","2010","9141"
"r_2","1","3","5","BGN_fig","2011","9490"
"r_2","1","3","5","BGN_fig","2012","9168"
"r_2","1","3","5","BGN_fig","2013","11891"
"r_2","1","3","5","BGN_fig","2014","13051"
"r_2","1","2","6","euro","2008","2838"
"r_2","1","2","6","euro","2009","3519"
"r_2","1","2","6","euro","2010","3702"
"r_2","1","2","6","euro","2011","3651"
"r_2","1","2","6","euro","2012","3545"
"r_2","1","2","6","euro","2013","3699"
"r_2","1","2","6","euro","2014","4093"
"r_2","1","3","6","euro","2008","2727"
"r_2","1","3","6","euro","2009","3437"
"r_2","1","3","6","euro","2010","3651"
"r_2","1","3","6","euro","2011","3896"
"r_2","1","3","6","euro","2012","3927"
"r_2","1","3","6","euro","2013","4744"
"r_2","1","3","6","euro","2014","5110"
"r_2","1","2","6","BGN_fig","2008","5551"
"r_2","1","2","6","BGN_fig","2009","6882"
"r_2","1","2","6","BGN_fig","2010","7241"
"r_2","1","2","6","BGN_fig","2011","7140"
"r_2","1","2","6","BGN_fig","2012","6933"
"r_2","1","2","6","BGN_fig","2013","7234"
"r_2","1","2","6","BGN_fig","2014","8004"
"r_2","1","3","6","BGN_fig","2008","5334"
"r_2","1","3","6","BGN_fig","2009","6722"
"r_2","1","3","6","BGN_fig","2010","7141"
"r_2","1","3","6","BGN_fig","2011","7620"
"r_2","1","3","6","BGN_fig","2012","7681"
"r_2","1","3","6","BGN_fig","2013","9279"
"r_2","1","3","6","BGN_fig","2014","9994"
"r_2","2","2","5","euro","2008","2034"
"r_2","2","2","5","euro","2009","2596"
"r_2","2","2","5","euro","2010","2884"
"r_2","2","2","5","euro","2011","2766"
"r_2","2","2","5","euro","2012","2710"
"r_2","2","2","5","euro","2013","2923"
"r_2","2","2","5","euro","2014","3104"
"r_2","2","3","5","euro","2008","1839"
"r_2","2","3","5","euro","2009","2228"
"r_2","2","3","5","euro","2010","2638"
"r_2","2","3","5","euro","2011","2675"
"r_2","2","3","5","euro","2012","2585"
"r_2","2","3","5","euro","2013","2727"
"r_2","2","3","5","euro","2014","3217"
"r_2","2","2","5","BGN_fig","2008","3978"
"r_2","2","2","5","BGN_fig","2009","5076"
"r_2","2","2","5","BGN_fig","2010","5640"
"r_2","2","2","5","BGN_fig","2011","5410"
"r_2","2","2","5","BGN_fig","2012","5300"
"r_2","2","2","5","BGN_fig","2013","5717"
"r_2","2","2","5","BGN_fig","2014","6071"
"r_2","2","3","5","BGN_fig","2008","3597"
"r_2","2","3","5","BGN_fig","2009","4357"
"r_2","2","3","5","BGN_fig","2010","5159"
"r_2","2","3","5","BGN_fig","2011","5231"
"r_2","2","3","5","BGN_fig","2012","5056"
"r_2","2","3","5","BGN_fig","2013","5333"
"r_2","2","3","5","BGN_fig","2014","6293"
"r_2","2","2","6","euro","2008","1636"
"r_2","2","2","6","euro","2009","2277"
"r_2","2","2","6","euro","2010","2491"
"r_2","2","2","6","euro","2011","2309"
"r_2","2","2","6","euro","2012","2341"
"r_2","2","2","6","euro","2013","2404"
"r_2","2","2","6","euro","2014","2671"
"r_2","2","3","6","euro","2008","1551"
"r_2","2","3","6","euro","2009","1873"
"r_2","2","3","6","euro","2010","2286"
"r_2","2","3","6","euro","2011","2200"
"r_2","2","3","6","euro","2012","2183"
"r_2","2","3","6","euro","2013","2290"
"r_2","2","3","6","euro","2014","2763"
"r_2","2","2","6","BGN_fig","2008","3199"
"r_2","2","2","6","BGN_fig","2009","4454"
"r_2","2","2","6","BGN_fig","2010","4873"
"r_2","2","2","6","BGN_fig","2011","4516"
"r_2","2","2","6","BGN_fig","2012","4579"
"r_2","2","2","6","BGN_fig","2013","4703"
"r_2","2","2","6","BGN_fig","2014","5224"
"r_2","2","3","6","BGN_fig","2008","3033"
"r_2","2","3","6","BGN_fig","2009","3664"
"r_2","2","3","6","BGN_fig","2010","4471"
"r_2","2","3","6","BGN_fig","2011","4304"
"r_2","2","3","6","BGN_fig","2012","4269"
"r_2","2","3","6","BGN_fig","2013","4478"
"r_2","2","3","6","BGN_fig","2014","5403"
"r_2","3","2","5","euro","2008","1445"
"r_2","3","2","5","euro","2009","1959"
"r_2","3","2","5","euro","2010","2154"
"r_2","3","2","5","euro","2011","1996"
"r_2","3","2","5","euro","2012","2098"
"r_2","3","2","5","euro","2013","2080"
"r_2","3","2","5","euro","2014","2339"
"r_2","3","2","5","BGN_fig","2008","2827"
"r_2","3","2","5","BGN_fig","2009","3831"
"r_2","3","2","5","BGN_fig","2010","4213"
"r_2","3","2","5","BGN_fig","2011","3904"
"r_2","3","2","5","BGN_fig","2012","4104"
"r_2","3","2","5","BGN_fig","2013","4069"
"r_2","3","2","5","BGN_fig","2014","4574"
"r_2","3","2","6","euro","2008","1163"
"r_2","3","2","6","euro","2009","1618"
"r_2","3","2","6","euro","2010","1859"
"r_2","3","2","6","euro","2011","1692"
"r_2","3","2","6","euro","2012","1730"
"r_2","3","2","6","euro","2013","1839"
"r_2","3","2","6","euro","2014","1981"
"r_2","3","2","6","BGN_fig","2008","2274"
"r_2","3","2","6","BGN_fig","2009","3164"
"r_2","3","2","6","BGN_fig","2010","3637"
"r_2","3","2","6","BGN_fig","2011","3310"
"r_2","3","2","6","BGN_fig","2012","3384"
"r_2","3","2","6","BGN_fig","2013","3596"
"r_2","3","2","6","BGN_fig","2014","3875"
