RevisionColumn,NUTS,periods,ValueColumn
"r_2","BG","2008","35.9"
"r_2","BG","2009","33.4"
"r_2","BG","2010","33.2"
"r_2","BG","2011","35"
"r_2","BG","2012","33.6"
"r_2","BG","2013","35.4"
"r_2","BG","2014","35.4"
"r_2","BG31","2008","38.3"
"r_2","BG31","2009","35.3"
"r_2","BG31","2010","33.6"
"r_2","BG31","2011","36"
"r_2","BG31","2012","32.8"
"r_2","BG31","2013","30.9"
"r_2","BG31","2014","33.8"
"r_2","BG311","2008","29.3"
"r_2","BG311","2009","33.7"
"r_2","BG311","2010","28.6"
"r_2","BG311","2011","36.1"
"r_2","BG311","2012","40.7"
"r_2","BG311","2013","34.5"
"r_2","BG311","2014","41.5"
"r_2","BG313","2008","36.2"
"r_2","BG313","2009","33.7"
"r_2","BG313","2010","29.7"
"r_2","BG313","2011","33.1"
"r_2","BG313","2012","32"
"r_2","BG313","2013","34.4"
"r_2","BG313","2014","39.5"
"r_2","BG315","2008","35.1"
"r_2","BG315","2009","35.9"
"r_2","BG315","2010","37.3"
"r_2","BG315","2011","35.3"
"r_2","BG315","2012","30.2"
"r_2","BG315","2013","31.9"
"r_2","BG315","2014","30.1"
"r_2","BG312","2008","48.2"
"r_2","BG312","2009","43.8"
"r_2","BG312","2010","35.9"
"r_2","BG312","2011","34"
"r_2","BG312","2012","35"
"r_2","BG312","2013","28.2"
"r_2","BG312","2014","32"
"r_2","BG314","2008","33.6"
"r_2","BG314","2009","28.7"
"r_2","BG314","2010","32.8"
"r_2","BG314","2011","37.1"
"r_2","BG314","2012","28.9"
"r_2","BG314","2013","27"
"r_2","BG314","2014","25.8"
"r_2","BG32","2008","36.2"
"r_2","BG32","2009","31.5"
"r_2","BG32","2010","31.8"
"r_2","BG32","2011","35.4"
"r_2","BG32","2012","32"
"r_2","BG32","2013","29.6"
"r_2","BG32","2014","33"
"r_2","BG321","2008","35"
"r_2","BG321","2009","32"
"r_2","BG321","2010","31.5"
"r_2","BG321","2011","37.6"
"r_2","BG321","2012","35.3"
"r_2","BG321","2013","30.1"
"r_2","BG321","2014","43"
"r_2","BG322","2008","24.4"
"r_2","BG322","2009","25.4"
"r_2","BG322","2010","27"
"r_2","BG322","2011","26.1"
"r_2","BG322","2012","24.4"
"r_2","BG322","2013","23.2"
"r_2","BG322","2014","32.2"
"r_2","BG324","2008","31.2"
"r_2","BG324","2009","28.6"
"r_2","BG324","2010","35.9"
"r_2","BG324","2011","30.8"
"r_2","BG324","2012","31.7"
"r_2","BG324","2013","31.9"
"r_2","BG324","2014","24.8"
"r_2","BG323","2008","34.6"
"r_2","BG323","2009","32.4"
"r_2","BG323","2010","28.4"
"r_2","BG323","2011","34.8"
"r_2","BG323","2012","25.3"
"r_2","BG323","2013","28"
"r_2","BG323","2014","26.2"
"r_2","BG325","2008","46.1"
"r_2","BG325","2009","33.4"
"r_2","BG325","2010","33.1"
"r_2","BG325","2011","36.3"
"r_2","BG325","2012","36"
"r_2","BG325","2013","30.7"
"r_2","BG325","2014","29"
"r_2","BG33","2008","36.6"
"r_2","BG33","2009","34"
"r_2","BG33","2010","32.3"
"r_2","BG33","2011","34.4"
"r_2","BG33","2012","32.5"
"r_2","BG33","2013","32.8"
"r_2","BG33","2014","34.4"
"r_2","BG331","2008","30.2"
"r_2","BG331","2009","32.2"
"r_2","BG331","2010","29.9"
"r_2","BG331","2011","31.8"
"r_2","BG331","2012","28.7"
"r_2","BG331","2013","31.8"
"r_2","BG331","2014","32.9"
"r_2","BG332","2008","42.3"
"r_2","BG332","2009","32.6"
"r_2","BG332","2010","30.6"
"r_2","BG332","2011","38.1"
"r_2","BG332","2012","34.8"
"r_2","BG332","2013","28.8"
"r_2","BG332","2014","35.2"
"r_2","BG334","2008","27.3"
"r_2","BG334","2009","31.6"
"r_2","BG334","2010","31.2"
"r_2","BG334","2011","30.1"
"r_2","BG334","2012","31.9"
"r_2","BG334","2013","26.7"
