RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_2","1","perc_pop_fig","2008","75.6"
"r_2","1","perc_pop_fig","2009","67.8"
"r_2","1","perc_pop_fig","2010","72.1"
"r_2","1","perc_pop_fig","2011","63.3"
"r_2","1","perc_pop_fig","2012","63.3"
"r_2","1","perc_pop_fig","2013","60.7"
"r_2","1","perc_pop_fig","2014","54.2"
"r_2","4","perc_pop_fig","2008","59.6"
"r_2","4","perc_pop_fig","2009","51.3"
"r_2","4","perc_pop_fig","2010","61.8"
"r_2","4","perc_pop_fig","2011","53.1"
"r_2","4","perc_pop_fig","2012","56.2"
"r_2","4","perc_pop_fig","2013","53.1"
"r_2","4","perc_pop_fig","2014","46"
"r_2","5","perc_pop_fig","2008","84.3"
"r_2","5","perc_pop_fig","2009","76.6"
"r_2","5","perc_pop_fig","2010","77.6"
"r_2","5","perc_pop_fig","2011","69.2"
"r_2","5","perc_pop_fig","2012","68"
"r_2","5","perc_pop_fig","2013","65.9"
"r_2","5","perc_pop_fig","2014","60.3"
"r_2","12","perc_pop_fig","2008","56.2"
"r_2","12","perc_pop_fig","2009","61.3"
"r_2","12","perc_pop_fig","2010","63.1"
"r_2","12","perc_pop_fig","2011","65.7"
"r_2","12","perc_pop_fig","2012","62.8"
"r_2","12","perc_pop_fig","2013","60.3"
"r_2","12","perc_pop_fig","2014","59.4"
"r_2","6","perc_pop_fig","2008","82.9"
"r_2","6","perc_pop_fig","2009","76"
"r_2","6","perc_pop_fig","2010","77"
"r_2","6","perc_pop_fig","2011","67.6"
"r_2","6","perc_pop_fig","2012","69"
"r_2","6","perc_pop_fig","2013","67.7"
"r_2","6","perc_pop_fig","2014","60.7"
"r_2","7","perc_pop_fig","2008","61.6"
"r_2","7","perc_pop_fig","2009","51.1"
"r_2","7","perc_pop_fig","2010","61.9"
"r_2","7","perc_pop_fig","2011","55.4"
"r_2","7","perc_pop_fig","2012","54.4"
"r_2","7","perc_pop_fig","2013","50.5"
"r_2","7","perc_pop_fig","2014","44.7"
"r_2","20","perc_pop_fig","2008","56.3"
"r_2","20","perc_pop_fig","2009","48.2"
"r_2","20","perc_pop_fig","2010","52.4"
"r_2","20","perc_pop_fig","2011","48.8"
"r_2","20","perc_pop_fig","2012","48.1"
"r_2","20","perc_pop_fig","2013","49"
"r_2","20","perc_pop_fig","2014","36.6"
"r_2","8","perc_pop_fig","2008","44.9"
"r_2","8","perc_pop_fig","2009","35.2"
"r_2","8","perc_pop_fig","2010","45.7"
"r_2","8","perc_pop_fig","2011","41.9"
"r_2","8","perc_pop_fig","2012","41.2"
"r_2","8","perc_pop_fig","2013","44.5"
"r_2","8","perc_pop_fig","2014","32.6"
"r_2","9","perc_pop_fig","2008","67"
"r_2","9","perc_pop_fig","2009","60.3"
"r_2","9","perc_pop_fig","2010","58.3"
"r_2","9","perc_pop_fig","2011","54.6"
"r_2","9","perc_pop_fig","2012","54.2"
"r_2","9","perc_pop_fig","2013","53"
"r_2","9","perc_pop_fig","2014","40.3"
"r_2","13","perc_pop_fig","2008","34.7"
"r_2","13","perc_pop_fig","2009","31.8"
"r_2","13","perc_pop_fig","2010","40.1"
"r_2","13","perc_pop_fig","2011","32.4"
"r_2","13","perc_pop_fig","2012","37.4"
"r_2","13","perc_pop_fig","2013","35.8"
"r_2","13","perc_pop_fig","2014","29.5"
"r_2","14","perc_pop_fig","2008","30.1"
"r_2","14","perc_pop_fig","2009","34.3"
"r_2","14","perc_pop_fig","2010","38.6"
"r_2","14","perc_pop_fig","2011","33.8"
"r_2","14","perc_pop_fig","2012","34.8"
"r_2","14","perc_pop_fig","2013","34.4"
"r_2","14","perc_pop_fig","2014","28.7"
"r_2","15","perc_pop_fig","2008","76.1"
"r_2","15","perc_pop_fig","2009","82.2"
"r_2","15","perc_pop_fig","2010","81"
"r_2","15","perc_pop_fig","2011","78.3"
"r_2","15","perc_pop_fig","2012","78.8"
"r_2","15","perc_pop_fig","2013","89.9"
"r_2","15","perc_pop_fig","2014","89.3"
"r_2","18","perc_pop_fig","2008","43.5"
"r_2","18","perc_pop_fig","2009","41.2"
"r_2","18","perc_pop_fig","2010","45.7"
"r_2","18","perc_pop_fig","2011","42.9"
"r_2","18","perc_pop_fig","2012","42.5"
"r_2","18","perc_pop_fig","2013","41.6"
"r_2","18","perc_pop_fig","2014","29.2"
"r_2","17","perc_pop_fig","2008","35.4"
"r_2","17","perc_pop_fig","2009","38.6"
"r_2","17","perc_pop_fig","2010","41.7"
