RevisionColumn,NUTS,GenderID,SILC_Age,Units,periods,ValueColumn
"r_3","BG","0","1","1000cp","2015","166.2"
"r_3","BG","0","1","perc_pop_fig","2015","13.9"
"r_3","BG","0","4","1000cp","2015","440.3"
"r_3","BG","0","4","perc_pop_fig","2015","10.9"
"r_3","BG","1","4","1000cp","2015","230.7"
"r_3","BG","1","4","perc_pop_fig","2015","11.2"
"r_3","BG","2","4","1000cp","2015","209.6"
"r_3","BG","2","4","perc_pop_fig","2015","10.6"
"r_3","BG","0","5","1000cp","2015","606.6"
"r_3","BG","0","5","perc_pop_fig","2015","11.6"
"r_3","BG","1","5","1000cp","2015","313.4"
"r_3","BG","1","5","perc_pop_fig","2015","11.7"
"r_3","BG","2","5","1000cp","2015","293.2"
"r_3","BG","2","5","perc_pop_fig","2015","11.4"
"r_3","BG31","0","1","1000cp","2015","35.4"
"r_3","BG31","0","1","perc_pop_fig","2015","27"
"r_3","BG31","0","4","1000cp","2015","70.7"
"r_3","BG31","0","4","perc_pop_fig","2015","17"
"r_3","BG31","0","5","1000cp","2015","106"
"r_3","BG31","0","5","perc_pop_fig","2015","19.4"
"r_3","BG311","0","4","1000cp","2015","12"
"r_3","BG311","0","4","perc_pop_fig","2015","26.5"
"r_3","BG313","0","4","1000cp","2015","11.1"
"r_3","BG313","0","4","perc_pop_fig","2015","11.7"
"r_3","BG315","0","4","1000cp","2015","10.8"
"r_3","BG315","0","4","perc_pop_fig","2015","14.5"
"r_3","BG312","0","4","1000cp","2015","18"
"r_3","BG312","0","4","perc_pop_fig","2015","23"
"r_3","BG314","0","4","1000cp","2015","15"
"r_3","BG314","0","4","perc_pop_fig","2015","12.3"
"r_3","BG32","0","1","1000cp","2015","23.1"
"r_3","BG32","0","1","perc_pop_fig","2015","17.1"
"r_3","BG32","0","4","1000cp","2015","52.5"
"r_3","BG32","0","4","perc_pop_fig","2015","12.1"
"r_3","BG32","0","5","1000cp","2015","75.6"
"r_3","BG32","0","5","perc_pop_fig","2015","13.3"
"r_3","BG321","0","4","1000cp","2015","19.7"
"r_3","BG321","0","4","perc_pop_fig","2015","16.5"
"r_3","BG322","0","4","1000cp","2015","4.2"
"r_3","BG322","0","4","perc_pop_fig","2015","7"
"r_3","BG324","0","4","1000cp","2015","14.4"
"r_3","BG324","0","4","perc_pop_fig","2015","20"
"r_3","BG323","0","4","1000cp","2015","8"
