RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_2","1","perc_pop_fig","2008","20.9"
"r_2","1","perc_pop_fig","2009","17.4"
"r_2","1","perc_pop_fig","2010","20.1"
"r_2","1","perc_pop_fig","2011","26.1"
"r_2","1","perc_pop_fig","2012","24.3"
"r_2","1","perc_pop_fig","2013","19.3"
"r_2","1","perc_pop_fig","2014","18.9"
"r_2","12","perc_pop_fig","2008","15.1"
"r_2","12","perc_pop_fig","2009","17.7"
"r_2","12","perc_pop_fig","2010","25.5"
"r_2","12","perc_pop_fig","2011","26.2"
"r_2","12","perc_pop_fig","2012","35.4"
"r_2","12","perc_pop_fig","2013","31.6"
"r_2","12","perc_pop_fig","2014","29.9"
"r_2","20","perc_pop_fig","2008","11.2"
"r_2","20","perc_pop_fig","2009","9.2"
"r_2","20","perc_pop_fig","2010","12"
"r_2","20","perc_pop_fig","2011","15"
"r_2","20","perc_pop_fig","2012","14.8"
"r_2","20","perc_pop_fig","2013","15.4"
"r_2","20","perc_pop_fig","2014","14.4"
"r_2","8","perc_pop_fig","2008","8.7"
"r_2","8","perc_pop_fig","2009","7.2"
"r_2","8","perc_pop_fig","2010","8.6"
"r_2","8","perc_pop_fig","2011","11.2"
"r_2","8","perc_pop_fig","2012","12"
"r_2","8","perc_pop_fig","2013","12.8"
"r_2","8","perc_pop_fig","2014","12.3"
"r_2","9","perc_pop_fig","2008","28.7"
"r_2","9","perc_pop_fig","2009","24.1"
"r_2","9","perc_pop_fig","2010","32.8"
"r_2","9","perc_pop_fig","2011","36.2"
"r_2","9","perc_pop_fig","2012","29.9"
"r_2","9","perc_pop_fig","2013","29"
"r_2","9","perc_pop_fig","2014","27.7"
"r_2","13","perc_pop_fig","2008","4.5"
"r_2","13","perc_pop_fig","2009","3.3"
"r_2","13","perc_pop_fig","2010","6.3"
"r_2","13","perc_pop_fig","2011","5.3"
"r_2","13","perc_pop_fig","2012","8.2"
"r_2","13","perc_pop_fig","2013","6.9"
"r_2","13","perc_pop_fig","2014","5.5"
"r_2","14","perc_pop_fig","2008","3.8"
"r_2","14","perc_pop_fig","2009","2.5"
"r_2","14","perc_pop_fig","2010","2.3"
"r_2","14","perc_pop_fig","2011","6.1"
"r_2","14","perc_pop_fig","2012","5.9"
"r_2","14","perc_pop_fig","2013","7.7"
"r_2","14","perc_pop_fig","2014","7.9"
"r_2","15","perc_pop_fig","2008","28.6"
"r_2","15","perc_pop_fig","2009","22.9"
"r_2","15","perc_pop_fig","2010","18.4"
"r_2","15","perc_pop_fig","2011","29.6"
"r_2","15","perc_pop_fig","2012","27.2"
"r_2","15","perc_pop_fig","2013","39"
"r_2","15","perc_pop_fig","2014","43.8"
"r_2","18","perc_pop_fig","2008","8.3"
"r_2","18","perc_pop_fig","2009","6.6"
"r_2","18","perc_pop_fig","2010","7.2"
"r_2","18","perc_pop_fig","2011","8.5"
"r_2","18","perc_pop_fig","2012","9.8"
"r_2","18","perc_pop_fig","2013","10.4"
"r_2","18","perc_pop_fig","2014","11.1"
"r_2","17","perc_pop_fig","2008","7.3"
"r_2","17","perc_pop_fig","2009","6.4"
"r_2","17","perc_pop_fig","2010","7.1"
"r_2","17","perc_pop_fig","2011","11"
"r_2","17","perc_pop_fig","2012","12.1"
"r_2","17","perc_pop_fig","2013","12.9"
"r_2","17","perc_pop_fig","2014","11.2"
"r_2","10","perc_pop_fig","2008","6.8"
"r_2","10","perc_pop_fig","2009","5.2"
"r_2","10","perc_pop_fig","2010","4.7"
"r_2","10","perc_pop_fig","2011","5.4"
"r_2","10","perc_pop_fig","2012","6.9"
"r_2","10","perc_pop_fig","2013","7.6"
"r_2","10","perc_pop_fig","2014","9"
"r_2","16","perc_pop_fig","2008","8.1"
"r_2","16","perc_pop_fig","2009","8"
"r_2","16","perc_pop_fig","2010","8.6"
"r_2","16","perc_pop_fig","2011","13.5"
"r_2","16","perc_pop_fig","2012","15.4"
"r_2","16","perc_pop_fig","2013","16.3"
"r_2","16","perc_pop_fig","2014","13"
"r_2","3","perc_pop_fig","2008","9.2"
"r_2","3","perc_pop_fig","2009","7.4"
"r_2","3","perc_pop_fig","2010","8.1"
"r_2","3","perc_pop_fig","2011","9.9"
"r_2","3","perc_pop_fig","2012","11.1"
"r_2","3","perc_pop_fig","2013","11.3"
"r_2","3","perc_pop_fig","2014","11.9"
"r_2","11","perc_pop_fig","2008","7.5"
"r_2","11","perc_pop_fig","2009","6.7"
"r_2","11","perc_pop_fig","2010","7.9"
"r_2","11","perc_pop_fig","2011","11.6"
"r_2","11","perc_pop_fig","2012","13.2"
"r_2","11","perc_pop_fig","2013","14"
"r_2","11","perc_pop_fig","2014","12.2"
"r_3","1","perc_pop_fig","2015","17.7"
"r_3","12","perc_pop_fig","2015","23.4"
"r_3","20","perc_pop_fig","2015","13.8"
"r_3","8","perc_pop_fig","2015","11.5"
"r_3","9","perc_pop_fig","2015","28.4"
"r_3","13","perc_pop_fig","2015","4.3"
"r_3","14","perc_pop_fig","2015","7"
"r_3","15","perc_pop_fig","2015","38.5"
"r_3","18","perc_pop_fig","2015","10.5"
"r_3","17","perc_pop_fig","2015","10.9"
"r_3","10","perc_pop_fig","2015","8.1"
"r_3","16","perc_pop_fig","2015","13.9"
"r_3","3","perc_pop_fig","2015","11.4"
"r_3","11","perc_pop_fig","2015","11.6"
"r_4","1","perc_pop_fig","2016","20.4"
"r_4","12","perc_pop_fig","2016","23.9"
"r_4","20","perc_pop_fig","2016","14.9"
"r_4","8","perc_pop_fig","2016","12.6"
"r_4","9","perc_pop_fig","2016","29.1"
"r_4","13","perc_pop_fig","2016","6.7"
"r_4","14","perc_pop_fig","2016","6.7"
"r_4","15","perc_pop_fig","2016","31.5"
"r_4","18","perc_pop_fig","2016","9.8"
"r_4","17","perc_pop_fig","2016","11.6"
"r_4","10","perc_pop_fig","2016","5.8"
"r_4","16","perc_pop_fig","2016","15.6"
"r_4","3","perc_pop_fig","2016","11.3"
"r_4","11","perc_pop_fig","2016","12.3"
"r_5","1","perc_pop_fig","2017","18.6"
"r_5","12","perc_pop_fig","2017","20.3"
"r_5","20","perc_pop_fig","2017","15"
"r_5","8","perc_pop_fig","2017","12.5"
"r_5","9","perc_pop_fig","2017","30.3"
"r_5","13","perc_pop_fig","2017","4.7"
"r_5","14","perc_pop_fig","2017","6.1"
"r_5","15","perc_pop_fig","2017","39.2"
"r_5","18","perc_pop_fig","2017","10.1"
"r_5","17","perc_pop_fig","2017","10.5"
"r_5","10","perc_pop_fig","2017","6"
"r_5","16","perc_pop_fig","2017","13.7"
"r_5","3","perc_pop_fig","2017","11.4"
"r_5","11","perc_pop_fig","2017","11"
"r_6","1","perc_pop_fig","2018","17.2"
"r_6","12","perc_pop_fig","2018","17.9"
"r_6","20","perc_pop_fig","2018","11.9"
"r_6","8","perc_pop_fig","2018","8.6"
"r_6","9","perc_pop_fig","2018","29.4"
"r_6","13","perc_pop_fig","2018","4"
"r_6","14","perc_pop_fig","2018","4.4"
"r_6","15","perc_pop_fig","2018","20"
"r_6","18","perc_pop_fig","2018","7.8"
"r_6","17","perc_pop_fig","2018","8.3"
"r_6","10","perc_pop_fig","2018","4.2"
"r_6","16","perc_pop_fig","2018","12.2"
"r_6","3","perc_pop_fig","2018","9.3"
"r_6","11","perc_pop_fig","2018","8.8"
"r_7","1","perc_pop_fig","2019","14.7"
"r_7","12","perc_pop_fig","2019","26.1"
"r_7","20","perc_pop_fig","2019","11.6"
"r_7","8","perc_pop_fig","2019","9"
"r_7","9","perc_pop_fig","2019","24.7"
"r_7","13","perc_pop_fig","2019","4.1"
"r_7","14","perc_pop_fig","2019","5"
"r_7","15","perc_pop_fig","2019","21.4"
"r_7","18","perc_pop_fig","2019","7.5"
"r_7","17","perc_pop_fig","2019","8.5"
"r_7","10","perc_pop_fig","2019","4.1"
"r_7","16","perc_pop_fig","2019","11.8"
"r_7","3","perc_pop_fig","2019","8.8"
"r_7","11","perc_pop_fig","2019","9.6"
"r_8","1","perc_pop_fig","2020","14.4"
