RevisionColumn,NUTS,GenderID,SILC_Age,Units,periods,ValueColumn
"r_4","BG","0","0","1000cp","2008","3421"
"r_4","BG","0","0","perc_pop_fig","2008","44.8"
"r_4","BG","0","0","1000cp","2009","3511.2"
"r_4","BG","0","0","perc_pop_fig","2009","46.2"
"r_4","BG","0","0","1000cp","2010","3718.7"
"r_4","BG","0","0","perc_pop_fig","2010","49.2"
"r_4","BG","0","0","1000cp","2011","3693.2"
"r_4","BG","0","0","perc_pop_fig","2011","49.1"
"r_4","BG","0","0","1000cp","2012","3621.1"
"r_4","BG","0","0","perc_pop_fig","2012","49.3"
"r_4","BG","0","0","1000cp","2013","3493.4"
"r_4","BG","0","0","perc_pop_fig","2013","48"
"r_4","BG","0","0","1000cp","2014","2908.6"
"r_4","BG","0","0","perc_pop_fig","2014","40.1"
"r_4","BG","1","0","1000cp","2008","1591.9"
"r_4","BG","1","0","perc_pop_fig","2008","43"
"r_4","BG","1","0","1000cp","2009","1624.1"
"r_4","BG","1","0","perc_pop_fig","2009","44.1"
"r_4","BG","1","0","1000cp","2010","1729.3"
"r_4","BG","1","0","perc_pop_fig","2010","47.3"
"r_4","BG","1","0","1000cp","2011","1732.8"
"r_4","BG","1","0","perc_pop_fig","2011","47.7"
"r_4","BG","1","0","1000cp","2012","1703.3"
"r_4","BG","1","0","perc_pop_fig","2012","47.6"
"r_4","BG","1","0","1000cp","2013","1648.5"
"r_4","BG","1","0","perc_pop_fig","2013","46.5"
"r_4","BG","1","0","1000cp","2014","1370.6"
"r_4","BG","1","0","perc_pop_fig","2014","38.8"
"r_4","BG","2","0","1000cp","2008","1829"
"r_4","BG","2","0","perc_pop_fig","2008","46.4"
"r_4","BG","2","0","1000cp","2009","1887"
"r_4","BG","2","0","perc_pop_fig","2009","48.1"
"r_4","BG","2","0","1000cp","2010","1989.5"
"r_4","BG","2","0","perc_pop_fig","2010","50.9"
"r_4","BG","2","0","1000cp","2011","1960.5"
"r_4","BG","2","0","perc_pop_fig","2011","50.5"
"r_4","BG","2","0","1000cp","2012","1917.7"
"r_4","BG","2","0","perc_pop_fig","2012","50.9"
"r_4","BG","2","0","1000cp","2013","1844.9"
"r_4","BG","2","0","perc_pop_fig","2013","49.4"
"r_4","BG","2","0","1000cp","2014","1538.1"
"r_4","BG","2","0","perc_pop_fig","2014","41.3"
"r_4","BG","0","1","1000cp","2008","564.1"
"r_4","BG","0","1","perc_pop_fig","2008","44.2"
"r_4","BG","0","1","1000cp","2009","601.3"
"r_4","BG","0","1","perc_pop_fig","2009","47.3"
"r_4","BG","0","1","1000cp","2010","634.7"
"r_4","BG","0","1","perc_pop_fig","2010","49.8"
"r_4","BG","0","1","1000cp","2011","662.7"
"r_4","BG","0","1","perc_pop_fig","2011","51.8"
"r_4","BG","0","1","1000cp","2012","637"
"r_4","BG","0","1","perc_pop_fig","2012","52.3"
"r_4","BG","0","1","1000cp","2013","608.8"
"r_4","BG","0","1","perc_pop_fig","2013","51.5"
"r_4","BG","0","1","1000cp","2014","539.2"
"r_4","BG","0","1","perc_pop_fig","2014","45.2"
"r_4","BG","0","2","1000cp","2008","1988.9"
"r_4","BG","0","2","perc_pop_fig","2008","39.5"
"r_4","BG","0","2","1000cp","2009","2033.4"
"r_4","BG","0","2","perc_pop_fig","2009","40.6"
"r_4","BG","0","2","1000cp","2010","2231.2"
"r_4","BG","0","2","perc_pop_fig","2010","45"
"r_4","BG","0","2","1000cp","2011","2216"
"r_4","BG","0","2","perc_pop_fig","2011","45.2"
"r_4","BG","0","2","1000cp","2012","2169.3"
"r_4","BG","0","2","perc_pop_fig","2012","45.6"
"r_4","BG","0","2","1000cp","2013","2082.7"
