RevisionColumn,GenderID,SILC_Activity,SILC_Age,Units,periods,ValueColumn
"r_2","0","1","2","perc_pop_fig","2008","27.7"
"r_2","0","1","2","perc_pop_fig","2009","30.3"
"r_2","0","1","2","perc_pop_fig","2010","35.4"
"r_2","0","1","2","perc_pop_fig","2011","34.1"
"r_2","0","1","2","perc_pop_fig","2012","33.8"
"r_2","0","1","2","perc_pop_fig","2013","32"
"r_2","0","1","2","perc_pop_fig","2014","23.2"
"r_2","1","1","2","perc_pop_fig","2008","27.8"
"r_2","1","1","2","perc_pop_fig","2009","30.5"
"r_2","1","1","2","perc_pop_fig","2010","36.1"
"r_2","1","1","2","perc_pop_fig","2011","34.1"
"r_2","1","1","2","perc_pop_fig","2012","33.6"
"r_2","1","1","2","perc_pop_fig","2013","33.1"
"r_2","1","1","2","perc_pop_fig","2014","23.7"
"r_2","2","1","2","perc_pop_fig","2008","27.5"
"r_2","2","1","2","perc_pop_fig","2009","30.1"
"r_2","2","1","2","perc_pop_fig","2010","34.4"
"r_2","2","1","2","perc_pop_fig","2011","34.1"
"r_2","2","1","2","perc_pop_fig","2012","34"
"r_2","2","1","2","perc_pop_fig","2013","30.8"
"r_2","2","1","2","perc_pop_fig","2014","22.7"
"r_2","0","1","9","perc_pop_fig","2008","27.7"
"r_2","0","1","9","perc_pop_fig","2009","30.3"
"r_2","0","1","9","perc_pop_fig","2010","35.3"
"r_2","0","1","9","perc_pop_fig","2011","34.1"
"r_2","0","1","9","perc_pop_fig","2012","33.7"
"r_2","0","1","9","perc_pop_fig","2013","31.9"
"r_2","0","1","9","perc_pop_fig","2014","23.1"
"r_2","1","1","9","perc_pop_fig","2008","27.8"
"r_2","1","1","9","perc_pop_fig","2009","30.5"
"r_2","1","1","9","perc_pop_fig","2010","36.1"
"r_2","1","1","9","perc_pop_fig","2011","34.1"
"r_2","1","1","9","perc_pop_fig","2012","33.5"
"r_2","1","1","9","perc_pop_fig","2013","32.9"
"r_2","1","1","9","perc_pop_fig","2014","23.5"
"r_2","2","1","9","perc_pop_fig","2008","27.5"
"r_2","2","1","9","perc_pop_fig","2009","30.1"
"r_2","2","1","9","perc_pop_fig","2010","34.4"
"r_2","2","1","9","perc_pop_fig","2011","34.2"
"r_2","2","1","9","perc_pop_fig","2012","34"
"r_2","2","1","9","perc_pop_fig","2013","30.7"
"r_2","2","1","9","perc_pop_fig","2014","22.6"
"r_2","0","1","3","perc_pop_fig","2008","26"
"r_2","0","1","3","perc_pop_fig","2009","27.1"
"r_2","0","1","3","perc_pop_fig","2010","32.1"
"r_2","0","1","3","perc_pop_fig","2011","36.8"
"r_2","0","1","3","perc_pop_fig","2012","29.3"
"r_2","0","1","3","perc_pop_fig","2013","24.3"
"r_2","0","1","3","perc_pop_fig","2014","16"
"r_2","1","1","3","perc_pop_fig","2008","25.2"
