Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"SILC_HHType","","Тип на домакинството","Household type"
"SILC_HHType","0","Общо","Total"
"SILC_HHType","1","Едно лице","Single person"
"SILC_HHType","10","Трима или повече възрастни","Three or more adults"
"SILC_HHType","11","Домакинства със зависими деца","Households with dependent children"
"SILC_HHType","12","Един родител със зависими деца","Single parent with dependent children"
"SILC_HHType","13","Двама възрастни с едно зависимо дете","Two adults with one dependent child"
"SILC_HHType","14","Двама възрастни с две зависими деца","Two adults with two dependent children"
"SILC_HHType","15","Двама възрастни с три или повече зависими деца","Two adults with three or more dependent children"
"SILC_HHType","16","Три или повече възрастни със зависими деца","Three or more adults with dependent children"
"SILC_HHType","17","Двама или повече възрастни със зависими деца","Two or more adults with dependent children"
"SILC_HHType","18","Двама или повече възрастни без зависими деца","Two or more adults without dependent children"
"SILC_HHType","20","Двама възрастни","Two adults"
"SILC_HHType","3","Домакинства без деца","Households without dependent children"
"SILC_HHType","4","Едно лице в домакинство на възраст под 65 години","One adult younger than 65 years"
"SILC_HHType","5","Едно лице в домакинство на възраст над 65 години","One adult older than 65 years"
"SILC_HHType","6","Едно лице в домакинството - жена","Single female"
"SILC_HHType","7","Едно лице в домакинството - мъж","Single male"
"SILC_HHType","8","Двама възрастни под 65 години","Two adults younger than 65 years"
"SILC_HHType","9","Двама възрастни, поне един от тях на 65 и повече години","Two adults, at least one aged 65 years and over"
"Units","","Мерни единици","Measuring units"
"Units","perc_pop_fig","% от съвкупността","PC_POP"
