RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_2","0","perc_pop_fig","2008","44.8"
"r_2","0","perc_pop_fig","2009","46.1"
"r_2","0","perc_pop_fig","2010","49.2"
"r_2","0","perc_pop_fig","2011","49.1"
"r_2","0","perc_pop_fig","2012","49.3"
"r_2","0","perc_pop_fig","2013","48"
"r_2","0","perc_pop_fig","2014","40.1"
"r_2","1","perc_pop_fig","2008","83.2"
"r_2","1","perc_pop_fig","2009","77.3"
"r_2","1","perc_pop_fig","2010","80"
"r_2","1","perc_pop_fig","2011","74.6"
"r_2","1","perc_pop_fig","2012","73.3"
"r_2","1","perc_pop_fig","2013","70.3"
"r_2","1","perc_pop_fig","2014","64.3"
"r_2","4","perc_pop_fig","2008","66"
"r_2","4","perc_pop_fig","2009","57.4"
"r_2","4","perc_pop_fig","2010","67.5"
"r_2","4","perc_pop_fig","2011","62.3"
"r_2","4","perc_pop_fig","2012","64.2"
"r_2","4","perc_pop_fig","2013","58.4"
"r_2","4","perc_pop_fig","2014","53.4"
"r_2","5","perc_pop_fig","2008","92.6"
"r_2","5","perc_pop_fig","2009","87.8"
"r_2","5","perc_pop_fig","2010","86.7"
"r_2","5","perc_pop_fig","2011","81.7"
"r_2","5","perc_pop_fig","2012","79.3"
"r_2","5","perc_pop_fig","2013","78.5"
"r_2","5","perc_pop_fig","2014","72.4"
"r_2","12","perc_pop_fig","2008","65.5"
"r_2","12","perc_pop_fig","2009","65"
"r_2","12","perc_pop_fig","2010","69.5"
"r_2","12","perc_pop_fig","2011","72.1"
"r_2","12","perc_pop_fig","2012","77.5"
"r_2","12","perc_pop_fig","2013","72.2"
"r_2","12","perc_pop_fig","2014","69.3"
"r_2","6","perc_pop_fig","2008","90.3"
"r_2","6","perc_pop_fig","2009","85.6"
"r_2","6","perc_pop_fig","2010","85.9"
"r_2","6","perc_pop_fig","2011","80.7"
"r_2","6","perc_pop_fig","2012","80.8"
"r_2","6","perc_pop_fig","2013","78.1"
"r_2","6","perc_pop_fig","2014","71.4"
"r_2","7","perc_pop_fig","2008","69.7"
"r_2","7","perc_pop_fig","2009","60.2"
"r_2","7","perc_pop_fig","2010","67.7"
"r_2","7","perc_pop_fig","2011","63.4"
"r_2","7","perc_pop_fig","2012","61.4"
"r_2","7","perc_pop_fig","2013","58.9"
"r_2","7","perc_pop_fig","2014","53.9"
"r_2","20","perc_pop_fig","2008","60.7"
"r_2","20","perc_pop_fig","2009","54.7"
"r_2","20","perc_pop_fig","2010","57.9"
"r_2","20","perc_pop_fig","2011","54.4"
"r_2","20","perc_pop_fig","2012","53"
"r_2","20","perc_pop_fig","2013","54"
"r_2","20","perc_pop_fig","2014","42.2"
"r_2","8","perc_pop_fig","2008","49.4"
"r_2","8","perc_pop_fig","2009","39.7"
"r_2","8","perc_pop_fig","2010","50.2"
"r_2","8","perc_pop_fig","2011","45.6"
"r_2","8","perc_pop_fig","2012","46.1"
"r_2","8","perc_pop_fig","2013","48.4"
"r_2","8","perc_pop_fig","2014","37.9"
"r_2","9","perc_pop_fig","2008","71.3"
"r_2","9","perc_pop_fig","2009","68.6"
"r_2","9","perc_pop_fig","2010","64.7"
"r_2","9","perc_pop_fig","2011","61.7"
"r_2","9","perc_pop_fig","2012","59"
"r_2","9","perc_pop_fig","2013","58.9"
"r_2","9","perc_pop_fig","2014","46.4"
"r_2","13","perc_pop_fig","2008","38"
