RevisionColumn,SILC_Age,SILC_Edu,Units,periods,ValueColumn
"r_2","2","1","perc_pop_fig","2008","64.7"
"r_2","2","1","perc_pop_fig","2009","68.4"
"r_2","2","1","perc_pop_fig","2010","72.5"
"r_2","2","1","perc_pop_fig","2011","75.7"
"r_2","2","1","perc_pop_fig","2012","76"
"r_2","2","1","perc_pop_fig","2013","76.6"
"r_2","2","1","perc_pop_fig","2014","71.8"
"r_2","2","2","perc_pop_fig","2008","31.7"
"r_2","2","2","perc_pop_fig","2009","35.2"
"r_2","2","2","perc_pop_fig","2010","42.3"
"r_2","2","2","perc_pop_fig","2011","41.8"
"r_2","2","2","perc_pop_fig","2012","43.9"
"r_2","2","2","perc_pop_fig","2013","42.3"
"r_2","2","2","perc_pop_fig","2014","31.6"
"r_2","2","3","perc_pop_fig","2008","19.5"
"r_2","2","3","perc_pop_fig","2009","18.2"
"r_2","2","3","perc_pop_fig","2010","20.7"
"r_2","2","3","perc_pop_fig","2011","19.5"
"r_2","2","3","perc_pop_fig","2012","21.5"
"r_2","2","3","perc_pop_fig","2013","19.1"
"r_2","2","3","perc_pop_fig","2014","12.5"
"r_2","9","1","perc_pop_fig","2008","66.6"
"r_2","9","1","perc_pop_fig","2009","70.3"
"r_2","9","1","perc_pop_fig","2010","72.3"
"r_2","9","1","perc_pop_fig","2011","73.7"
"r_2","9","1","perc_pop_fig","2012","72.7"
"r_2","9","1","perc_pop_fig","2013","73.4"
"r_2","9","1","perc_pop_fig","2014","66.5"
"r_2","9","2","perc_pop_fig","2008","35.1"
"r_2","9","2","perc_pop_fig","2009","38.1"
"r_2","9","2","perc_pop_fig","2010","44.1"
"r_2","9","2","perc_pop_fig","2011","43.6"
"r_2","9","2","perc_pop_fig","2012","45.3"
"r_2","9","2","perc_pop_fig","2013","43.8"
"r_2","9","2","perc_pop_fig","2014","33.4"
"r_2","9","3","perc_pop_fig","2008","24.8"
"r_2","9","3","perc_pop_fig","2009","22.7"
"r_2","9","3","perc_pop_fig","2010","24.3"
"r_2","9","3","perc_pop_fig","2011","21.9"
"r_2","9","3","perc_pop_fig","2012","24.2"
"r_2","9","3","perc_pop_fig","2013","21.9"
"r_2","9","3","perc_pop_fig","2014","15.7"
"r_3","2","1","perc_pop_fig","2015","75.1"
"r_3","2","2","perc_pop_fig","2015","32.3"
"r_3","2","3","perc_pop_fig","2015","13.3"
"r_3","9","1","perc_pop_fig","2015","70.3"
"r_3","9","2","perc_pop_fig","2015","34.8"
"r_3","9","3","perc_pop_fig","2015","17.6"
"r_4","2","1","perc_pop_fig","2016","75.8"
"r_4","2","2","perc_pop_fig","2016","32.8"
"r_4","2","3","perc_pop_fig","2016","13.2"
"r_4","9","1","perc_pop_fig","2016","68.3"
"r_4","9","2","perc_pop_fig","2016","34.5"
"r_4","9","3","perc_pop_fig","2016","16.5"
"r_5","2","1","perc_pop_fig","2017","74.5"
"r_5","2","2","perc_pop_fig","2017","30.4"
"r_5","2","3","perc_pop_fig","2017","11.2"
"r_5","9","1","perc_pop_fig","2017","69.2"
"r_5","9","2","perc_pop_fig","2017","32.9"
"r_5","9","3","perc_pop_fig","2017","15.9"
"r_6","2","1","perc_pop_fig","2018","66.9"
"r_6","2","2","perc_pop_fig","2018","22.9"
"r_6","2","3","perc_pop_fig","2018","8.1"
"r_6","9","1","perc_pop_fig","2018","63.9"
"r_6","9","2","perc_pop_fig","2018","26.4"
"r_6","9","3","perc_pop_fig","2018","12.7"
"r_7","2","1","perc_pop_fig","2019","67.8"
"r_7","2","2","perc_pop_fig","2019","21.6"
"r_7","2","3","perc_pop_fig","2019","6.8"
"r_7","9","1","perc_pop_fig","2019","64.6"
"r_7","9","2","perc_pop_fig","2019","26.6"
"r_7","9","3","perc_pop_fig","2019","11.6"
"r_8","2","1","perc_pop_fig","2020","68"
"r_8","2","2","perc_pop_fig","2020","20.2"
"r_8","2","3","perc_pop_fig","2020","6.3"
"r_8","9","1","perc_pop_fig","2020","66.6"
"r_8","9","2","perc_pop_fig","2020","26"
"r_8","9","3","perc_pop_fig","2020","11"
