RevisionColumn,PlaceResidence,Units,periods,GenderID,ValueColumn
"r_2","0","1000cp","2003Q1","0","3203.9"
"r_2","0","1000cp","2003Q1","1","1701.8"
"r_2","0","1000cp","2003Q1","2","1502.1"
"r_2","1","1000cp","2003Q1","0","2459.3"
"r_2","1","1000cp","2003Q1","1","1281.2"
"r_2","1","1000cp","2003Q1","2","1178.1"
"r_2","2","1000cp","2003Q1","0","744.5"
"r_2","2","1000cp","2003Q1","1","420.6"
"r_2","2","1000cp","2003Q1","2","323.9"
"r_2","0","1000cp","2003Q2","0","3333.3"
"r_2","0","1000cp","2003Q2","1","1777.9"
"r_2","0","1000cp","2003Q2","2","1555.3"
"r_2","1","1000cp","2003Q2","0","2505.2"
"r_2","1","1000cp","2003Q2","1","1306.8"
"r_2","1","1000cp","2003Q2","2","1198.4"
"r_2","2","1000cp","2003Q2","0","828"
"r_2","2","1000cp","2003Q2","1","471.1"
"r_2","2","1000cp","2003Q2","2","356.9"
"r_2","0","1000cp","2003Q3","0","3359.3"
"r_2","0","1000cp","2003Q3","1","1783.8"
"r_2","0","1000cp","2003Q3","2","1575.5"
"r_2","1","1000cp","2003Q3","0","2516.2"
"r_2","1","1000cp","2003Q3","1","1307.5"
"r_2","1","1000cp","2003Q3","2","1208.7"
"r_2","2","1000cp","2003Q3","0","843.1"
"r_2","2","1000cp","2003Q3","1","476.2"
"r_2","2","1000cp","2003Q3","2","366.9"
"r_2","0","1000cp","2003Q4","0","3237.1"
"r_2","0","1000cp","2003Q4","1","1720.9"
"r_2","0","1000cp","2003Q4","2","1516.2"
"r_2","1","1000cp","2003Q4","0","2450.9"
"r_2","1","1000cp","2003Q4","1","1275.3"
"r_2","1","1000cp","2003Q4","2","1175.6"
"r_2","2","1000cp","2003Q4","0","786.1"
"r_2","2","1000cp","2003Q4","1","445.6"
"r_2","2","1000cp","2003Q4","2","340.6"
"r_2","0","1000cp","2004Q1","0","3212.6"
"r_2","0","1000cp","2004Q1","1","1720"
"r_2","0","1000cp","2004Q1","2","1492.6"
"r_2","1","1000cp","2004Q1","0","2456.3"
"r_2","1","1000cp","2004Q1","1","1285.8"
"r_2","1","1000cp","2004Q1","2","1170.5"
