Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"HBS_POTR","","Потребление  на основни хранителни продукти и напитки","Consumption  of main foods and beverages"
"HBS_POTR","01","Хляб и тестени изделия - кг","Bread and paste products - kg"
"HBS_POTR","02","Брашно - кг","Flour - kg"
"HBS_POTR","03","Ориз - кг","Rice - kg"
"HBS_POTR","04","Други зърнени продукти и храни - кг","Other cereals - kg"
"HBS_POTR","05","Сладкарски изделия от брашно - кг","Other bakery products - kg"
"HBS_POTR","06","Mесо - кг","Meat - kg"
"HBS_POTR","061","Свинско","Pork"
"HBS_POTR","062","От едър рогат добитък","Beef and veal"
"HBS_POTR","063","Агнешко и ярешко","Lamb"
"HBS_POTR","064","Овче, шилешко и козе","Mutton and goat"
"HBS_POTR","065","Kайма - смес","Minced meat"
"HBS_POTR","066","От домашни птици","Poultry meat"
"HBS_POTR","067","От други животни","Other kinds of meat"
"HBS_POTR","068","Субпродукти и карантия","Edible offals"
"HBS_POTR","07","Mесни произведения  - кг","Meat products - kg"
"HBS_POTR","071","Трайни колбаси и обработено месо","Non-perishable sausages and dry meat"
"HBS_POTR","072","Mалотрайни колбаси","Perishable sausages"
"HBS_POTR","073","Сланина","Bacon"
"HBS_POTR","074","Kонсерви с месо","Meat cans"
"HBS_POTR","075","Mесни продукти","Ready-to-cook"
"HBS_POTR","08","Риба и рибни продукти - кг","Fish and fish products - kg"
"HBS_POTR","09","Прясно мляко - л","Milk - litres"
"HBS_POTR","10","Kисело мляко - кг","Yoghurt - kg"
"HBS_POTR","11","Сирене - кг","White cheese - kg"
"HBS_POTR","12","Kашкавал - кг","Yellow cheese - kg"
"HBS_POTR","13","Други млечни произведения - кг","Other milk products - kg"
"HBS_POTR","14","Яйца - бр.","Eggs - number"
"HBS_POTR","15","Олио - л","Sunflower oil - litres"
"HBS_POTR","16","Mаргарин и други растителни мазнини - кг","Margarine - kg"
"HBS_POTR","17","Mлечни масла  - кг","Butter - kg"
"HBS_POTR","18","Mас  - кг","Lard - kg"
"HBS_POTR","19","Плодове (пресни и замразени) - кг","Fruit (fresh and frozen) - kg"
"HBS_POTR","191","Ябълки","Apples"
"HBS_POTR","192","Kруши","Pears"
"HBS_POTR","193","Грозде","Grapes"
"HBS_POTR","194","Южни плодове","Tropical  fruit"
"HBS_POTR","195","Дини и пъпеши","Melons and watermelons"
"HBS_POTR","196","Тикви","Pumpkins"
"HBS_POTR","197","Други плодове","Other fruit"
"HBS_POTR","20","Ядки - кг","Nuts - kg"
"HBS_POTR","21","Kомпоти - кг","Compotes - kg"
"HBS_POTR","22","Kонфитюри, сладка, мармалади - кг","Jam, preserves and marmalade - kg"
"HBS_POTR","23","Плодови сокове, сиропи, нектари - л","Juices, syrups and nectars - litres"
"HBS_POTR","24","Зеленчуци (пресни и замразени) - кг","Fresh and frozen vegetables - kg"
"HBS_POTR","241","Домати","Tomatoes"
"HBS_POTR","242","Kраставици","Cucumbers"
"HBS_POTR","243","Зеле","Cabbage"
"HBS_POTR","244","Пипер","Peppers"
"HBS_POTR","245","Лук","Onions"
"HBS_POTR","246","Други зеленчуци","Other vegetables"
"HBS_POTR","25","Зрял фасул - кг","Dry beans - kg"
"HBS_POTR","26","Леща - кг","Lentils - kg"
"HBS_POTR","27","Зеленчукови консерви - кг","Canned vegetables - kg"
"HBS_POTR","28","Зеленчукови нектари и сокове - л","Vegetable juices and nectars - litres"
"HBS_POTR","29","Туршии - кг","Pickled vegetables - kg"
"HBS_POTR","30","Гъби - кг","Mushrooms - kg"
"HBS_POTR","31","Kартофи - кг","Potatoes - kg"
"HBS_POTR","32","Захар - кг","Sugar - kg"
"HBS_POTR","33","Захарни изделия - кг","Sugar products - kg"
"HBS_POTR","34","Шоколадови изделия - кг","Chocolate products - kg"
"HBS_POTR","35","Сол - кг","Salt - kg"
"HBS_POTR","36","Оцет - л","Vinegar - litres"
"HBS_POTR","37","Безалкохолни напитки - л","Non-alcoholic beverages - litres"
"HBS_POTR","38","Алкохолни напитки - л","Alcoholic beverages - litres"
"HBS_POTR","381","Бира","Beer"
"HBS_POTR","382","Вина","Wine"
"HBS_POTR","383","Ракии","Brandy"
"HBS_POTR","384","Други спиртни напитки","Other spirits"
"HBS_POTR","39","Цигари - бр.","Cigarettes - number"
"Residence","","Местоживеене ","Residence"
"Residence","0","Общо","Total"
"Residence","1","В градовете","Urban"
"Residence","2","В селата","Rural"
