RevisionColumn,HBS_POTR,Residence,periods,ValueColumn
"r_1","01","0","2004","126.6"
"r_1","01","1","2004","107.7"
"r_1","01","2","2004","169.8"
"r_1","01","0","2005","121.2"
"r_1","01","1","2005","103"
"r_1","01","2","2005","161.2"
"r_1","01","0","2006","116.6"
"r_1","01","1","2006","100.1"
"r_1","01","2","2006","154.8"
"r_1","01","0","2007","111.5"
"r_1","01","1","2007","95.9"
"r_1","01","2","2007","147.5"
"r_1","01","0","2008","109.5"
"r_1","01","1","2008","94.2"
"r_1","01","2","2008","144.5"
"r_1","01","0","2009","105.9"
"r_1","01","1","2009","91.2"
"r_1","01","2","2009","140.5"
"r_1","01","0","2010","108"
"r_1","01","1","2010","95.6"
"r_1","01","2","2010","141"
"r_1","01","0","2011","106.7"
"r_1","01","1","2011","94.5"
"r_1","01","2","2011","139.7"
"r_1","01","0","2012","101.1"
"r_1","01","1","2012","89.4"
"r_1","01","2","2012","135.7"
"r_1","01","0","2013","97.8"
"r_1","01","1","2013","86.5"
"r_1","01","2","2013","132.9"
"r_1","01","0","2014","93.2"
"r_1","01","1","2014","82.4"
"r_1","01","2","2014","127.8"
"r_1","02","0","2004","8.8"
"r_1","02","1","2004","7"
"r_1","02","2","2004","13"
"r_1","02","0","2005","8.8"
"r_1","02","1","2005","7"
"r_1","02","2","2005","12.8"
"r_1","02","0","2006","8.2"
"r_1","02","1","2006","6.9"
"r_1","02","2","2006","11.5"
"r_1","02","0","2007","7.9"
"r_1","02","1","2007","6.4"
"r_1","02","2","2007","11.3"
"r_1","02","0","2008","7.7"
"r_1","02","1","2008","6.3"
"r_1","02","2","2008","10.8"
"r_1","02","0","2009","8.3"
"r_1","02","1","2009","6.8"
"r_1","02","2","2009","11.8"
"r_1","02","0","2010","9.1"
"r_1","02","1","2010","8.2"
"r_1","02","2","2010","11.6"
"r_1","02","0","2011","9.4"
"r_1","02","1","2011","8.4"
"r_1","02","2","2011","11.9"
"r_1","02","0","2012","9.3"
"r_1","02","1","2012","8.5"
"r_1","02","2","2012","11.7"
"r_1","02","0","2013","9.2"
"r_1","02","1","2013","8.5"
"r_1","02","2","2013","11.6"
"r_1","02","0","2014","8.9"
"r_1","02","1","2014","8.2"
"r_1","02","2","2014","11.1"
"r_1","03","0","2004","6.1"
"r_1","03","1","2004","5.5"
"r_1","03","2","2004","7.4"
"r_1","03","0","2005","6.2"
"r_1","03","1","2005","5.6"
"r_1","03","2","2005","7.4"
"r_1","03","0","2006","6.2"
"r_1","03","1","2006","5.6"
"r_1","03","2","2006","7.5"
"r_1","03","0","2007","6.1"
"r_1","03","1","2007","5.5"
"r_1","03","2","2007","7.4"
"r_1","03","0","2008","6"
"r_1","03","1","2008","5.5"
"r_1","03","2","2008","7.1"
"r_1","03","0","2009","5.9"
"r_1","03","1","2009","5.4"
"r_1","03","2","2009","7.1"
"r_1","03","0","2010","7"
"r_1","03","1","2010","6.6"
"r_1","03","2","2010","7.9"
"r_1","03","0","2011","7"
"r_1","03","1","2011","6.6"
"r_1","03","2","2011","8.2"
"r_1","03","0","2012","6.6"
"r_1","03","1","2012","6.4"
"r_1","03","2","2012","7.4"
"r_1","03","0","2013","6.7"
"r_1","03","1","2013","6.4"
"r_1","03","2","2013","7.5"
"r_1","03","0","2014","6.4"
"r_1","03","1","2014","6.1"
"r_1","03","2","2014","7.1"
"r_1","04","0","2004","0.6"
"r_1","04","1","2004","0.7"
"r_1","04","2","2004","0.6"
"r_1","04","0","2005","0.7"
"r_1","04","1","2005","0.7"
"r_1","04","2","2005","0.6"
"r_1","04","0","2006","0.7"
"r_1","04","1","2006","0.7"
"r_1","04","2","2006","0.7"
"r_1","04","0","2007","0.7"
"r_1","04","1","2007","0.8"
"r_1","04","2","2007","0.6"
"r_1","04","0","2008","0.8"
"r_1","04","1","2008","0.8"
"r_1","04","2","2008","0.6"
"r_1","04","0","2009","0.8"
"r_1","04","1","2009","0.9"
"r_1","04","2","2009","0.7"
"r_1","04","0","2010","0.8"
"r_1","04","1","2010","0.9"
"r_1","04","2","2010","0.5"
"r_1","04","0","2011","0.7"
"r_1","04","1","2011","0.8"
"r_1","04","2","2011","0.6"
"r_1","04","0","2012","0.6"
"r_1","04","1","2012","0.6"
"r_1","04","2","2012","0.4"
"r_1","04","0","2013","0.5"
"r_1","04","1","2013","0.5"
"r_1","04","2","2013","0.4"
"r_1","04","0","2014","0.5"
"r_1","04","1","2014","0.6"
"r_1","04","2","2014","0.3"
"r_1","05","0","2004","5.6"
"r_1","05","1","2004","5.8"
"r_1","05","2","2004","5.2"
"r_1","05","0","2005","5.8"
"r_1","05","1","2005","5.9"
"r_1","05","2","2005","5.6"
"r_1","05","0","2006","6"
"r_1","05","1","2006","6.1"
"r_1","05","2","2006","5.8"
"r_1","05","0","2007","6.4"
"r_1","05","1","2007","6.6"
"r_1","05","2","2007","6"
"r_1","05","0","2008","6.5"
"r_1","05","1","2008","6.7"
"r_1","05","2","2008","6.3"
"r_1","05","0","2009","6.3"
"r_1","05","1","2009","6.4"
"r_1","05","2","2009","6"
"r_1","05","0","2010","6.1"
"r_1","05","1","2010","6.2"
"r_1","05","2","2010","5.9"
"r_1","05","0","2011","5.9"
"r_1","05","1","2011","5.9"
"r_1","05","2","2011","5.9"
"r_1","05","0","2012","5.9"
"r_1","05","1","2012","5.9"
"r_1","05","2","2012","5.9"
"r_1","05","0","2013","6.1"
"r_1","05","1","2013","6.1"
"r_1","05","2","2013","6.1"
"r_1","05","0","2014","6.1"
"r_1","05","1","2014","6.2"
"r_1","05","2","2014","5.9"
"r_1","06","0","2004","24.2"
"r_1","06","1","2004","23.3"
"r_1","06","2","2004","26.1"
"r_1","06","0","2005","24.2"
"r_1","06","1","2005","23.4"
"r_1","06","2","2005","25.9"
"r_1","06","0","2006","26.5"
"r_1","06","1","2006","25.8"
"r_1","06","2","2006","28.2"
"r_1","06","0","2007","27.4"
"r_1","06","1","2007","27"
"r_1","06","2","2007","28.1"
"r_1","06","0","2008","28.3"
"r_1","06","1","2008","28.2"
"r_1","06","2","2008","28.5"
"r_1","06","0","2009","30.7"
"r_1","06","1","2009","30.7"
"r_1","06","2","2009","30.7"
"r_1","06","0","2010","32"
"r_1","06","1","2010","32.1"
"r_1","06","2","2010","31.7"
"r_1","06","0","2011","32.1"
"r_1","06","1","2011","32.7"
"r_1","06","2","2011","30.6"
"r_1","06","0","2012","32"
"r_1","06","1","2012","32.3"
"r_1","06","2","2012","31.2"
"r_1","06","0","2013","32.2"
"r_1","06","1","2013","32.6"
"r_1","06","2","2013","31"
"r_1","06","0","2014","32.5"
"r_1","06","1","2014","32.7"
"r_1","06","2","2014","31.7"
"r_1","061","0","2004","4.3"
"r_1","061","1","2004","4.3"
"r_1","061","2","2004","4.2"
"r_1","061","0","2005","3.6"
"r_1","061","1","2005","3.7"
"r_1","061","2","2005","3.4"
"r_1","061","0","2006","4.3"
"r_1","061","1","2006","4.5"
"r_1","061","2","2006","3.7"
"r_1","061","0","2007","5.1"
"r_1","061","1","2007","5.5"
"r_1","061","2","2007","4"
"r_1","061","0","2008","5.3"
"r_1","061","1","2008","6"
"r_1","061","2","2008","3.8"
"r_1","061","0","2009","6.1"
"r_1","061","1","2009","6.9"
"r_1","061","2","2009","4.2"
"r_1","061","0","2010","6.9"
"r_1","061","1","2010","7.7"
"r_1","061","2","2010","5"
"r_1","061","0","2011","7.3"
"r_1","061","1","2011","8.1"
"r_1","061","2","2011","5.1"
"r_1","061","0","2012","7.7"
"r_1","061","1","2012","8.4"
"r_1","061","2","2012","5.6"
"r_1","061","0","2013","8.1"
"r_1","061","1","2013","8.9"
"r_1","061","2","2013","5.7"
"r_1","061","0","2014","8.6"
"r_1","061","1","2014","9.5"
"r_1","061","2","2014","5.8"
"r_1","062","0","2004","1"
"r_1","062","1","2004","0.8"
"r_1","062","2","2004","1.5"
"r_1","062","0","2005","1"
"r_1","062","1","2005","0.8"
"r_1","062","2","2005","1.6"
"r_1","062","0","2006","1"
"r_1","062","1","2006","0.8"
"r_1","062","2","2006","1.6"
"r_1","062","0","2007","1.1"
"r_1","062","1","2007","0.8"
"r_1","062","2","2007","1.7"
"r_1","062","0","2008","1.1"
"r_1","062","1","2008","0.8"
"r_1","062","2","2008","1.8"
"r_1","062","0","2009","1"
"r_1","062","1","2009","0.8"
"r_1","062","2","2009","1.6"
"r_1","062","0","2010","1"
