Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","1000BGN","хиляди левове","Thousand BGN"
"Indicators","","Показатели","Indicators"
"Indicators","3.1.2.5.3.1","СУМА НА АКТИВА","TOTAL ASSETS"
"Indicators","3.1.2.5.3.1.1","Нетекущи активи","Non-current assets"
"Indicators","3.1.2.5.3.1.1.1","Нетекущи финансови активи","Non-current financial assets"
"Indicators","3.1.2.5.3.1.1.2","Нетекущи нефинансови активи","Non-current non-financial assets"
"Indicators","3.1.2.5.3.1.2","Текущи активи","Current assets"
"Indicators","3.1.2.5.3.1.2.1","Парични средства","Cash"
"Indicators","3.1.2.5.3.1.2.2","Търговски инвестиции","Investments for trading"
"Indicators","3.1.2.5.3.1.2.3","Нефинансови активи","Non-financial assets"
"Indicators","3.1.2.5.3.1.2.4","Разходи за бъдещи периоди","Prepayments"
"Indicators","3.1.2.5.3.1.3","Получени чужди активи","Foreign assets received"
"Indicators","3.1.2.5.3.1.3.1","Финансови инструменти на клиенти","Financial instruments of clients"
"Indicators","3.1.2.5.3.1.3.2","Парични средства на клиенти","Cash of clients"
"Indicators","3.1.2.5.3.2","СУМА НА ПАСИВА","TOTAL LIABILITIES"
"Indicators","3.1.2.5.3.2.1","Собствен капитал","Equity"
"Indicators","3.1.2.5.3.2.1.1","Основен капитал","Capital"
"Indicators","3.1.2.5.3.2.1.2","Резерви","Reserves"
"Indicators","3.1.2.5.3.2.1.3","Преоценки","Revaluation"
"Indicators","3.1.2.5.3.2.1.4","Финансов резултат","Financial result"
"Indicators","3.1.2.5.3.2.2","Нетекущи пасиви","Non-current liabilities"
"Indicators","3.1.2.5.3.2.3","Текущи пасиви","Current liabilities"
"Indicators","3.1.2.5.3.2.3.1","Текущи задължения","Current liabilities"
"Indicators","3.1.2.5.3.2.3.2","Задължения по получени чужди активи","Liabilities on received foreign assets"
"Indicators","3.1.2.5.3.2.4","Приходи за бъдещи периоди","Accruals"
