RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2005","3.1.2.5.3.1.1","40189"
"r_2","1000BGN","2006","3.1.2.5.3.1.1","95921"
"r_2","1000BGN","2007","3.1.2.5.3.1.1","600453"
"r_2","1000BGN","2008","3.1.2.5.3.1.1","580968"
"r_2","1000BGN","2009","3.1.2.5.3.1.1","920506"
"r_2","1000BGN","2010","3.1.2.5.3.1.1","1242346"
"r_2","1000BGN","2011","3.1.2.5.3.1.1","1385990"
"r_2","1000BGN","2012","3.1.2.5.3.1.1","1230596"
"r_2","1000BGN","2013","3.1.2.5.3.1.1","1191394"
"r_2","1000BGN","2014","3.1.2.5.3.1.1","1190991"
"r_2","1000BGN","2015","3.1.2.5.3.1.1","1289922"
"r_2","1000BGN","2016","3.1.2.5.3.1.1","1381399"
"r_2","1000BGN","2017","3.1.2.5.3.1.1","1443626"
"r_2","1000BGN","2018","3.1.2.5.3.1.1","1483090"
"r_2","1000BGN","2019","3.1.2.5.3.1.1","1562019"
"r_2","1000BGN","2020","3.1.2.5.3.1.1","1608775"
"r_2","1000BGN","2005","3.1.2.5.3.1.1.1","34389"
"r_2","1000BGN","2006","3.1.2.5.3.1.1.1","89372"
"r_2","1000BGN","2007","3.1.2.5.3.1.1.1","497903"
"r_2","1000BGN","2008","3.1.2.5.3.1.1.1","419472"
"r_2","1000BGN","2009","3.1.2.5.3.1.1.1","690472"
"r_2","1000BGN","2010","3.1.2.5.3.1.1.1","953620"
"r_2","1000BGN","2011","3.1.2.5.3.1.1.1","1146256"
"r_2","1000BGN","2012","3.1.2.5.3.1.1.1","998829"
"r_2","1000BGN","2013","3.1.2.5.3.1.1.1","1035007"
"r_2","1000BGN","2014","3.1.2.5.3.1.1.1","1000983"
"r_2","1000BGN","2015","3.1.2.5.3.1.1.1","1092415"
"r_2","1000BGN","2016","3.1.2.5.3.1.1.1","1274427"
"r_2","1000BGN","2017","3.1.2.5.3.1.1.1","1335359"
"r_2","1000BGN","2018","3.1.2.5.3.1.1.1","1368806"
"r_2","1000BGN","2019","3.1.2.5.3.1.1.1","1452226"
"r_2","1000BGN","2020","3.1.2.5.3.1.1.1","1502297"
"r_2","1000BGN","2005","3.1.2.5.3.1.1.2","5800"
"r_2","1000BGN","2006","3.1.2.5.3.1.1.2","6549"
"r_2","1000BGN","2007","3.1.2.5.3.1.1.2","102550"
"r_2","1000BGN","2008","3.1.2.5.3.1.1.2","161496"
"r_2","1000BGN","2009","3.1.2.5.3.1.1.2","230034"
"r_2","1000BGN","2010","3.1.2.5.3.1.1.2","288726"
"r_2","1000BGN","2011","3.1.2.5.3.1.1.2","239734"
"r_2","1000BGN","2012","3.1.2.5.3.1.1.2","231767"
"r_2","1000BGN","2013","3.1.2.5.3.1.1.2","156387"
"r_2","1000BGN","2014","3.1.2.5.3.1.1.2","190008"
