Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","num","брой","Number"
"TradeObjects","","Търговски обекти за продажби на дребно ","Retail sales outlets"
"TradeObjects","7540","Бензиностанции","Petrol stations"
"TradeObjects","7550","Газостанции","Gas stations"
"TradeObjects","7560","Магазини и павилиони - общо","Shops and pavilions - total"
"TradeObjects","7561","Плодове и зеленчуци","Fruit and vegetables"
"TradeObjects","7562","Месо и месни продукти","Meat and meat products"
"TradeObjects","7563","Риба и рибни продукти","Fish and fish products"
"TradeObjects","7564","Хляб и хлебни изделия","Bread and bakery products"
"TradeObjects","7565","Захарни и сладкарски изделия","Sugar and sugar confectionery"
"TradeObjects","7566","Алкохолни и безалкохолни напитки","Beverages"
"TradeObjects","7568","Неспециализирани с разнообразни хранителни стоки","Unspecialized shops with different kinds of goods"
"TradeObjects","7569/7570","Аптеки, оптики и санитарни магазини","Pharmacies, optical and sanitary shops"
"TradeObjects","7571","Парфюмерия, козметика и тоалетни принадлежности","Perfume and cosmetics shops"
"TradeObjects","7572","Текстилни изделия","Textiles"
"TradeObjects","7573","Облекло","Clothing"
"TradeObjects","7574","Обувки и кожени изделия","Footwear and leather goods"
"TradeObjects","7575","Мебели, осветителни тела и стоки за домакинството","Furniture, lighting articles and household goods"
"TradeObjects","7576/7577","Електродомакински уреди, радио- и телевизионни стоки","Household appliances, radio and TV sets"
"TradeObjects","7578","Железария, лакове, бои","Ironmongery, varnishes and glasses"
"TradeObjects","7579","Строителни и отоплителни материали","Building and heating materials"
"TradeObjects","7580","Книги, вестници и списания","Books, newspapers and stationery"
"TradeObjects","7581","Моторни превозни средства и резервни части","Automobiles, motorcycles and spare parts"
"TradeObjects","7583","Неспециализирани с разнообразни  нехранителни стоки","Unspecialized shops with different kinds of goods (mainly non-foods)"
"TradeObjects","7591","За храни, напитки и тютюневи изделия","For foods, beverages and tobacco"
"TradeObjects","7592","За нехранителни стоки","For durable and other consumer goods"
"TradeObjects","в т.ч.","в това число:","of which:"
"TradeObjects","в т.ч.:","в това число:","of which:"
