RevisionColumn,Units,periods,TradeObjects,ValueColumn
"r_2","num","2000","7560","98192"
"r_2","num","2001","7560","101597"
"r_2","num","2002","7560","102228"
"r_2","num","2003","7560","103298"
"r_2","num","2004","7560","105241"
"r_2","num","2005","7560","106564"
"r_2","num","2006","7560","108798"
"r_2","num","2007","7560","109691"
"r_2","num","2008","7560","111370"
"r_2","num","2009","7560","121039"
"r_2","num","2010","7560","130102"
"r_2","num","2011","7560","132304"
"r_2","num","2012","7560","125909"
"r_2","num","2013","7560","122781"
"r_2","num","2014","7560","119706"
"r_2","num","2000","7591","45947"
"r_2","num","2001","7591","47174"
"r_2","num","2002","7591","46804"
"r_2","num","2003","7591","47051"
"r_2","num","2004","7591","46834"
"r_2","num","2005","7591","45888"
"r_2","num","2006","7591","45518"
"r_2","num","2007","7591","45136"
"r_2","num","2008","7591","43784"
"r_2","num","2009","7591","45930"
"r_2","num","2010","7591","48877"
"r_2","num","2011","7591","49324"
"r_2","num","2012","7591","47248"
"r_2","num","2013","7591","46098"
"r_2","num","2014","7591","44806"
"r_2","num","2000","â ò.÷.",""
"r_2","num","2001","â ò.÷.",""
"r_2","num","2002","â ò.÷.",""
"r_2","num","2003","â ò.÷.",""
"r_2","num","2004","â ò.÷.",""
"r_2","num","2005","â ò.÷.",""
"r_2","num","2006","â ò.÷.",""
"r_2","num","2007","â ò.÷.",""
"r_2","num","2008","â ò.÷.",""
"r_2","num","2009","â ò.÷.",""
"r_2","num","2010","â ò.÷.",""
"r_2","num","2011","â ò.÷.",""
"r_2","num","2012","â ò.÷.",""
"r_2","num","2013","â ò.÷.",""
"r_2","num","2014","â ò.÷.",""
"r_2","num","2000","7568","31541"
"r_2","num","2001","7568","32521"
"r_2","num","2002","7568","32414"
"r_2","num","2003","7568","32492"
"r_2","num","2004","7568","32517"
"r_2","num","2005","7568","32054"
"r_2","num","2006","7568","32215"
"r_2","num","2007","7568","31972"
"r_2","num","2008","7568","30835"
"r_2","num","2009","7568","31986"
"r_2","num","2010","7568","32841"
"r_2","num","2011","7568","32559"
"r_2","num","2012","7568","29856"
"r_2","num","2013","7568","29224"
"r_2","num","2014","7568","29018"
"r_2","num","2000","7561","1771"
"r_2","num","2001","7561","1827"
"r_2","num","2002","7561","1879"
"r_2","num","2003","7561","1883"
"r_2","num","2004","7561","1887"
"r_2","num","2005","7561","1891"
"r_2","num","2006","7561","1955"
"r_2","num","2007","7561","1960"
"r_2","num","2008","7561","2143"
"r_2","num","2009","7561","2518"
"r_2","num","2010","7561","2930"
"r_2","num","2011","7561","3163"
"r_2","num","2012","7561","3262"
"r_2","num","2013","7561","3093"
"r_2","num","2014","7561","3024"
"r_2","num","2000","7562","1099"
"r_2","num","2001","7562","1148"
"r_2","num","2002","7562","1159"
"r_2","num","2003","7562","1164"
"r_2","num","2004","7562","1165"
"r_2","num","2005","7562","1062"
"r_2","num","2006","7562","1079"
"r_2","num","2007","7562","1075"
"r_2","num","2008","7562","979"
"r_2","num","2009","7562","1113"
"r_2","num","2010","7562","1340"
"r_2","num","2011","7562","1349"
"r_2","num","2012","7562","1385"
"r_2","num","2013","7562","1381"
"r_2","num","2014","7562","1355"
"r_2","num","2000","7563","496"
"r_2","num","2001","7563","483"
"r_2","num","2002","7563","452"
"r_2","num","2003","7563","451"
"r_2","num","2004","7563","459"
"r_2","num","2005","7563","444"
"r_2","num","2006","7563","394"
"r_2","num","2007","7563","395"
"r_2","num","2008","7563","352"
"r_2","num","2009","7563","424"
"r_2","num","2010","7563","460"
"r_2","num","2011","7563","481"
"r_2","num","2012","7563","484"
"r_2","num","2013","7563","483"
"r_2","num","2014","7563","481"
"r_2","num","2000","7564","3571"
"r_2","num","2001","7564","3528"
"r_2","num","2002","7564","3310"
"r_2","num","2003","7564","3246"
"r_2","num","2004","7564","2973"
"r_2","num","2005","7564","2705"
"r_2","num","2006","7564","2338"
"r_2","num","2007","7564","2289"
"r_2","num","2008","7564","1833"
"r_2","num","2009","7564","1961"
"r_2","num","2010","7564","2260"
"r_2","num","2011","7564","2379"
"r_2","num","2012","7564","2290"
"r_2","num","2013","7564","2317"
"r_2","num","2014","7564","2242"
"r_2","num","2000","7565","1674"
"r_2","num","2001","7565","1734"
"r_2","num","2002","7565","1680"
"r_2","num","2003","7565","1835"
"r_2","num","2004","7565","1847"
"r_2","num","2005","7565","1861"
"r_2","num","2006","7565","2037"
"r_2","num","2007","7565","1992"
"r_2","num","2008","7565","2023"
"r_2","num","2009","7565","1793"
"r_2","num","2010","7565","2118"
"r_2","num","2011","7565","2143"
"r_2","num","2012","7565","2074"
"r_2","num","2013","7565","1956"
"r_2","num","2014","7565","1797"
"r_2","num","2000","7566","2144"
"r_2","num","2001","7566","2048"
"r_2","num","2002","7566","2024"
"r_2","num","2003","7566","2043"
"r_2","num","2004","7566","2036"
"r_2","num","2005","7566","1907"
"r_2","num","2006","7566","1839"
"r_2","num","2007","7566","1849"
"r_2","num","2008","7566","2090"
"r_2","num","2009","7566","2148"
"r_2","num","2010","7566","2576"
"r_2","num","2011","7566","3043"
"r_2","num","2012","7566","2929"
"r_2","num","2013","7566","2754"
"r_2","num","2014","7566","2610"
"r_2","num","2000","7592","52245"
"r_2","num","2001","7592","54423"
"r_2","num","2002","7592","55424"
"r_2","num","2003","7592","56247"
"r_2","num","2004","7592","58407"
"r_2","num","2005","7592","60676"
"r_2","num","2006","7592","63280"
"r_2","num","2007","7592","64555"
"r_2","num","2008","7592","67586"
"r_2","num","2009","7592","75109"
"r_2","num","2010","7592","81225"
"r_2","num","2011","7592","82980"
"r_2","num","2012","7592","78661"
"r_2","num","2013","7592","76683"
"r_2","num","2014","7592","74900"
"r_2","num","2000","â ò.÷.:",""
"r_2","num","2001","â ò.÷.:",""
"r_2","num","2002","â ò.÷.:",""
"r_2","num","2003","â ò.÷.:",""
"r_2","num","2004","â ò.÷.:",""
"r_2","num","2005","â ò.÷.:",""
"r_2","num","2006","â ò.÷.:",""
"r_2","num","2007","â ò.÷.:",""
"r_2","num","2008","â ò.÷.:",""
"r_2","num","2009","â ò.÷.:",""
"r_2","num","2010","â ò.÷.:",""
"r_2","num","2011","â ò.÷.:",""
"r_2","num","2012","â ò.÷.:",""
"r_2","num","2013","â ò.÷.:",""
"r_2","num","2014","â ò.÷.:",""
"r_2","num","2000","7583","10926"
"r_2","num","2001","7583","11194"
"r_2","num","2002","7583","9526"
"r_2","num","2003","7583","9472"
"r_2","num","2004","7583","9571"
"r_2","num","2005","7583","9652"
"r_2","num","2006","7583","9787"
"r_2","num","2007","7583","10056"
"r_2","num","2008","7583","10490"
"r_2","num","2009","7583","12604"
"r_2","num","2010","7583","14469"
"r_2","num","2011","7583","15287"
"r_2","num","2012","7583","14991"
"r_2","num","2013","7583","14950"
"r_2","num","2014","7583","14819"
"r_2","num","2000","7572","1912"
"r_2","num","2001","7572","1806"
"r_2","num","2002","7572","1698"
"r_2","num","2003","7572","1705"
"r_2","num","2004","7572","1873"
"r_2","num","2005","7572","2041"
"r_2","num","2006","7572","2067"
"r_2","num","2007","7572","2093"
"r_2","num","2008","7572","2415"
"r_2","num","2009","7572","2808"
"r_2","num","2010","7572","2879"
"r_2","num","2011","7572","3156"
"r_2","num","2012","7572","2923"
"r_2","num","2013","7572","2851"
"r_2","num","2014","7572","2795"
"r_2","num","2000","7573","9320"
"r_2","num","2001","7573","9403"
"r_2","num","2002","7573","9820"
"r_2","num","2003","7573","10114"
"r_2","num","2004","7573","11107"
"r_2","num","2005","7573","12013"
"r_2","num","2006","7573","13448"
"r_2","num","2007","7573","13984"
"r_2","num","2008","7573","15317"
"r_2","num","2009","7573","17604"
"r_2","num","2010","7573","18076"
"r_2","num","2011","7573","17371"
"r_2","num","2012","7573","17171"
"r_2","num","2013","7573","16289"
"r_2","num","2014","7573","15693"
"r_2","num","2000","7574","1867"
"r_2","num","2001","7574","1915"
"r_2","num","2002","7574","1993"
"r_2","num","2003","7574","2109"
"r_2","num","2004","7574","2359"
"r_2","num","2005","7574","2623"
"r_2","num","2006","7574","2773"
"r_2","num","2007","7574","2939"
"r_2","num","2008","7574","3174"
"r_2","num","2009","7574","3637"
"r_2","num","2010","7574","3835"
"r_2","num","2011","7574","3869"
"r_2","num","2012","7574","3696"
"r_2","num","2013","7574","3582"
"r_2","num","2014","7574","3751"
"r_2","num","2000","7575","2310"
"r_2","num","2001","7575","2404"
"r_2","num","2002","7575","2583"
"r_2","num","2003","7575","2604"
"r_2","num","2004","7575","2658"
"r_2","num","2005","7575","2906"
"r_2","num","2006","7575","3054"
"r_2","num","2007","7575","3224"
"r_2","num","2008","7575","3273"
"r_2","num","2009","7575","3400"
"r_2","num","2010","7575","3530"
"r_2","num","2011","7575","3410"
"r_2","num","2012","7575","3104"
"r_2","num","2013","7575","3103"
"r_2","num","2014","7575","2940"
"r_2","num","2000","7576/7577","1822"
"r_2","num","2001","7576/7577","1888"
"r_2","num","2002","7576/7577","2024"
"r_2","num","2003","7576/7577","2241"
"r_2","num","2004","7576/7577","2333"
"r_2","num","2005","7576/7577","2452"
"r_2","num","2006","7576/7577","2523"
"r_2","num","2007","7576/7577","2418"
"r_2","num","2008","7576/7577","2059"
"r_2","num","2009","7576/7577","1908"
"r_2","num","2010","7576/7577","2047"
"r_2","num","2011","7576/7577","2058"
"r_2","num","2012","7576/7577","1691"
"r_2","num","2013","7576/7577","1601"
"r_2","num","2014","7576/7577","1658"
"r_2","num","2000","7578","2047"
"r_2","num","2001","7578","2106"
