RevisionColumn,HBS_Meassure,HBS_OD,Residence,periods,ValueColumn
"r_10","1","11","0","2008","8686"
"r_10","1","11","1","2008","9374"
"r_10","1","11","2","2008","7140"
"r_10","1","11","0","2009","9122"
"r_10","1","11","1","2009","9934"
"r_10","1","11","2","2009","7298"
"r_10","1","11","0","2010","9023"
"r_10","1","11","1","2010","9655"
"r_10","1","11","2","2010","7416"
"r_10","1","11","0","2011","9251"
"r_10","1","11","1","2011","10013"
"r_10","1","11","2","2011","7272"
"r_10","1","11","0","2012","10244"
"r_10","1","11","1","2012","10875"
"r_10","1","11","2","2012","8335"
"r_10","1","11","0","2013","11420"
"r_10","1","11","1","2013","12269"
"r_10","1","11","2","2013","8703"
"r_10","1","11","0","2014","11666"
"r_10","1","11","1","2014","12543"
"r_10","1","11","2","2014","8858"
"r_10","1","11","0","2015","11883"
"r_10","1","11","1","2015","12774"
"r_10","1","11","2","2015","9031"
"r_10","1","11","0","2016","12112"
"r_10","1","11","1","2016","12969"
"r_10","1","11","2","2016","9625"
"r_10","1","11","0","2017","12836"
"r_10","1","11","1","2017","13839"
"r_10","1","11","2","2017","10022"
"r_10","1","11","0","2018","13450"
"r_10","1","11","1","2018","14447"
"r_10","1","11","2","2018","10658"
"r_10","1","11","0","2019","14361"
"r_10","1","11","1","2019","15389"
"r_10","1","11","2","2019","11488"
"r_10","1","11","0","2020","15088"
"r_10","1","11","1","2020","16020"
"r_10","1","11","2","2020","12392"
"r_10","1","11","0","2021","16115"
"r_10","1","11","1","2021","17068"
"r_10","1","11","2","2021","13247"
"r_10","1","11","0","2022","18556"
"r_10","1","11","1","2022","19533"
"r_10","1","11","2","2022","15601"
"r_10","1","111","0","2008","8136"
"r_10","1","111","1","2008","8915"
"r_10","1","111","2","2008","6386"
"r_10","1","111","0","2009","8733"
"r_10","1","111","1","2009","9563"
"r_10","1","111","2","2009","6869"
"r_10","1","111","0","2010","8593"
"r_10","1","111","1","2010","9244"
"r_10","1","111","2","2010","6939"
"r_10","1","111","0","2011","8866"
"r_10","1","111","1","2011","9624"
"r_10","1","111","2","2011","6897"
"r_10","1","111","0","2012","9755"
"r_10","1","111","1","2012","10423"
"r_10","1","111","2","2012","7730"
"r_10","1","111","0","2013","10773"
"r_10","1","111","1","2013","11562"
"r_10","1","111","2","2013","8249"
"r_10","1","111","0","2014","11255"
"r_10","1","111","1","2014","12147"
"r_10","1","111","2","2014","8401"
"r_10","1","111","0","2015","11487"
"r_10","1","111","1","2015","12417"
"r_10","1","111","2","2015","8511"
"r_10","1","111","0","2016","11694"
"r_10","1","111","1","2016","12557"
"r_10","1","111","2","2016","9191"
"r_10","1","111","0","2017","12262"
"r_10","1","111","1","2017","13254"
"r_10","1","111","2","2017","9479"
"r_10","1","111","0","2018","12853"
"r_10","1","111","1","2018","13876"
"r_10","1","111","2","2018","9990"
"r_10","1","111","0","2019","13781"
"r_10","1","111","1","2019","14830"
"r_10","1","111","2","2019","10848"
"r_10","1","111","0","2020","14543"
"r_10","1","111","1","2020","15502"
"r_10","1","111","2","2020","11770"
"r_10","1","111","0","2021","15549"
"r_10","1","111","1","2021","16511"
"r_10","1","111","2","2021","12651"
"r_10","1","111","0","2022","17964"
"r_10","1","111","1","2022","18946"
"r_10","1","111","2","2022","14995"
"r_10","1","1111","0","2008","4505"
"r_10","1","1111","1","2008","5334"
"r_10","1","1111","2","2008","2640"
"r_10","1","1111","0","2009","4762"
"r_10","1","1111","1","2009","5623"
"r_10","1","1111","2","2009","2829"
"r_10","1","1111","0","2010","4592"
"r_10","1","1111","1","2010","5254"
"r_10","1","1111","2","2010","2910"
"r_10","1","1111","0","2011","4793"
"r_10","1","1111","1","2011","5503"
"r_10","1","1111","2","2011","2951"
"r_10","1","1111","0","2012","5399"
"r_10","1","1111","1","2012","6089"
"r_10","1","1111","2","2012","3307"
"r_10","1","1111","0","2013","6067"
"r_10","1","1111","1","2013","6861"
"r_10","1","1111","2","2013","3524"
"r_10","1","1111","0","2014","6327"
"r_10","1","1111","1","2014","7218"
"r_10","1","1111","2","2014","3473"
"r_10","1","1111","0","2015","6541"
"r_10","1","1111","1","2015","7436"
"r_10","1","1111","2","2015","3676"
"r_10","1","1111","0","2016","6579"
"r_10","1","1111","1","2016","7444"
"r_10","1","1111","2","2016","4069"
"r_10","1","1111","0","2017","6980"
"r_10","1","1111","1","2017","7964"
"r_10","1","1111","2","2017","4219"
"r_10","1","1111","0","2018","7461"
"r_10","1","1111","1","2018","8506"
"r_10","1","1111","2","2018","4536"
"r_10","1","1111","0","2019","8128"
"r_10","1","1111","1","2019","9196"
"r_10","1","1111","2","2019","5143"
"r_10","1","1111","0","2020","8461"
"r_10","1","1111","1","2020","9443"
"r_10","1","1111","2","2020","5619"
"r_10","1","1111","0","2021","9159"
"r_10","1","1111","1","2021","10173"
"r_10","1","1111","2","2021","6106"
"r_10","1","1111","0","2022","9994"
"r_10","1","1111","1","2022","11061"
"r_10","1","1111","2","2022","6766"
"r_10","1","1112","0","2008","424"
"r_10","1","1112","1","2008","477"
"r_10","1","1112","2","2008","307"
"r_10","1","1112","0","2009","378"
"r_10","1","1112","1","2009","416"
"r_10","1","1112","2","2009","294"
"r_10","1","1112","0","2010","192"
"r_10","1","1112","1","2010","208"
"r_10","1","1112","2","2010","152"
"r_10","1","1112","0","2011","122"
"r_10","1","1112","1","2011","133"
"r_10","1","1112","2","2011","92"
"r_10","1","1112","0","2012","257"
"r_10","1","1112","1","2012","287"
"r_10","1","1112","2","2012","166"
"r_10","1","1112","0","2013","431"
"r_10","1","1112","1","2013","481"
"r_10","1","1112","2","2013","271"
"r_10","1","1112","0","2014","403"
"r_10","1","1112","1","2014","431"
"r_10","1","1112","2","2014","314"
"r_10","1","1112","0","2015","380"
"r_10","1","1112","1","2015","391"
"r_10","1","1112","2","2015","343"
"r_10","1","1112","0","2016","352"
"r_10","1","1112","1","2016","371"
"r_10","1","1112","2","2016","298"
"r_10","1","1112","0","2017","297"
"r_10","1","1112","1","2017","321"
"r_10","1","1112","2","2017","229"
"r_10","1","1112","0","2018","157"
"r_10","1","1112","1","2018","157"
"r_10","1","1112","2","2018","156"
"r_10","1","1112","0","2019","122"
"r_10","1","1112","1","2019","124"
"r_10","1","1112","2","2019","117"
"r_10","1","1112","0","2020","99"
"r_10","1","1112","1","2020","92"
"r_10","1","1112","2","2020","120"
"r_10","1","1112","0","2021","102"
"r_10","1","1112","1","2021","106"
"r_10","1","1112","2","2021","92"
"r_10","1","1112","0","2022","147"
"r_10","1","1112","1","2022","140"
"r_10","1","1112","2","2022","167"
"r_10","1","1113","0","2008","674"
"r_10","1","1113","1","2008","543"
"r_10","1","1113","2","2008","968"
"r_10","1","1113","0","2009","651"
"r_10","1","1113","1","2009","524"
"r_10","1","1113","2","2009","938"
"r_10","1","1113","0","2010","564"
"r_10","1","1113","1","2010","519"
"r_10","1","1113","2","2010","679"
"r_10","1","1113","0","2011","705"
"r_10","1","1113","1","2011","746"
"r_10","1","1113","2","2011","598"
"r_10","1","1113","0","2012","782"
"r_10","1","1113","1","2012","769"
"r_10","1","1113","2","2012","822"
"r_10","1","1113","0","2013","779"
"r_10","1","1113","1","2013","771"
"r_10","1","1113","2","2013","803"
"r_10","1","1113","0","2014","872"
"r_10","1","1113","1","2014","871"
"r_10","1","1113","2","2014","875"
"r_10","1","1113","0","2015","859"
"r_10","1","1113","1","2015","913"
"r_10","1","1113","2","2015","688"
"r_10","1","1113","0","2016","749"
"r_10","1","1113","1","2016","737"
"r_10","1","1113","2","2016","784"
"r_10","1","1113","0","2017","865"
"r_10","1","1113","1","2017","890"
"r_10","1","1113","2","2017","796"
"r_10","1","1113","0","2018","940"
"r_10","1","1113","1","2018","985"
"r_10","1","1113","2","2018","816"
"r_10","1","1113","0","2019","916"
"r_10","1","1113","1","2019","947"
"r_10","1","1113","2","2019","830"
"r_10","1","1113","0","2020","935"
"r_10","1","1113","1","2020","930"
"r_10","1","1113","2","2020","950"
"r_10","1","1113","0","2021","839"
"r_10","1","1113","1","2021","853"
"r_10","1","1113","2","2021","796"
"r_10","1","1113","0","2022","866"
"r_10","1","1113","1","2022","847"
"r_10","1","1113","2","2022","925"
"r_10","1","1114","0","2008","77"
"r_10","1","1114","1","2008","92"
"r_10","1","1114","2","2008","42"
"r_10","1","1114","0","2009","59"
"r_10","1","1114","1","2009","73"
"r_10","1","1114","2","2009","29"
"r_10","1","1114","0","2010","69"
"r_10","1","1114","1","2010","83"
"r_10","1","1114","2","2010","33"
"r_10","1","1114","0","2011","61"
"r_10","1","1114","1","2011","63"
"r_10","1","1114","2","2011","54"
"r_10","1","1114","0","2012","96"
"r_10","1","1114","1","2012","99"
"r_10","1","1114","2","2012","89"
"r_10","1","1114","0","2013","124"
"r_10","1","1114","1","2013","137"
"r_10","1","1114","2","2013","79"
"r_10","1","1114","0","2014","93"
"r_10","1","1114","1","2014","98"
"r_10","1","1114","2","2014","79"
"r_10","1","1114","0","2015","65"
"r_10","1","1114","1","2015","63"
"r_10","1","1114","2","2015","71"
"r_10","1","1114","0","2016","84"
"r_10","1","1114","1","2016","73"
"r_10","1","1114","2","2016","117"
"r_10","1","1114","0","2017","118"
"r_10","1","1114","1","2017","109"
"r_10","1","1114","2","2017","143"
"r_10","1","1114","0","2018","68"
"r_10","1","1114","1","2018","70"
"r_10","1","1114","2","2018","61"
"r_10","1","1114","0","2019","94"
"r_10","1","1114","1","2019","99"
"r_10","1","1114","2","2019","81"
"r_10","1","1114","0","2020","93"
"r_10","1","1114","1","2020","106"
"r_10","1","1114","2","2020","55"
"r_10","1","1114","0","2021","69"
"r_10","1","1114","1","2021","86"
"r_10","1","1114","2","2021","19"
"r_10","1","1114","0","2022","106"
"r_10","1","1114","1","2022","115"
"r_10","1","1114","2","2022","79"
"r_10","1","1115","0","2008","2010"
"r_10","1","1115","1","2008","1997"
"r_10","1","1115","2","2008","2040"
"r_10","1","1115","0","2009","2517"
"r_10","1","1115","1","2009","2524"
"r_10","1","1115","2","2009","2502"
"r_10","1","1115","0","2010","2791"
"r_10","1","1115","1","2010","2760"
"r_10","1","1115","2","2010","2869"
"r_10","1","1115","0","2011","2789"
"r_10","1","1115","1","2011","2740"
"r_10","1","1115","2","2011","2916"
"r_10","1","1115","0","2012","2730"
"r_10","1","1115","1","2012","2647"
"r_10","1","1115","2","2012","2984"
"r_10","1","1115","0","2013","2915"
"r_10","1","1115","1","2013","2836"
"r_10","1","1115","2","2013","3166"
"r_10","1","1115","0","2014","3010"
"r_10","1","1115","1","2014","2939"
"r_10","1","1115","2","2014","3237"
"r_10","1","1115","0","2015","3085"
"r_10","1","1115","1","2015","3022"
"r_10","1","1115","2","2015","3287"
"r_10","1","1115","0","2016","3357"
"r_10","1","1115","1","2016","3349"
"r_10","1","1115","2","2016","3383"
"r_10","1","1115","0","2017","3399"
"r_10","1","1115","1","2017","3359"
"r_10","1","1115","2","2017","3512"
"r_10","1","1115","0","2018","3678"
"r_10","1","1115","1","2018","3618"
"r_10","1","1115","2","2018","3847"
"r_10","1","1115","0","2019","3924"
"r_10","1","1115","1","2019","3895"
"r_10","1","1115","2","2019","4005"
"r_10","1","1115","0","2020","4348"
"r_10","1","1115","1","2020","4327"
"r_10","1","1115","2","2020","4409"
"r_10","1","1115","0","2021","4834"
"r_10","1","1115","1","2021","4737"
"r_10","1","1115","2","2021","5125"
"r_10","1","1115","0","2022","6261"
"r_10","1","1115","1","2022","6208"
"r_10","1","1115","2","2022","6420"
"r_10","1","1116","0","2008","17"
"r_10","1","1116","1","2008","15"
"r_10","1","1116","2","2008","19"
"r_10","1","1116","0","2009","50"
"r_10","1","1116","1","2009","51"
"r_10","1","1116","2","2009","48"
"r_10","1","1116","0","2010","57"
"r_10","1","1116","1","2010","60"
"r_10","1","1116","2","2010","51"
"r_10","1","1116","0","2011","65"
"r_10","1","1116","1","2011","71"
"r_10","1","1116","2","2011","48"
"r_10","1","1116","0","2012","67"
"r_10","1","1116","1","2012","65"
"r_10","1","1116","2","2012","75"
"r_10","1","1116","0","2013","76"
"r_10","1","1116","1","2013","78"
"r_10","1","1116","2","2013","69"
"r_10","1","1116","0","2014","64"
"r_10","1","1116","1","2014","64"
"r_10","1","1116","2","2014","62"
"r_10","1","1116","0","2015","48"
"r_10","1","1116","1","2015","51"
"r_10","1","1116","2","2015","39"
"r_10","1","1116","0","2016","47"
"r_10","1","1116","1","2016","50"
"r_10","1","1116","2","2016","40"
"r_10","1","1116","0","2017","46"
"r_10","1","1116","1","2017","49"
"r_10","1","1116","2","2017","39"
"r_10","1","1116","0","2018","46"
"r_10","1","1116","1","2018","51"
"r_10","1","1116","2","2018","31"
"r_10","1","1116","0","2019","39"
"r_10","1","1116","1","2019","30"
"r_10","1","1116","2","2019","64"
"r_10","1","1116","0","2020","69"
"r_10","1","1116","1","2020","66"
"r_10","1","1116","2","2020","78"
"r_10","1","1116","0","2021","64"
"r_10","1","1116","1","2021","68"
"r_10","1","1116","2","2021","52"
"r_10","1","1116","0","2022","61"
"r_10","1","1116","1","2022","60"
"r_10","1","1116","2","2022","65"
"r_10","1","1117","0","2008","57"
"r_10","1","1117","1","2008","54"
"r_10","1","1117","2","2008","64"
"r_10","1","1117","0","2009","84"
"r_10","1","1117","1","2009","83"
"r_10","1","1117","2","2009","86"
"r_10","1","1117","0","2010","81"
"r_10","1","1117","1","2010","81"
"r_10","1","1117","2","2010","80"
"r_10","1","1117","0","2011","78"
"r_10","1","1117","1","2011","77"
"r_10","1","1117","2","2011","79"
"r_10","1","1117","0","2012","84"
"r_10","1","1117","1","2012","82"
"r_10","1","1117","2","2012","89"
"r_10","1","1117","0","2013","85"
"r_10","1","1117","1","2013","82"
"r_10","1","1117","2","2013","96"
"r_10","1","1117","0","2014","103"
"r_10","1","1117","1","2014","95"
"r_10","1","1117","2","2014","129"
"r_10","1","1117","0","2015","111"
"r_10","1","1117","1","2015","102"
"r_10","1","1117","2","2015","141"
"r_10","1","1117","0","2016","94"
"r_10","1","1117","1","2016","86"
"r_10","1","1117","2","2016","118"
"r_10","1","1117","0","2017","91"
"r_10","1","1117","1","2017","82"
"r_10","1","1117","2","2017","114"
"r_10","1","1117","0","2018","178"
"r_10","1","1117","1","2018","180"
"r_10","1","1117","2","2018","171"
"r_10","1","1117","0","2019","179"
"r_10","1","1117","1","2019","186"
"r_10","1","1117","2","2019","159"
"r_10","1","1117","0","2020","177"
"r_10","1","1117","1","2020","195"
"r_10","1","1117","2","2020","127"
