Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","1000BGN","хиляди левове","Thousand BGN"
"Indicators","","Показатели","Indicators"
"Indicators","3.1.2.1.1.1","ВСИЧКО","TOTAL"
"Indicators","3.1.2.1.1.1.1","Разходи за дейността","Expenditure"
"Indicators","3.1.2.1.1.1.1.1","Разходи за регламентирана дейност","Expenditure for regular activity"
"Indicators","3.1.2.1.1.1.1.2","Административни разходи","Administrative expenditure"
"Indicators","3.1.2.1.1.1.2","Финансови разходи","Financial costs"
"Indicators","3.1.2.1.1.1.3","Извънредни разходи","Extraordinary expenditure"
"Indicators","3.1.2.1.1.1.4","Загуба от стопанска дейност","Loss from economic activity"
"Indicators","3.1.2.1.1.1.5","Резултат","Positive result"
"Indicators","3.1.2.1.1.2","ВСИЧКО","TOTAL"
"Indicators","3.1.2.1.1.2.1","Приходи от дейността","Revenues"
"Indicators","3.1.2.1.1.2.1.0","Приходи от регламентирана дейност","Revenues from regular activity"
"Indicators","3.1.2.1.1.2.1.0.1","Приходи от дарения под условие","Grants under condition"
"Indicators","3.1.2.1.1.2.1.0.2","Приходи от дарения без условие","Grants without condition"
"Indicators","3.1.2.1.1.2.1.0.3","Членски внос","Membership fee"
"Indicators","3.1.2.1.1.2.1.0.4","Други приходи","Other revenues"
"Indicators","3.1.2.1.1.2.2","Финансови приходи","Financial receipts"
"Indicators","3.1.2.1.1.2.3","Извънредни приходи","Extraordinary receipts"
"Indicators","3.1.2.1.1.2.4","Печалба от стопанска дейност","Profit from economic activity"
"Indicators","3.1.2.1.1.2.5","Резултат","Negative result"
