RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2005","3.1.2.1.1.1.1","221961"
"r_2","1000BGN","2006","3.1.2.1.1.1.1","251921"
"r_2","1000BGN","2007","3.1.2.1.1.1.1","271569"
"r_2","1000BGN","2008","3.1.2.1.1.1.1","320128"
"r_2","1000BGN","2009","3.1.2.1.1.1.1","346921"
"r_2","1000BGN","2010","3.1.2.1.1.1.1","344489"
"r_2","1000BGN","2011","3.1.2.1.1.1.1","404794"
"r_2","1000BGN","2012","3.1.2.1.1.1.1","460785"
"r_2","1000BGN","2013","3.1.2.1.1.1.1","487600"
"r_2","1000BGN","2014","3.1.2.1.1.1.1","520746"
"r_2","1000BGN","2015","3.1.2.1.1.1.1","520591"
"r_2","1000BGN","2016","3.1.2.1.1.1.1","507968"
"r_2","1000BGN","2017","3.1.2.1.1.1.1","546812"
"r_2","1000BGN","2018","3.1.2.1.1.1.1","590812"
"r_2","1000BGN","2019","3.1.2.1.1.1.1","650316"
"r_2","1000BGN","2020","3.1.2.1.1.1.1","620198"
"r_2","1000BGN","2005","3.1.2.1.1.1.1.1","121708"
"r_2","1000BGN","2006","3.1.2.1.1.1.1.1","134122"
"r_2","1000BGN","2007","3.1.2.1.1.1.1.1","141604"
"r_2","1000BGN","2008","3.1.2.1.1.1.1.1","168086"
"r_2","1000BGN","2009","3.1.2.1.1.1.1.1","177458"
"r_2","1000BGN","2010","3.1.2.1.1.1.1.1","172937"
"r_2","1000BGN","2011","3.1.2.1.1.1.1.1","210941"
"r_2","1000BGN","2012","3.1.2.1.1.1.1.1","230819"
"r_2","1000BGN","2013","3.1.2.1.1.1.1.1","245750"
"r_2","1000BGN","2014","3.1.2.1.1.1.1.1","258717"
"r_2","1000BGN","2015","3.1.2.1.1.1.1.1","258501"
"r_2","1000BGN","2016","3.1.2.1.1.1.1.1","252325"
"r_2","1000BGN","2017","3.1.2.1.1.1.1.1","278844"
"r_2","1000BGN","2018","3.1.2.1.1.1.1.1","288356"
"r_2","1000BGN","2019","3.1.2.1.1.1.1.1","320112"
"r_2","1000BGN","2020","3.1.2.1.1.1.1.1","315988"
"r_2","1000BGN","2005","3.1.2.1.1.1.1.2","100253"
"r_2","1000BGN","2006","3.1.2.1.1.1.1.2","117799"
"r_2","1000BGN","2007","3.1.2.1.1.1.1.2","129965"
"r_2","1000BGN","2008","3.1.2.1.1.1.1.2","152042"
"r_2","1000BGN","2009","3.1.2.1.1.1.1.2","169463"
"r_2","1000BGN","2010","3.1.2.1.1.1.1.2","171552"
"r_2","1000BGN","2011","3.1.2.1.1.1.1.2","193853"
"r_2","1000BGN","2012","3.1.2.1.1.1.1.2","229966"
"r_2","1000BGN","2013","3.1.2.1.1.1.1.2","241850"
"r_2","1000BGN","2014","3.1.2.1.1.1.1.2","262029"
"r_2","1000BGN","2015","3.1.2.1.1.1.1.2","262090"
"r_2","1000BGN","2016","3.1.2.1.1.1.1.2","255643"
"r_2","1000BGN","2017","3.1.2.1.1.1.1.2","267968"
"r_2","1000BGN","2018","3.1.2.1.1.1.1.2","302456"
"r_2","1000BGN","2019","3.1.2.1.1.1.1.2","330204"
"r_2","1000BGN","2020","3.1.2.1.1.1.1.2","304210"
"r_2","1000BGN","2005","3.1.2.1.1.1.2","2636"
"r_2","1000BGN","2006","3.1.2.1.1.1.2","5077"
"r_2","1000BGN","2007","3.1.2.1.1.1.2","4112"
"r_2","1000BGN","2008","3.1.2.1.1.1.2","7210"
"r_2","1000BGN","2009","3.1.2.1.1.1.2","3654"
"r_2","1000BGN","2010","3.1.2.1.1.1.2","3676"
"r_2","1000BGN","2011","3.1.2.1.1.1.2","3594"
"r_2","1000BGN","2012","3.1.2.1.1.1.2","3725"
"r_2","1000BGN","2013","3.1.2.1.1.1.2","4608"
"r_2","1000BGN","2014","3.1.2.1.1.1.2","5056"
"r_2","1000BGN","2015","3.1.2.1.1.1.2","6207"
"r_2","1000BGN","2016","3.1.2.1.1.1.2","4237"
"r_2","1000BGN","2017","3.1.2.1.1.1.2","6327"
"r_2","1000BGN","2018","3.1.2.1.1.1.2","6292"
"r_2","1000BGN","2019","3.1.2.1.1.1.2",".."
"r_2","1000BGN","2020","3.1.2.1.1.1.2","6200"
"r_2","1000BGN","2005","3.1.2.1.1.1.3","214"
"r_2","1000BGN","2006","3.1.2.1.1.1.3","323"
"r_2","1000BGN","2007","3.1.2.1.1.1.3","317"
"r_2","1000BGN","2008","3.1.2.1.1.1.3","260"
"r_2","1000BGN","2009","3.1.2.1.1.1.3","899"
"r_2","1000BGN","2010","3.1.2.1.1.1.3","583"
"r_2","1000BGN","2011","3.1.2.1.1.1.3","848"
"r_2","1000BGN","2012","3.1.2.1.1.1.3","539"
"r_2","1000BGN","2013","3.1.2.1.1.1.3","614"
"r_2","1000BGN","2014","3.1.2.1.1.1.3","810"
"r_2","1000BGN","2015","3.1.2.1.1.1.3","1670"
"r_2","1000BGN","2016","3.1.2.1.1.1.3","#"
"r_2","1000BGN","2017","3.1.2.1.1.1.3","#"
"r_2","1000BGN","2018","3.1.2.1.1.1.3","#"
"r_2","1000BGN","2019","3.1.2.1.1.1.3","#"
"r_2","1000BGN","2020","3.1.2.1.1.1.3","#"
"r_2","1000BGN","2005","3.1.2.1.1.1.4","3489"
"r_2","1000BGN","2006","3.1.2.1.1.1.4","3557"
"r_2","1000BGN","2007","3.1.2.1.1.1.4","3107"
"r_2","1000BGN","2008","3.1.2.1.1.1.4","3939"
"r_2","1000BGN","2009","3.1.2.1.1.1.4","7121"
"r_2","1000BGN","2010","3.1.2.1.1.1.4","7227"
"r_2","1000BGN","2011","3.1.2.1.1.1.4","8306"
"r_2","1000BGN","2012","3.1.2.1.1.1.4","12412"
