RevisionColumn,NACE2008A21,periods,Ownership,Units,ValueColumn
"r_13","0","2008","total","BGN_tabl","6538"
"r_13","0","2008","1","BGN_tabl","7811"
"r_13","0","2008","2","BGN_tabl","6114"
"r_13","0","2009","total","BGN_tabl","7309"
"r_13","0","2009","1","BGN_tabl","8563"
"r_13","0","2009","2","BGN_tabl","6886"
"r_13","0","2010","total","BGN_tabl","7777"
"r_13","0","2010","1","BGN_tabl","8983"
"r_13","0","2010","2","BGN_tabl","7366"
"r_13","0","2011","total","BGN_tabl","8230"
"r_13","0","2011","1","BGN_tabl","9133"
"r_13","0","2011","2","BGN_tabl","7926"
"r_13","0","2012","total","BGN_tabl","8773"
"r_13","0","2012","1","BGN_tabl","9496"
"r_13","0","2012","2","BGN_tabl","8528"
"r_13","0","2013","total","BGN_tabl","9301"
"r_13","0","2013","1","BGN_tabl","10027"
"r_13","0","2013","2","BGN_tabl","9054"
"r_13","0","2014","total","BGN_tabl","9860"
"r_13","0","2014","1","BGN_tabl","10654"
"r_13","0","2014","2","BGN_tabl","9602"
"r_13","0","2015","total","BGN_tabl","10535"
"r_13","0","2015","1","BGN_tabl","11109"
"r_13","0","2015","2","BGN_tabl","10355"
"r_13","0","2016","total","BGN_tabl","11379"
"r_13","0","2016","1","BGN_tabl","11772"
"r_13","0","2016","2","BGN_tabl","11257"
"r_13","0","2017","total","BGN_tabl","12448"
"r_13","0","2017","1","BGN_tabl","12789"
"r_13","0","2017","2","BGN_tabl","12344"
"r_13","0","2018","total","BGN_tabl","13755"
"r_13","0","2018","1","BGN_tabl","13884"
"r_13","0","2018","2","BGN_tabl","13717"
"r_13","0","2019","total","BGN_tabl","15209"
"r_13","0","2019","1","BGN_tabl","15522"
"r_13","0","2019","2","BGN_tabl","15114"
"r_13","0","2020","total","BGN_tabl","16687"
"r_13","0","2020","1","BGN_tabl","17239"
"r_13","0","2020","2","BGN_tabl","16508"
"r_13","0","2021","total","BGN_tabl","18733"
"r_13","0","2021","1","BGN_tabl","19920"
"r_13","0","2021","2","BGN_tabl","18353"
"r_13","0","2022","total","BGN_tabl","21242"
"r_13","0","2022","1","BGN_tabl","21700"
"r_13","0","2022","2","BGN_tabl","21096"
"r_13","0","2023","total","BGN_tabl","24485"
"r_13","0","2023","1","BGN_tabl","25083"
"r_13","0","2023","2","BGN_tabl","24295"
"r_13","0","2024","total","BGN_tabl","27898"
