RevisionColumn,periods,NUTS,Indicators,Units,ValueColumn
"r_3","2007","BG","3.1.1.6.1","1000EUR","15167125.4"
"r_3","2008","BG","3.1.1.6.1","1000EUR","19185002.9"
"r_3","2009","BG","3.1.1.6.1","1000EUR","20441581.2"
"r_3","2010","BG","3.1.1.6.1","1000EUR","22114446.3"
"r_3","2011","BG","3.1.1.6.1","1000EUR","21644918"
"r_3","2012","BG","3.1.1.6.1","1000EUR","21950596.1"
"r_3","2013","BG","3.1.1.6.1","1000EUR","23339733.1"
"r_3","2014","BG","3.1.1.6.1","1000EUR","21581579.6"
"r_3","2007","BG31","3.1.1.6.1","1000EUR","425802.2"
"r_3","2008","BG31","3.1.1.6.1","1000EUR","500961.1"
"r_3","2009","BG31","3.1.1.6.1","1000EUR","495573.8"
"r_3","2010","BG31","3.1.1.6.1","1000EUR","512142"
"r_3","2011","BG31","3.1.1.6.1","1000EUR","539099.1"
"r_3","2012","BG31","3.1.1.6.1","1000EUR","573295.3"
"r_3","2013","BG31","3.1.1.6.1","1000EUR","700969"
"r_3","2014","BG31","3.1.1.6.1","1000EUR","664722.1"
"r_3","2007","BG311","3.1.1.6.1","1000EUR","45038.6"
"r_3","2008","BG311","3.1.1.6.1","1000EUR","23181.3"
"r_3","2009","BG311","3.1.1.6.1","1000EUR","17964.3"
"r_3","2010","BG311","3.1.1.6.1","1000EUR","33369.1"
"r_3","2011","BG311","3.1.1.6.1","1000EUR","33057.9"
"r_3","2012","BG311","3.1.1.6.1","1000EUR","61232.6"
"r_3","2013","BG311","3.1.1.6.1","1000EUR","59324.3"
"r_3","2014","BG311","3.1.1.6.1","1000EUR","51686.2"
"r_3","2007","BG313","3.1.1.6.1","1000EUR","123925.2"
"r_3","2008","BG313","3.1.1.6.1","1000EUR","157196.7"
"r_3","2009","BG313","3.1.1.6.1","1000EUR","166458.6"
"r_3","2010","BG313","3.1.1.6.1","1000EUR","178759.4"
"r_3","2011","BG313","3.1.1.6.1","1000EUR","172668.2"
"r_3","2012","BG313","3.1.1.6.1","1000EUR","152754.8"
"r_3","2013","BG313","3.1.1.6.1","1000EUR","157668.4"
"r_3","2014","BG313","3.1.1.6.1","1000EUR","138052.7"
"r_3","2007","BG315","3.1.1.6.1","1000EUR","79555.4"
"r_3","2008","BG315","3.1.1.6.1","1000EUR","104205.6"
"r_3","2009","BG315","3.1.1.6.1","1000EUR","111938.7"
"r_3","2010","BG315","3.1.1.6.1","1000EUR","121997.6"
"r_3","2011","BG315","3.1.1.6.1","1000EUR","133061.3"
"r_3","2012","BG315","3.1.1.6.1","1000EUR","132962.7"
"r_3","2013","BG315","3.1.1.6.1","1000EUR","134793.3"
"r_3","2014","BG315","3.1.1.6.1","1000EUR","133999.9"
"r_3","2007","BG312","3.1.1.6.1","1000EUR","11427.4"
"r_3","2008","BG312","3.1.1.6.1","1000EUR","23016.5"
"r_3","2009","BG312","3.1.1.6.1","1000EUR","25628"
"r_3","2010","BG312","3.1.1.6.1","1000EUR","24652.6"
"r_3","2011","BG312","3.1.1.6.1","1000EUR","25384.1"
"r_3","2012","BG312","3.1.1.6.1","1000EUR","31380.1"
"r_3","2013","BG312","3.1.1.6.1","1000EUR","38093.7"
"r_3","2014","BG312","3.1.1.6.1","1000EUR","34218.1"
"r_3","2007","BG314","3.1.1.6.1","1000EUR","165855.6"
"r_3","2008","BG314","3.1.1.6.1","1000EUR","193361"
"r_3","2009","BG314","3.1.1.6.1","1000EUR","173584.2"
"r_3","2010","BG314","3.1.1.6.1","1000EUR","153363.3"
"r_3","2011","BG314","3.1.1.6.1","1000EUR","174927.6"
"r_3","2012","BG314","3.1.1.6.1","1000EUR","194965.1"
"r_3","2013","BG314","3.1.1.6.1","1000EUR","311089.3"
"r_3","2014","BG314","3.1.1.6.1","1000EUR","306765.2"
"r_3","2007","BG32","3.1.1.6.1","1000EUR","437292.6"
"r_3","2008","BG32","3.1.1.6.1","1000EUR","797173.7"
"r_3","2009","BG32","3.1.1.6.1","1000EUR","759508.1"
"r_3","2010","BG32","3.1.1.6.1","1000EUR","815908.1"
"r_3","2011","BG32","3.1.1.6.1","1000EUR","807175.4"
"r_3","2012","BG32","3.1.1.6.1","1000EUR","841791.2"
"r_3","2013","BG32","3.1.1.6.1","1000EUR","879943.1"
"r_3","2014","BG32","3.1.1.6.1","1000EUR","905311.8"
"r_3","2007","BG321","3.1.1.6.1","1000EUR","78801.5"
"r_3","2008","BG321","3.1.1.6.1","1000EUR","84888.8"
"r_3","2009","BG321","3.1.1.6.1","1000EUR","68836.4"
"r_3","2010","BG321","3.1.1.6.1","1000EUR","67211.5"
"r_3","2011","BG321","3.1.1.6.1","1000EUR","73033.8"
"r_3","2012","BG321","3.1.1.6.1","1000EUR","84292.3"
