RevisionColumn,periods,Units,Indicators,ValueColumn
"r_1","2005","1000BGN","3.1.2.4.1.1.1",""
"r_1","2006","1000BGN","3.1.2.4.1.1.1",""
"r_1","2007","1000BGN","3.1.2.4.1.1.1",""
"r_1","2008","1000BGN","3.1.2.4.1.1.1",""
"r_1","2009","1000BGN","3.1.2.4.1.1.1",""
"r_1","2010","1000BGN","3.1.2.4.1.1.1",""
"r_1","2011","1000BGN","3.1.2.4.1.1.1",""
"r_1","2012","1000BGN","3.1.2.4.1.1.1",""
"r_1","2013","1000BGN","3.1.2.4.1.1.1",""
"r_1","2014","1000BGN","3.1.2.4.1.1.1",""
"r_1","2015","1000BGN","3.1.2.4.1.1.1",""
"r_1","2016","1000BGN","3.1.2.4.1.1.1",""
"r_1","2017","1000BGN","3.1.2.4.1.1.1",""
"r_1","2018","1000BGN","3.1.2.4.1.1.1",""
"r_1","2019","1000BGN","3.1.2.4.1.1.1",""
"r_1","2020","1000BGN","3.1.2.4.1.1.1",""
"r_1","2005","1000BGN","3.1.2.4.1.1.1.1","24417"
"r_1","2006","1000BGN","3.1.2.4.1.1.1.1","24769"
"r_1","2007","1000BGN","3.1.2.4.1.1.1.1","32771"
"r_1","2008","1000BGN","3.1.2.4.1.1.1.1","37085"
"r_1","2009","1000BGN","3.1.2.4.1.1.1.1","41665"
"r_1","2010","1000BGN","3.1.2.4.1.1.1.1","49786"
"r_1","2011","1000BGN","3.1.2.4.1.1.1.1","50357"
"r_1","2012","1000BGN","3.1.2.4.1.1.1.1","51911"
"r_1","2013","1000BGN","3.1.2.4.1.1.1.1","64124"
"r_1","2014","1000BGN","3.1.2.4.1.1.1.1","71169"
"r_1","2015","1000BGN","3.1.2.4.1.1.1.1","73859"
"r_1","2016","1000BGN","3.1.2.4.1.1.1.1","77743"
"r_1","2017","1000BGN","3.1.2.4.1.1.1.1","80076"
"r_1","2018","1000BGN","3.1.2.4.1.1.1.1","88164"
"r_1","2019","1000BGN","3.1.2.4.1.1.1.1","92758"
"r_1","2020","1000BGN","3.1.2.4.1.1.1.1","95827"
"r_1","2005","1000BGN","3.1.2.4.1.1.1.2","545"
"r_1","2006","1000BGN","3.1.2.4.1.1.1.2","-115"
"r_1","2007","1000BGN","3.1.2.4.1.1.1.2","-75"
"r_1","2008","1000BGN","3.1.2.4.1.1.1.2","-106"
"r_1","2009","1000BGN","3.1.2.4.1.1.1.2","-157"
"r_1","2010","1000BGN","3.1.2.4.1.1.1.2","-397"
"r_1","2011","1000BGN","3.1.2.4.1.1.1.2","73"
