Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"BUILD_Permit","","Видове сгради","Type of buildings"
"BUILD_Permit","1","Жилищни сгради","Residential buildings"
"BUILD_Permit","2","Административни сгради","Administrative buildings"
"BUILD_Permit","3","Други сгради","Other buildings"
"BUILD_Permit1","","Видове сгради","Type of buildings"
"BUILD_Permit1","4","брой","Number"
"BUILD_Permit1","5","брой жилища","Number of dwellings"
"BUILD_Permit1","6","разгъната застроена площ - кв.м","Gross building area - sq.m"
"District_Projection","","Област","District"
"District_Projection","BG","Общо","Total"
"District_Projection","BGS","Бургас","Burgas"
"District_Projection","BLG","Благоевград","Blagoevgrad"
"District_Projection","DOB","Добрич","Dobrich"
"District_Projection","GAB","Габрово","Gabrovo"
"District_Projection","HKV","Хасково","Haskovo"
"District_Projection","JAM","Ямбол","Yambol"
"District_Projection","KNL","Кюстендил","Kyustendil"
"District_Projection","KRZ","Кърджали","Kardzhali"
"District_Projection","LOV","Ловеч","Lovech"
"District_Projection","MON","Монтана","Montana"
"District_Projection","PAZ","Пазарджик","Pazardzhik"
"District_Projection","PDV","Пловдив","Plovdiv"
"District_Projection","PER","Перник","Pernik"
"District_Projection","PVN","Плевен","Pleven"
"District_Projection","RAZ","Разград","Razgrad"
"District_Projection","RSE","Русе","Ruse"
"District_Projection","SFO","София","Sofia"
"District_Projection","SHU","Шумен","Shumen"
"District_Projection","SLS","Силистра","Silistra"
"District_Projection","SLV","Сливен","Sliven"
"District_Projection","SML","Смолян","Smolyan"
"District_Projection","SOF","София (столица)","Sofia-grad"
"District_Projection","SZR","Стара Загора","Stara Zagora"
"District_Projection","TGV","Търговище","Targovishte"
"District_Projection","VAR","Варна","Varna"
"District_Projection","VID","Видин","Vidin"
"District_Projection","VRC","Враца","Vratsa"
"District_Projection","VTR","Велико Търново","Veliko Tarnovo"
"periods_name","","Периоди","periods"
"periods_name","Q1","първо тримесечие","first quarter"
"periods_name","Q2","второ тримесечие","second quarter"
"periods_name","Q3","трето тримесечие","third quarter"
"periods_name","Q4","четвърто тримесечие","fourth quarter"
