RevisionColumn,periods,BUILD_Permit,BUILD_Permit1,District_Projection,periods_name,ValueColumn
"r_42","2005","1","4","BG","Q1","1450"
"r_42","2005","1","5","BG","Q1","5973"
"r_42","2005","1","6","BG","Q1","793533"
"r_42","2005","2","4","BG","Q1","57"
"r_42","2005","2","6","BG","Q1","32511"
"r_42","2005","3","4","BG","Q1","1185"
"r_42","2005","3","6","BG","Q1","651251"
"r_42","2005","1","4","BG","Q2","2228"
"r_42","2005","1","5","BG","Q2","9150"
"r_42","2005","1","6","BG","Q2","1263108"
"r_42","2005","2","4","BG","Q2","109"
"r_42","2005","2","6","BG","Q2","64904"
"r_42","2005","3","4","BG","Q2","1598"
"r_42","2005","3","6","BG","Q2","853312"
"r_42","2005","1","4","BG","Q3","2185"
"r_42","2005","1","5","BG","Q3","8872"
"r_42","2005","1","6","BG","Q3","1276307"
"r_42","2005","2","4","BG","Q3","103"
"r_42","2005","2","6","BG","Q3","78788"
"r_42","2005","3","4","BG","Q3","1439"
"r_42","2005","3","6","BG","Q3","793994"
"r_42","2005","1","4","BG","Q4","2118"
"r_42","2005","1","5","BG","Q4","8897"
"r_42","2005","1","6","BG","Q4","1272893"
"r_42","2005","2","4","BG","Q4","82"
"r_42","2005","2","6","BG","Q4","48533"
"r_42","2005","3","4","BG","Q4","1536"
"r_42","2005","3","6","BG","Q4","984515"
"r_42","2005","1","4","BLG","Q1","75"
"r_42","2005","1","5","BLG","Q1","564"
"r_42","2005","1","6","BLG","Q1","51869"
"r_42","2005","2","4","BLG","Q1","7"
"r_42","2005","2","6","BLG","Q1","8765"
"r_42","2005","3","4","BLG","Q1","67"
"r_42","2005","3","6","BLG","Q1","47314"
"r_42","2005","1","4","BLG","Q2","133"
"r_42","2005","1","5","BLG","Q2","1044"
"r_42","2005","1","6","BLG","Q2","99340"
"r_42","2005","2","4","BLG","Q2","3"
"r_42","2005","2","6","BLG","Q2","1148"
"r_42","2005","3","4","BLG","Q2","127"
"r_42","2005","3","6","BLG","Q2","55331"
"r_42","2005","1","4","BLG","Q3","130"
"r_42","2005","1","5","BLG","Q3","840"
"r_42","2005","1","6","BLG","Q3","118682"
"r_42","2005","2","4","BLG","Q3","8"
"r_42","2005","2","6","BLG","Q3","10245"
"r_42","2005","3","4","BLG","Q3","81"
"r_42","2005","3","6","BLG","Q3","68118"
"r_42","2005","1","4","BLG","Q4","118"
"r_42","2005","1","5","BLG","Q4","928"
"r_42","2005","1","6","BLG","Q4","123517"
"r_42","2005","2","4","BLG","Q4","9"
"r_42","2005","2","6","BLG","Q4","3638"
"r_42","2005","3","4","BLG","Q4","44"
"r_42","2005","3","6","BLG","Q4","54876"
"r_42","2005","1","4","BGS","Q1","341"
"r_42","2005","1","5","BGS","Q1","1876"
"r_42","2005","1","6","BGS","Q1","211068"
"r_42","2005","2","4","BGS","Q1","11"
"r_42","2005","2","6","BGS","Q1","3019"
"r_42","2005","3","4","BGS","Q1","109"
"r_42","2005","3","6","BGS","Q1","111828"
"r_42","2005","1","4","BGS","Q2","332"
"r_42","2005","1","5","BGS","Q2","1505"
"r_42","2005","1","6","BGS","Q2","233126"
"r_42","2005","2","4","BGS","Q2",".."
"r_42","2005","2","6","BGS","Q2",".."
"r_42","2005","3","4","BGS","Q2","60"
"r_42","2005","3","6","BGS","Q2","80951"
"r_42","2005","1","4","BGS","Q3","314"
"r_42","2005","1","5","BGS","Q3","2036"
"r_42","2005","1","6","BGS","Q3","251533"
"r_42","2005","2","4","BGS","Q3","3"
"r_42","2005","2","6","BGS","Q3","1106"
"r_42","2005","3","4","BGS","Q3","102"
"r_42","2005","3","6","BGS","Q3","169491"
"r_42","2005","1","4","BGS","Q4","438"
"r_42","2005","1","5","BGS","Q4","1918"
"r_42","2005","1","6","BGS","Q4","300431"
"r_42","2005","2","4","BGS","Q4","5"
"r_42","2005","2","6","BGS","Q4","1799"
"r_42","2005","3","4","BGS","Q4","168"
"r_42","2005","3","6","BGS","Q4","275102"
"r_42","2005","1","4","VAR","Q1","234"
"r_42","2005","1","5","VAR","Q1","514"
"r_42","2005","1","6","VAR","Q1","84628"
"r_42","2005","2","4","VAR","Q1",".."
"r_42","2005","2","6","VAR","Q1",".."
"r_42","2005","3","4","VAR","Q1","101"
"r_42","2005","3","6","VAR","Q1","125794"
"r_42","2005","1","4","VAR","Q2","318"
"r_42","2005","1","5","VAR","Q2","1413"
"r_42","2005","1","6","VAR","Q2","210978"
"r_42","2005","2","4","VAR","Q2","12"
"r_42","2005","2","6","VAR","Q2","9981"
"r_42","2005","3","4","VAR","Q2","111"
"r_42","2005","3","6","VAR","Q2","59169"
"r_42","2005","1","4","VAR","Q3","294"
"r_42","2005","1","5","VAR","Q3","1144"
"r_42","2005","1","6","VAR","Q3","158288"
"r_42","2005","2","4","VAR","Q3","11"
"r_42","2005","2","6","VAR","Q3","20800"
"r_42","2005","3","4","VAR","Q3","78"
"r_42","2005","3","6","VAR","Q3","64948"
"r_42","2005","1","4","VAR","Q4","302"
"r_42","2005","1","5","VAR","Q4","1705"
"r_42","2005","1","6","VAR","Q4","202789"
"r_42","2005","2","4","VAR","Q4",".."
"r_42","2005","2","6","VAR","Q4",".."
"r_42","2005","3","4","VAR","Q4","79"
"r_42","2005","3","6","VAR","Q4","67877"
"r_42","2005","1","4","VTR","Q1","28"
"r_42","2005","1","5","VTR","Q1","124"
"r_42","2005","1","6","VTR","Q1","14576"
"r_42","2005","2","4","VTR","Q1","4"
"r_42","2005","2","6","VTR","Q1","1037"
"r_42","2005","3","4","VTR","Q1","51"
"r_42","2005","3","6","VTR","Q1","23289"
"r_42","2005","1","4","VTR","Q2","44"
"r_42","2005","1","5","VTR","Q2","316"
"r_42","2005","1","6","VTR","Q2","42363"
"r_42","2005","2","4","VTR","Q2","8"
"r_42","2005","2","6","VTR","Q2","4278"
"r_42","2005","3","4","VTR","Q2","81"
"r_42","2005","3","6","VTR","Q2","40804"
"r_42","2005","1","4","VTR","Q3","43"
"r_42","2005","1","5","VTR","Q3","270"
"r_42","2005","1","6","VTR","Q3","34752"
"r_42","2005","2","4","VTR","Q3","3"
"r_42","2005","2","6","VTR","Q3","1041"
"r_42","2005","3","4","VTR","Q3","61"
"r_42","2005","3","6","VTR","Q3","15803"
"r_42","2005","1","4","VTR","Q4","49"
"r_42","2005","1","5","VTR","Q4","507"
"r_42","2005","1","6","VTR","Q4","61469"
"r_42","2005","2","4","VTR","Q4",".."
"r_42","2005","2","6","VTR","Q4",".."
"r_42","2005","3","4","VTR","Q4","74"
"r_42","2005","3","6","VTR","Q4","16033"
"r_42","2005","1","4","VID","Q1",".."
"r_42","2005","1","5","VID","Q1",".."
"r_42","2005","1","6","VID","Q1",".."
"r_42","2005","2","4","VID","Q1",".."
"r_42","2005","2","6","VID","Q1",".."
"r_42","2005","3","4","VID","Q1","9"
"r_42","2005","3","6","VID","Q1","1341"
"r_42","2005","1","4","VID","Q2",".."
"r_42","2005","1","5","VID","Q2",".."
"r_42","2005","1","6","VID","Q2",".."
"r_42","2005","2","4","VID","Q2",".."
"r_42","2005","2","6","VID","Q2",".."
"r_42","2005","3","4","VID","Q2","5"
"r_42","2005","3","6","VID","Q2","725"
"r_42","2005","1","4","VID","Q3",".."
"r_42","2005","1","5","VID","Q3",".."
"r_42","2005","1","6","VID","Q3",".."
"r_42","2005","2","4","VID","Q3","-"
"r_42","2005","2","6","VID","Q3","-"
"r_42","2005","3","4","VID","Q3","9"
"r_42","2005","3","6","VID","Q3","1060"
"r_42","2005","1","4","VID","Q4","3"
"r_42","2005","1","5","VID","Q4","4"
"r_42","2005","1","6","VID","Q4","420"
"r_42","2005","2","4","VID","Q4","-"
"r_42","2005","2","6","VID","Q4","-"
"r_42","2005","3","4","VID","Q4","11"
"r_42","2005","3","6","VID","Q4","1608"
"r_42","2005","1","4","VRC","Q1","3"
"r_42","2005","1","5","VRC","Q1","3"
"r_42","2005","1","6","VRC","Q1","1685"
"r_42","2005","2","4","VRC","Q1","-"
"r_42","2005","2","6","VRC","Q1","-"
"r_42","2005","3","4","VRC","Q1","32"
"r_42","2005","3","6","VRC","Q1","6149"
"r_42","2005","1","4","VRC","Q2","12"
"r_42","2005","1","5","VRC","Q2","23"
"r_42","2005","1","6","VRC","Q2","5010"
"r_42","2005","2","4","VRC","Q2","-"
"r_42","2005","2","6","VRC","Q2","-"
"r_42","2005","3","4","VRC","Q2","30"
"r_42","2005","3","6","VRC","Q2","13182"
"r_42","2005","1","4","VRC","Q3","11"
"r_42","2005","1","5","VRC","Q3","30"
"r_42","2005","1","6","VRC","Q3","7047"
"r_42","2005","2","4","VRC","Q3",".."
"r_42","2005","2","6","VRC","Q3",".."
"r_42","2005","3","4","VRC","Q3","21"
"r_42","2005","3","6","VRC","Q3","6286"
"r_42","2005","1","4","VRC","Q4","12"
"r_42","2005","1","5","VRC","Q4","47"
"r_42","2005","1","6","VRC","Q4","8256"
"r_42","2005","2","4","VRC","Q4",".."
"r_42","2005","2","6","VRC","Q4",".."
"r_42","2005","3","4","VRC","Q4","26"
"r_42","2005","3","6","VRC","Q4","3889"
"r_42","2005","1","4","GAB","Q1","22"
"r_42","2005","1","5","GAB","Q1","26"
"r_42","2005","1","6","GAB","Q1","4793"
"r_42","2005","2","4","GAB","Q1","-"
"r_42","2005","2","6","GAB","Q1","-"
"r_42","2005","3","4","GAB","Q1","7"
"r_42","2005","3","6","GAB","Q1","4481"
"r_42","2005","1","4","GAB","Q2","42"
"r_42","2005","1","5","GAB","Q2","65"
"r_42","2005","1","6","GAB","Q2","11079"
"r_42","2005","2","4","GAB","Q2","3"
"r_42","2005","2","6","GAB","Q2","1770"
"r_42","2005","3","4","GAB","Q2","12"
"r_42","2005","3","6","GAB","Q2","2368"
"r_42","2005","1","4","GAB","Q3","34"
"r_42","2005","1","5","GAB","Q3","59"
"r_42","2005","1","6","GAB","Q3","8868"
"r_42","2005","2","4","GAB","Q3",".."
"r_42","2005","2","6","GAB","Q3",".."
"r_42","2005","3","4","GAB","Q3","11"
