RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_2","3","perc_pop_fig","2008","21.9"
"r_2","3","perc_pop_fig","2009","23"
"r_2","3","perc_pop_fig","2010","19.4"
"r_2","3","perc_pop_fig","2011","20.4"
"r_2","3","perc_pop_fig","2012","19.2"
"r_2","3","perc_pop_fig","2013","19"
"r_2","3","perc_pop_fig","2014","16.7"
"r_2","4","perc_pop_fig","2008","32.7"
"r_2","4","perc_pop_fig","2009","32.5"
"r_2","4","perc_pop_fig","2010","30.7"
"r_2","4","perc_pop_fig","2011","33.3"
"r_2","4","perc_pop_fig","2012","30.5"
"r_2","4","perc_pop_fig","2013","22.9"
"r_2","4","perc_pop_fig","2014","19.2"
"r_2","5","perc_pop_fig","2008","67.8"
"r_2","5","perc_pop_fig","2009","72.1"
"r_2","5","perc_pop_fig","2010","61.6"
"r_2","5","perc_pop_fig","2011","61.5"
"r_2","5","perc_pop_fig","2012","55.1"
"r_2","5","perc_pop_fig","2013","54.2"
"r_2","5","perc_pop_fig","2014","39.8"
"r_2","6","perc_pop_fig","2008","66.3"
"r_2","6","perc_pop_fig","2009","67.7"
"r_2","6","perc_pop_fig","2010","58.7"
"r_2","6","perc_pop_fig","2011","59.9"
"r_2","6","perc_pop_fig","2012","55.8"
"r_2","6","perc_pop_fig","2013","51.4"
"r_2","6","perc_pop_fig","2014","36.6"
"r_2","7","perc_pop_fig","2008","34.5"
"r_2","7","perc_pop_fig","2009","39.4"
"r_2","7","perc_pop_fig","2010","34.5"
"r_2","7","perc_pop_fig","2011","35.2"
"r_2","7","perc_pop_fig","2012","29"
"r_2","7","perc_pop_fig","2013","26.8"
"r_2","7","perc_pop_fig","2014","22.8"
"r_2","8","perc_pop_fig","2008","16.5"
"r_2","8","perc_pop_fig","2009","13.3"
"r_2","8","perc_pop_fig","2010","12"
"r_2","8","perc_pop_fig","2011","12.7"
"r_2","8","perc_pop_fig","2012","13.9"
"r_2","8","perc_pop_fig","2013","13.8"
"r_2","8","perc_pop_fig","2014","13.2"
"r_2","9","perc_pop_fig","2008","28.7"
"r_2","9","perc_pop_fig","2009","35.4"
"r_2","9","perc_pop_fig","2010","26.9"
"r_2","9","perc_pop_fig","2011","24.7"
"r_2","9","perc_pop_fig","2012","21"
"r_2","9","perc_pop_fig","2013","21"
"r_2","9","perc_pop_fig","2014","16.3"
"r_2","10","perc_pop_fig","2008","10.6"
"r_2","10","perc_pop_fig","2009","9.3"
"r_2","10","perc_pop_fig","2010","7.9"
"r_2","10","perc_pop_fig","2011","10.5"
"r_2","10","perc_pop_fig","2012","9.9"
"r_2","10","perc_pop_fig","2013","10.7"
"r_2","10","perc_pop_fig","2014","12"
"r_2","11","perc_pop_fig","2008","20.7"
"r_2","11","perc_pop_fig","2009","20.8"
"r_2","11","perc_pop_fig","2010","21.7"
"r_2","11","perc_pop_fig","2011","23.6"
"r_2","11","perc_pop_fig","2012","22.9"
"r_2","11","perc_pop_fig","2013","23"
"r_2","11","perc_pop_fig","2014","26.5"
"r_2","12","perc_pop_fig","2008","38.3"
"r_2","12","perc_pop_fig","2009","30.9"
"r_2","12","perc_pop_fig","2010","42.3"
"r_2","12","perc_pop_fig","2011","35.4"
"r_2","12","perc_pop_fig","2012","42.5"
"r_2","12","perc_pop_fig","2013","31.6"
"r_2","12","perc_pop_fig","2014","42.9"
"r_2","13","perc_pop_fig","2008","11.8"
"r_2","13","perc_pop_fig","2009","12.9"
"r_2","13","perc_pop_fig","2010","13.7"
"r_2","13","perc_pop_fig","2011","13.2"
"r_2","13","perc_pop_fig","2012","14.6"
"r_2","13","perc_pop_fig","2013","16.4"
"r_2","13","perc_pop_fig","2014","16.2"
"r_2","14","perc_pop_fig","2008","14.6"
"r_2","14","perc_pop_fig","2009","15.5"
"r_2","14","perc_pop_fig","2010","16.3"
"r_2","14","perc_pop_fig","2011","16.4"
"r_2","14","perc_pop_fig","2012","16.7"
"r_2","14","perc_pop_fig","2013","19.2"
"r_2","14","perc_pop_fig","2014","24.1"
"r_2","15","perc_pop_fig","2008","74.2"
"r_2","15","perc_pop_fig","2009","67.9"
"r_2","15","perc_pop_fig","2010","65.2"
"r_2","15","perc_pop_fig","2011","78.2"
"r_2","15","perc_pop_fig","2012","61"
"r_2","15","perc_pop_fig","2013","68.1"
"r_2","15","perc_pop_fig","2014","78.9"
"r_2","16","perc_pop_fig","2008","21.9"
"r_2","16","perc_pop_fig","2009","22"
"r_2","16","perc_pop_fig","2010","21.9"
"r_2","16","perc_pop_fig","2011","25"
"r_2","16","perc_pop_fig","2012","23.8"
"r_2","16","perc_pop_fig","2013","22.8"
"r_2","16","perc_pop_fig","2014","26"
"r_3","3","perc_pop_fig","2015","21.7"
"r_3","4","perc_pop_fig","2015","23.9"
"r_3","5","perc_pop_fig","2015","53.4"
"r_3","6","perc_pop_fig","2015","50.4"
"r_3","7","perc_pop_fig","2015","25.8"
"r_3","8","perc_pop_fig","2015","15.1"
"r_3","9","perc_pop_fig","2015","21.8"
"r_3","10","perc_pop_fig","2015","12.7"
"r_3","11","perc_pop_fig","2015","22.3"
"r_3","12","perc_pop_fig","2015","35.2"
"r_3","13","perc_pop_fig","2015","12.9"
"r_3","14","perc_pop_fig","2015","14.5"
"r_3","15","perc_pop_fig","2015","66.1"
"r_3","16","perc_pop_fig","2015","24.8"
"r_4","3","perc_pop_fig","2016","19.1"
"r_4","4","perc_pop_fig","2016","28.8"
"r_4","5","perc_pop_fig","2016","44.2"
"r_4","6","perc_pop_fig","2016","44.1"
"r_4","7","perc_pop_fig","2016","28.9"
