Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"HBS_Meassure","","Измерител","Meassure"
"HBS_Meassure","1","Средно на домакинство -  левове","Average per household -BGN"
"HBS_Meassure","2","Средно на лице - левове","Average per capita - BGN"
"HBS_Meassure","3","Структура - %","Structure - %"
"HBS_PD","","Паричен доход","Monetary income"
"HBS_PD","1","Паричен доход","Monetary income"
"HBS_PD","11","Брутен паричен доход","Monetary  gross income"
"HBS_PD","111","Работна заплата","Wages and salaries"
"HBS_PD","112","Извън работната заплата","Other earnings"
"HBS_PD","113","От самостоятелна заетост","Self-employment income"
"HBS_PD","114","От собственост","Property income"
"HBS_PD","115","Пенсии","Pensions"
"HBS_PD","116","Обезщетения за безработни","Unemployment benefits"
"HBS_PD","117","Семейни добавки за деца","Family allowances"
"HBS_PD","118","Други социални помощи","Other social benefits"
"HBS_PD","119","Регулярни трансфери от други домакинства","Regular transfers from other households"
"HBS_PD","12","Приходи от продажби","Receipt sale"
"HBS_PD","13","Други приходи","Miscellaneous"
"Residence","","Местоживеене ","Residence"
"Residence","0","Общо","Total"
"Residence","1","В градовете","Urban"
"Residence","2","В селата","Rural"
