RevisionColumn,HBS_Meassure,HBS_PD,periods,Residence,ValueColumn
"r_1","1","1","2008","0","8353"
"r_1","1","1","2008","1","9193"
"r_1","1","1","2008","2","6465"
"r_1","1","1","2009","0","8807"
"r_1","1","1","2009","1","9735"
"r_1","1","1","2009","2","6722"
"r_1","1","1","2010","0","8826"
"r_1","1","1","2010","1","9543"
"r_1","1","1","2010","2","7002"
"r_1","1","1","2011","0","9086"
"r_1","1","1","2011","1","9919"
"r_1","1","1","2011","2","6923"
"r_1","1","1","2012","0","10037"
"r_1","1","1","2012","1","10759"
"r_1","1","1","2012","2","7850"
"r_1","1","1","2013","0","11224"
"r_1","1","1","2013","1","12147"
"r_1","1","1","2013","2","8269"
"r_1","1","1","2014","0","11489"
"r_1","1","1","2014","1","12431"
"r_1","1","1","2014","2","8473"
"r_1","1","11","2008","0","7897"
"r_1","1","11","2008","1","8819"
"r_1","1","11","2008","2","5825"
"r_1","1","11","2009","0","8506"
"r_1","1","11","2009","1","9468"
"r_1","1","11","2009","2","6345"
"r_1","1","11","2010","0","8453"
"r_1","1","11","2010","1","9194"
"r_1","1","11","2010","2","6569"
"r_1","1","11","2011","0","8747"
"r_1","1","11","2011","1","9582"
"r_1","1","11","2011","2","6580"
"r_1","1","11","2012","0","9617"
"r_1","1","11","2012","1","10371"
"r_1","1","11","2012","2","7332"
"r_1","1","11","2013","0","10631"
"r_1","1","11","2013","1","11501"
"r_1","1","11","2013","2","7848"
"r_1","1","11","2014","0","11129"
"r_1","1","11","2014","1","12089"
"r_1","1","11","2014","2","8057"
"r_1","1","111","2008","0","4505"
"r_1","1","111","2008","1","5334"
"r_1","1","111","2008","2","2640"
"r_1","1","111","2009","0","4762"
"r_1","1","111","2009","1","5623"
"r_1","1","111","2009","2","2829"
"r_1","1","111","2010","0","4592"
"r_1","1","111","2010","1","5254"
"r_1","1","111","2010","2","2910"
"r_1","1","111","2011","0","4793"
"r_1","1","111","2011","1","5503"
"r_1","1","111","2011","2","2951"
"r_1","1","111","2012","0","5399"
"r_1","1","111","2012","1","6089"
"r_1","1","111","2012","2","3307"
"r_1","1","111","2013","0","6067"
"r_1","1","111","2013","1","6861"
"r_1","1","111","2013","2","3524"
"r_1","1","111","2014","0","6327"
"r_1","1","111","2014","1","7218"
"r_1","1","111","2014","2","3473"
"r_1","1","112","2008","0","422"
"r_1","1","112","2008","1","473"
"r_1","1","112","2008","2","306"
"r_1","1","112","2009","0","374"
"r_1","1","112","2009","1","413"
"r_1","1","112","2009","2","285"
"r_1","1","112","2010","0","188"
"r_1","1","112","2010","1","204"
"r_1","1","112","2010","2","147"
"r_1","1","112","2011","0","121"
"r_1","1","112","2011","1","133"
"r_1","1","112","2011","2","90"
"r_1","1","112","2012","0","256"
"r_1","1","112","2012","1","286"
"r_1","1","112","2012","2","163"
"r_1","1","112","2013","0","428"
"r_1","1","112","2013","1","478"
"r_1","1","112","2013","2","269"
"r_1","1","112","2014","0","401"
"r_1","1","112","2014","1","429"
"r_1","1","112","2014","2","312"
"r_1","1","113","2008","0","441"
"r_1","1","113","2008","1","454"
"r_1","1","113","2008","2","410"
"r_1","1","113","2009","0","434"
"r_1","1","113","2009","1","438"
"r_1","1","113","2009","2","425"
"r_1","1","113","2010","0","429"
"r_1","1","113","2010","1","474"
"r_1","1","113","2010","2","315"
"r_1","1","113","2011","0","590"
"r_1","1","113","2011","1","706"
"r_1","1","113","2011","2","287"
"r_1","1","113","2012","0","650"
"r_1","1","113","2012","1","720"
"r_1","1","113","2012","2","439"
"r_1","1","113","2013","0","649"
"r_1","1","113","2013","1","722"
"r_1","1","113","2013","2","417"
"r_1","1","113","2014","0","758"
"r_1","1","113","2014","1","827"
"r_1","1","113","2014","2","538"
"r_1","1","114","2008","0","77"
"r_1","1","114","2008","1","92"
"r_1","1","114","2008","2","42"
"r_1","1","114","2009","0","59"
"r_1","1","114","2009","1","73"
"r_1","1","114","2009","2","29"
"r_1","1","114","2010","0","69"
"r_1","1","114","2010","1","83"
"r_1","1","114","2010","2","33"
"r_1","1","114","2011","0","61"
"r_1","1","114","2011","1","63"
"r_1","1","114","2011","2","54"
"r_1","1","114","2012","0","96"
"r_1","1","114","2012","1","99"
"r_1","1","114","2012","2","89"
"r_1","1","114","2013","0","124"
"r_1","1","114","2013","1","137"
"r_1","1","114","2013","2","79"
"r_1","1","114","2014","0","93"
"r_1","1","114","2014","1","98"
"r_1","1","114","2014","2","79"
"r_1","1","115","2008","0","2010"
"r_1","1","115","2008","1","1997"
"r_1","1","115","2008","2","2040"
"r_1","1","115","2009","0","2517"
"r_1","1","115","2009","1","2524"
"r_1","1","115","2009","2","2502"
"r_1","1","115","2010","0","2791"
"r_1","1","115","2010","1","2760"
"r_1","1","115","2010","2","2869"
"r_1","1","115","2011","0","2789"
"r_1","1","115","2011","1","2740"
"r_1","1","115","2011","2","2916"
"r_1","1","115","2012","0","2730"
"r_1","1","115","2012","1","2647"
"r_1","1","115","2012","2","2984"
"r_1","1","115","2013","0","2915"
"r_1","1","115","2013","1","2836"
"r_1","1","115","2013","2","3166"
"r_1","1","115","2014","0","3010"
"r_1","1","115","2014","1","2939"
"r_1","1","115","2014","2","3237"
"r_1","1","116","2008","0","17"
"r_1","1","116","2008","1","15"
"r_1","1","116","2008","2","19"
"r_1","1","116","2009","0","50"
"r_1","1","116","2009","1","51"
"r_1","1","116","2009","2","48"
"r_1","1","116","2010","0","57"
"r_1","1","116","2010","1","60"
"r_1","1","116","2010","2","51"
"r_1","1","116","2011","0","65"
"r_1","1","116","2011","1","71"
"r_1","1","116","2011","2","48"
"r_1","1","116","2012","0","67"
"r_1","1","116","2012","1","65"
"r_1","1","116","2012","2","75"
"r_1","1","116","2013","0","76"
"r_1","1","116","2013","1","78"
"r_1","1","116","2013","2","69"
"r_1","1","116","2014","0","64"
"r_1","1","116","2014","1","64"
"r_1","1","116","2014","2","62"
"r_1","1","117","2008","0","57"
"r_1","1","117","2008","1","54"
"r_1","1","117","2008","2","64"
"r_1","1","117","2009","0","84"
"r_1","1","117","2009","1","83"
"r_1","1","117","2009","2","86"
"r_1","1","117","2010","0","81"
"r_1","1","117","2010","1","81"
"r_1","1","117","2010","2","80"
"r_1","1","117","2011","0","78"
"r_1","1","117","2011","1","77"
"r_1","1","117","2011","2","79"
"r_1","1","117","2012","0","84"
"r_1","1","117","2012","1","82"
"r_1","1","117","2012","2","89"
"r_1","1","117","2013","0","85"
"r_1","1","117","2013","1","82"
"r_1","1","117","2013","2","96"
"r_1","1","117","2014","0","103"
"r_1","1","117","2014","1","95"
"r_1","1","117","2014","2","129"
"r_1","1","118","2008","0","266"
"r_1","1","118","2008","1","278"
"r_1","1","118","2008","2","239"
"r_1","1","118","2009","0","163"
"r_1","1","118","2009","1","188"
"r_1","1","118","2009","2","106"
"r_1","1","118","2010","0","164"
"r_1","1","118","2010","1","185"
"r_1","1","118","2010","2","112"
"r_1","1","118","2011","0","159"
"r_1","1","118","2011","1","179"
"r_1","1","118","2011","2","108"
"r_1","1","118","2012","0","190"
"r_1","1","118","2012","1","221"
"r_1","1","118","2012","2","98"
"r_1","1","118","2013","0","176"
"r_1","1","118","2013","1","187"
"r_1","1","118","2013","2","141"
"r_1","1","118","2014","0","253"
"r_1","1","118","2014","1","283"
"r_1","1","118","2014","2","158"
"r_1","1","119","2008","0","104"
"r_1","1","119","2008","1","120"
"r_1","1","119","2008","2","66"
"r_1","1","119","2009","0","63"
"r_1","1","119","2009","1","76"
"r_1","1","119","2009","2","34"
"r_1","1","119","2010","0","81"
"r_1","1","119","2010","1","93"
"r_1","1","119","2010","2","52"
"r_1","1","119","2011","0","93"
"r_1","1","119","2011","1","110"
"r_1","1","119","2011","2","48"
"r_1","1","119","2012","0","144"
"r_1","1","119","2012","1","162"
"r_1","1","119","2012","2","90"
"r_1","1","119","2013","0","111"
"r_1","1","119","2013","1","120"
"r_1","1","119","2013","2","85"
"r_1","1","119","2014","0","120"
"r_1","1","119","2014","1","136"
"r_1","1","119","2014","2","70"
"r_1","1","12","2008","0","192"
"r_1","1","12","2008","1","105"
"r_1","1","12","2008","2","387"
"r_1","1","12","2009","0","78"
"r_1","1","12","2009","1","24"
