RevisionColumn,HBS_Meassure,HBS_OR,Residence,periods,ValueColumn
"r_10","1","11","0","2008","8096"
"r_10","1","11","1","2008","8778"
"r_10","1","11","2","2008","6564"
"r_10","1","11","0","2009","8236"
"r_10","1","11","1","2009","8879"
"r_10","1","11","2","2009","6794"
"r_10","1","11","0","2010","8108"
"r_10","1","11","1","2010","8574"
"r_10","1","11","2","2010","6925"
"r_10","1","11","0","2011","8547"
"r_10","1","11","1","2011","9163"
"r_10","1","11","2","2011","6948"
"r_10","1","11","0","2012","9607"
"r_10","1","11","1","2012","10087"
"r_10","1","11","2","2012","8151"
"r_10","1","11","0","2013","10595"
"r_10","1","11","1","2013","11327"
"r_10","1","11","2","2013","8250"
"r_10","1","11","0","2014","10929"
"r_10","1","11","1","2014","11584"
"r_10","1","11","2","2014","8830"
"r_10","1","11","0","2015","11194"
"r_10","1","11","1","2015","11972"
"r_10","1","11","2","2015","8702"
"r_10","1","11","0","2016","11146"
"r_10","1","11","1","2016","11887"
"r_10","1","11","2","2016","8998"
"r_10","1","11","0","2017","11989"
"r_10","1","11","1","2017","12843"
"r_10","1","11","2","2017","9593"
"r_10","1","11","0","2018","12910"
"r_10","1","11","1","2018","13809"
"r_10","1","11","2","2018","10393"
"r_10","1","11","0","2019","13538"
"r_10","1","11","1","2019","14400"
"r_10","1","11","2","2019","11127"
"r_10","1","11","0","2020","13403"
"r_10","1","11","1","2020","14029"
"r_10","1","11","2","2020","11591"
"r_10","1","11","0","2021","14729"
"r_10","1","11","1","2021","15468"
"r_10","1","11","2","2021","12503"
"r_10","1","11","0","2022","17280"
"r_10","1","11","1","2022","17887"
"r_10","1","11","2","2022","15447"
"r_10","1","111","0","2008","6904"
"r_10","1","111","1","2008","7512"
"r_10","1","111","2","2008","5539"
"r_10","1","111","0","2009","7061"
"r_10","1","111","1","2009","7633"
"r_10","1","111","2","2009","5776"
"r_10","1","111","0","2010","6959"
"r_10","1","111","1","2010","7355"
"r_10","1","111","2","2010","5950"
"r_10","1","111","0","2011","7184"
"r_10","1","111","1","2011","7647"
"r_10","1","111","2","2011","5982"
"r_10","1","111","0","2012","8030"
"r_10","1","111","1","2012","8389"
"r_10","1","111","2","2012","6945"
"r_10","1","111","0","2013","8829"
"r_10","1","111","1","2013","9432"
"r_10","1","111","2","2013","6897"
"r_10","1","111","0","2014","9114"
"r_10","1","111","1","2014","9646"
"r_10","1","111","2","2014","7414"
"r_10","1","111","0","2015","9328"
"r_10","1","111","1","2015","9955"
"r_10","1","111","2","2015","7322"
"r_10","1","111","0","2016","9203"
"r_10","1","111","1","2016","9766"
"r_10","1","111","2","2016","7570"
"r_10","1","111","0","2017","9835"
"r_10","1","111","1","2017","10480"
"r_10","1","111","2","2017","8025"
"r_10","1","111","0","2018","10493"
"r_10","1","111","1","2018","11165"
"r_10","1","111","2","2018","8613"
"r_10","1","111","0","2019","11037"
"r_10","1","111","1","2019","11694"
"r_10","1","111","2","2019","9202"
"r_10","1","111","0","2020","10890"
"r_10","1","111","1","2020","11343"
"r_10","1","111","2","2020","9579"
"r_10","1","111","0","2021","12107"
"r_10","1","111","1","2021","12648"
"r_10","1","111","2","2021","10480"
"r_10","1","111","0","2022","14358"
"r_10","1","111","1","2022","14764"
"r_10","1","111","2","2022","13130"
"r_10","1","11101","0","2008","2960"
"r_10","1","11101","1","2008","3061"
"r_10","1","11101","2","2008","2735"
"r_10","1","11101","0","2009","3004"
"r_10","1","11101","1","2009","3136"
"r_10","1","11101","2","2009","2707"
"r_10","1","11101","0","2010","3016"
"r_10","1","11101","1","2010","3119"
"r_10","1","11101","2","2010","2753"
"r_10","1","11101","0","2011","3095"
"r_10","1","11101","1","2011","3199"
"r_10","1","11101","2","2011","2825"
"r_10","1","11101","0","2012","3209"
"r_10","1","11101","1","2012","3293"
"r_10","1","11101","2","2012","2953"
"r_10","1","11101","0","2013","3512"
"r_10","1","11101","1","2013","3641"
"r_10","1","11101","2","2013","3099"
"r_10","1","11101","0","2014","3534"
"r_10","1","11101","1","2014","3665"
"r_10","1","11101","2","2014","3114"
"r_10","1","11101","0","2015","3510"
"r_10","1","11101","1","2015","3662"
"r_10","1","11101","2","2015","3024"
"r_10","1","11101","0","2016","3432"
"r_10","1","11101","1","2016","3601"
"r_10","1","11101","2","2016","2942"
"r_10","1","11101","0","2017","3613"
"r_10","1","11101","1","2017","3790"
"r_10","1","11101","2","2017","3119"
"r_10","1","11101","0","2018","3834"
"r_10","1","11101","1","2018","3997"
"r_10","1","11101","2","2018","3377"
"r_10","1","11101","0","2019","3994"
"r_10","1","11101","1","2019","4174"
"r_10","1","11101","2","2019","3491"
"r_10","1","11101","0","2020","4034"
"r_10","1","11101","1","2020","4157"
"r_10","1","11101","2","2020","3677"
"r_10","1","11101","0","2021","4303"
"r_10","1","11101","1","2021","4417"
"r_10","1","11101","2","2021","3962"
