Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"HBS_Meassure","","Измерител","Meassure"
"HBS_Meassure","1","Средно на домакинство -  левове","Average per household -BGN"
"HBS_Meassure","2","Средно на лице - левове","Average per capita - BGN"
"HBS_Meassure","3","Структура - %","Structure - %"
"HBS_PR","","Паричен разход","Monetary expenditure"
"HBS_PR","1","Паричен разход","Monetary expenditure"
"HBS_PR","11","Потребителски паричен разход","Consumer monetary expenditure"
"HBS_PR","1101","Храна и безалкохолни напитки","Foods and non-alcoholic beverages"
"HBS_PR","1102","Алкохолни напитки и тютюневи изделия","Alcoholic beverages and tobacco"
"HBS_PR","1103","Облекло и обувки","Clothing and footwear"
"HBS_PR","1104","Жилища, вода, електроенергия и горива","Housing, water, electricity, gas and other fuels"
"HBS_PR","1105","Жилищно обзавеждане и поддържане на дома","Furnishing and maintenance of the house"
"HBS_PR","1106","Здравеопазване","Health"
"HBS_PR","1107","Транспорт","TranspPRt"
"HBS_PR","1108","Съобщения","Communication"
"HBS_PR","1109","Свободно време, културен отдих и образование","Recreation, culture and education"
"HBS_PR","1110","Разнообразни стоки и услуги","Miscellaneous goods and services"
"HBS_PR","12","Данъци","Taxes"
"HBS_PR","13","Социални осигуровки","Social insurance contributions"
"HBS_PR","14","Регулярни трансфери към други домакинства","Regular transfers to other households"
"HBS_PR","15","Други разходи","Other expenditure"
"Residence","","Местоживеене ","Residence"
"Residence","0","Общо","Total"
"Residence","1","В градовете","Urban"
"Residence","2","В селата","Rural"
