RevisionColumn,HBS_Meassure,HBS_PR,Residence,periods,ValueColumn
"r_1","1","1","0","2008","7875"
"r_1","1","1","1","2008","8653"
"r_1","1","1","2","2008","6125"
"r_1","1","1","0","2009","8019"
"r_1","1","1","1","2009","8749"
"r_1","1","1","2","2009","6380"
"r_1","1","1","0","2010","7924"
"r_1","1","1","1","2010","8476"
"r_1","1","1","2","2010","6519"
"r_1","1","1","0","2011","8388"
"r_1","1","1","1","2011","9073"
"r_1","1","1","2","2011","6608"
"r_1","1","1","0","2012","9424"
"r_1","1","1","1","2012","9982"
"r_1","1","1","2","2012","7732"
"r_1","1","1","0","2013","10415"
"r_1","1","1","1","2013","11222"
"r_1","1","1","2","2013","7833"
"r_1","1","1","0","2014","10769"
"r_1","1","1","1","2014","11490"
"r_1","1","1","2","2014","8459"
"r_1","1","11","0","2008","6684"
"r_1","1","11","1","2008","7387"
"r_1","1","11","2","2008","5103"
"r_1","1","11","0","2009","6844"
"r_1","1","11","1","2009","7504"
"r_1","1","11","2","2009","5363"
"r_1","1","11","0","2010","6774"
"r_1","1","11","1","2010","7258"
"r_1","1","11","2","2010","5545"
"r_1","1","11","0","2011","7024"
"r_1","1","11","1","2011","7557"
"r_1","1","11","2","2011","5642"
"r_1","1","11","0","2012","7848"
"r_1","1","11","1","2012","8284"
"r_1","1","11","2","2012","6526"
"r_1","1","11","0","2013","8650"
"r_1","1","11","1","2013","9327"
"r_1","1","11","2","2013","6482"
"r_1","1","11","0","2014","8954"
"r_1","1","11","1","2014","9552"
"r_1","1","11","2","2014","7042"
"r_1","1","1101","0","2008","2750"
"r_1","1","1101","1","2008","2944"
"r_1","1","1101","2","2008","2313"
"r_1","1","1101","0","2009","2797"
"r_1","1","1101","1","2009","3016"
"r_1","1","1101","2","2009","2307"
"r_1","1","1101","0","2010","2837"
"r_1","1","1101","1","2010","3026"
"r_1","1","1101","2","2010","2354"
"r_1","1","1101","0","2011","2941"
"r_1","1","1101","1","2011","3114"
"r_1","1","1101","2","2011","2492"
"r_1","1","1101","0","2012","3035"
"r_1","1","1101","1","2012","3196"
"r_1","1","1101","2","2012","2548"
"r_1","1","1101","0","2013","3341"
"r_1","1","1101","1","2013","3542"
"r_1","1","1101","2","2013","2697"
"r_1","1","1101","0","2014","3379"
"r_1","1","1101","1","2014","3575"
"r_1","1","1101","2","2014","2752"
"r_1","1","1102","0","2008","348"
"r_1","1","1102","1","2008","384"
"r_1","1","1102","2","2008","267"
"r_1","1","1102","0","2009","380"
"r_1","1","1102","1","2009","407"
"r_1","1","1102","2","2009","321"
"r_1","1","1102","0","2010","367"
"r_1","1","1102","1","2010","385"
"r_1","1","1102","2","2010","322"
"r_1","1","1102","0","2011","375"
"r_1","1","1102","1","2011","403"
"r_1","1","1102","2","2011","304"
"r_1","1","1102","0","2012","415"
"r_1","1","1102","1","2012","433"
"r_1","1","1102","2","2012","361"
"r_1","1","1102","0","2013","420"
"r_1","1","1102","1","2013","451"
"r_1","1","1102","2","2013","320"
"r_1","1","1102","0","2014","447"
"r_1","1","1102","1","2014","483"
"r_1","1","1102","2","2014","329"
"r_1","1","1103","0","2008","281"
"r_1","1","1103","1","2008","326"
"r_1","1","1103","2","2008","179"
"r_1","1","1103","0","2009","254"
"r_1","1","1103","1","2009","288"
"r_1","1","1103","2","2009","177"
"r_1","1","1103","0","2010","231"
"r_1","1","1103","1","2010","254"
"r_1","1","1103","2","2010","173"
"r_1","1","1103","0","2011","255"
"r_1","1","1103","1","2011","284"
"r_1","1","1103","2","2011","180"
"r_1","1","1103","0","2012","306"
"r_1","1","1103","1","2012","335"
"r_1","1","1103","2","2012","217"
"r_1","1","1103","0","2013","366"
"r_1","1","1103","1","2013","413"
"r_1","1","1103","2","2013","213"
"r_1","1","1103","0","2014","416"
"r_1","1","1103","1","2014","455"
"r_1","1","1103","2","2014","290"
"r_1","1","1104","0","2008","1096"
"r_1","1","1104","1","2008","1180"
"r_1","1","1104","2","2008","906"
"r_1","1","1104","0","2009","1190"
"r_1","1","1104","1","2009","1268"
"r_1","1","1104","2","2009","1016"
"r_1","1","1104","0","2010","1163"
"r_1","1","1104","1","2010","1199"
"r_1","1","1104","2","2010","1070"
"r_1","1","1104","0","2011","1205"
"r_1","1","1104","1","2011","1261"
"r_1","1","1104","2","2011","1061"
"r_1","1","1104","0","2012","1470"
"r_1","1","1104","1","2012","1489"
"r_1","1","1104","2","2012","1411"
"r_1","1","1104","0","2013","1499"
"r_1","1","1104","1","2013","1560"
"r_1","1","1104","2","2013","1301"
"r_1","1","1104","0","2014","1467"
"r_1","1","1104","1","2014","1494"
"r_1","1","1104","2","2014","1381"
"r_1","1","1105","0","2008","302"
"r_1","1","1105","1","2008","335"
"r_1","1","1105","2","2008","227"
"r_1","1","1105","0","2009","303"
"r_1","1","1105","1","2009","330"
"r_1","1","1105","2","2009","244"
"r_1","1","1105","0","2010","275"
"r_1","1","1105","1","2010","297"
"r_1","1","1105","2","2010","219"
"r_1","1","1105","0","2011","236"
"r_1","1","1105","1","2011","253"
"r_1","1","1105","2","2011","190"
"r_1","1","1105","0","2012","309"
"r_1","1","1105","1","2012","324"
"r_1","1","1105","2","2012","263"
"r_1","1","1105","0","2013","361"
"r_1","1","1105","1","2013","395"
"r_1","1","1105","2","2013","253"
"r_1","1","1105","0","2014","403"
"r_1","1","1105","1","2014","423"
"r_1","1","1105","2","2014","339"
"r_1","1","1106","0","2008","385"
"r_1","1","1106","1","2008","419"
"r_1","1","1106","2","2008","307"
"r_1","1","1106","0","2009","438"
"r_1","1","1106","1","2009","474"
"r_1","1","1106","2","2009","358"
"r_1","1","1106","0","2010","447"
"r_1","1","1106","1","2010","467"
"r_1","1","1106","2","2010","396"
"r_1","1","1106","0","2011","479"
"r_1","1","1106","1","2011","503"
"r_1","1","1106","2","2011","418"
"r_1","1","1106","0","2012","501"
"r_1","1","1106","1","2012","504"
"r_1","1","1106","2","2012","493"
"r_1","1","1106","0","2013","553"
"r_1","1","1106","1","2013","582"
"r_1","1","1106","2","2013","462"
"r_1","1","1106","0","2014","570"
"r_1","1","1106","1","2014","593"
"r_1","1","1106","2","2014","499"
"r_1","1","1107","0","2008","567"
"r_1","1","1107","1","2008","657"
"r_1","1","1107","2","2008","364"
"r_1","1","1107","0","2009","497"
"r_1","1","1107","1","2009","561"
"r_1","1","1107","2","2009","353"
"r_1","1","1107","0","2010","495"
"r_1","1","1107","1","2010","544"
"r_1","1","1107","2","2010","369"
"r_1","1","1107","0","2011","507"
"r_1","1","1107","1","2011","565"
"r_1","1","1107","2","2011","357"
"r_1","1","1107","0","2012","615"
"r_1","1","1107","1","2012","657"
"r_1","1","1107","2","2012","486"
"r_1","1","1107","0","2013","733"
"r_1","1","1107","1","2013","815"
"r_1","1","1107","2","2013","472"
"r_1","1","1107","0","2014","801"
"r_1","1","1107","1","2014","885"
"r_1","1","1107","2","2014","534"
"r_1","1","1108","0","2008","360"
"r_1","1","1108","1","2008","422"
"r_1","1","1108","2","2008","222"
"r_1","1","1108","0","2009","371"
"r_1","1","1108","1","2009","433"
"r_1","1","1108","2","2009","231"
"r_1","1","1108","0","2010","378"
"r_1","1","1108","1","2010","424"
"r_1","1","1108","2","2010","262"
"r_1","1","1108","0","2011","397"
"r_1","1","1108","1","2011","447"
"r_1","1","1108","2","2011","269"
"r_1","1","1108","0","2012","423"
"r_1","1","1108","1","2012","467"
"r_1","1","1108","2","2012","292"
"r_1","1","1108","0","2013","457"
"r_1","1","1108","1","2013","508"
"r_1","1","1108","2","2013","292"
"r_1","1","1108","0","2014","481"
"r_1","1","1108","1","2014","531"
"r_1","1","1108","2","2014","320"
"r_1","1","1109","0","2008","298"
"r_1","1","1109","1","2008","370"
"r_1","1","1109","2","2008","138"
"r_1","1","1109","0","2009","318"
"r_1","1","1109","1","2009","389"
