RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2005","3.1.2.1.3.1.0",""
"r_2","1000BGN","2006","3.1.2.1.3.1.0",""
"r_2","1000BGN","2007","3.1.2.1.3.1.0",""
"r_2","1000BGN","2008","3.1.2.1.3.1.0",""
"r_2","1000BGN","2009","3.1.2.1.3.1.0",""
"r_2","1000BGN","2010","3.1.2.1.3.1.0",""
"r_2","1000BGN","2011","3.1.2.1.3.1.0",""
"r_2","1000BGN","2012","3.1.2.1.3.1.0",""
"r_2","1000BGN","2013","3.1.2.1.3.1.0",""
"r_2","1000BGN","2014","3.1.2.1.3.1.0",""
"r_2","1000BGN","2015","3.1.2.1.3.1.0",""
"r_2","1000BGN","2016","3.1.2.1.3.1.0",""
"r_2","1000BGN","2017","3.1.2.1.3.1.0",""
"r_2","1000BGN","2018","3.1.2.1.3.1.0",""
"r_2","1000BGN","2019","3.1.2.1.3.1.0",""
"r_2","1000BGN","2020","3.1.2.1.3.1.0",""
"r_2","1000BGN","2005","3.1.2.1.3.1.1","."
"r_2","1000BGN","2006","3.1.2.1.3.1.1","."
"r_2","1000BGN","2007","3.1.2.1.3.1.1","."
"r_2","1000BGN","2008","3.1.2.1.3.1.1","."
"r_2","1000BGN","2009","3.1.2.1.3.1.1","15"
"r_2","1000BGN","2010","3.1.2.1.3.1.1","237"
"r_2","1000BGN","2011","3.1.2.1.3.1.1","200"
"r_2","1000BGN","2012","3.1.2.1.3.1.1","145"
"r_2","1000BGN","2013","3.1.2.1.3.1.1","489"
"r_2","1000BGN","2014","3.1.2.1.3.1.1",".."
"r_2","1000BGN","2015","3.1.2.1.3.1.1",".."
"r_2","1000BGN","2016","3.1.2.1.3.1.1","160"
"r_2","1000BGN","2017","3.1.2.1.3.1.1","175"
"r_2","1000BGN","2018","3.1.2.1.3.1.1",".."
"r_2","1000BGN","2019","3.1.2.1.3.1.1","991"
"r_2","1000BGN","2020","3.1.2.1.3.1.1","214"
"r_2","1000BGN","2005","3.1.2.1.3.1.2","185315"
"r_2","1000BGN","2006","3.1.2.1.3.1.2","198345"
"r_2","1000BGN","2007","3.1.2.1.3.1.2","232967"
"r_2","1000BGN","2008","3.1.2.1.3.1.2","268407"
"r_2","1000BGN","2009","3.1.2.1.3.1.2","309498"
"r_2","1000BGN","2010","3.1.2.1.3.1.2","334976"
"r_2","1000BGN","2011","3.1.2.1.3.1.2","344471"
"r_2","1000BGN","2012","3.1.2.1.3.1.2","356667"
"r_2","1000BGN","2013","3.1.2.1.3.1.2","355747"
"r_2","1000BGN","2014","3.1.2.1.3.1.2","383889"
"r_2","1000BGN","2015","3.1.2.1.3.1.2","427586"
"r_2","1000BGN","2016","3.1.2.1.3.1.2","435006"
"r_2","1000BGN","2017","3.1.2.1.3.1.2","431218"
"r_2","1000BGN","2018","3.1.2.1.3.1.2","450419"
"r_2","1000BGN","2019","3.1.2.1.3.1.2","981003"
"r_2","1000BGN","2020","3.1.2.1.3.1.2","482865"
"r_2","1000BGN","2005","3.1.2.1.3.1.2.1","4071"
"r_2","1000BGN","2006","3.1.2.1.3.1.2.1","3764"
"r_2","1000BGN","2007","3.1.2.1.3.1.2.1","4154"
"r_2","1000BGN","2008","3.1.2.1.3.1.2.1","5788"
"r_2","1000BGN","2009","3.1.2.1.3.1.2.1","6890"
"r_2","1000BGN","2010","3.1.2.1.3.1.2.1","6395"
"r_2","1000BGN","2011","3.1.2.1.3.1.2.1","5785"
"r_2","1000BGN","2012","3.1.2.1.3.1.2.1","6018"
"r_2","1000BGN","2013","3.1.2.1.3.1.2.1","6811"
"r_2","1000BGN","2014","3.1.2.1.3.1.2.1","13404"
"r_2","1000BGN","2015","3.1.2.1.3.1.2.1","16870"
"r_2","1000BGN","2016","3.1.2.1.3.1.2.1","13541"
"r_2","1000BGN","2017","3.1.2.1.3.1.2.1","12352"
"r_2","1000BGN","2018","3.1.2.1.3.1.2.1","14786"
"r_2","1000BGN","2019","3.1.2.1.3.1.2.1","15529"
"r_2","1000BGN","2020","3.1.2.1.3.1.2.1","15391"
"r_2","1000BGN","2005","3.1.2.1.3.1.2.2","141645"
"r_2","1000BGN","2006","3.1.2.1.3.1.2.2","153139"
"r_2","1000BGN","2007","3.1.2.1.3.1.2.2","166982"
"r_2","1000BGN","2008","3.1.2.1.3.1.2.2","180853"
