RevisionColumn,Units,periods,Indicators,ValueColumn
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1","1082461"
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1","1452045"
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1","2224417"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1","2189062"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1","2966657"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1","3722712"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1","4233423"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1","5456157"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1","6183867"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.1","7818396"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1","8535780"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1","9438708"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1","11930127"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1","12192466"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1","14466675"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1","15977006"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1.1","559870"
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1.1","419940"
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1.1","1281428"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1.1","961569"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1.1","955427"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1.1","1258296"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1.1","1534124"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1.1","1971762"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1.1","2067443"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.1.1","2518155"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1.1","3133720"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1.1","3679593"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1.1","3934356"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1.1","4300684"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1.1","4347624"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1.1","4246169"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1.1.1","."
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1.1.1","."
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1.1.1","565052"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1.1.1","270119"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1.1.1","381579"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1.1.1","463042"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1.1.1","515791"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1.1.1","637317"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1.1.1","800015"
