RevisionColumn,Units,periods,Indicators,ValueColumn
"r_1","1000BGN","2005","3.1.2.4.1.0.1.1.1","221774"
"r_1","1000BGN","2006","3.1.2.4.1.0.1.1.1","386900"
"r_1","1000BGN","2007","3.1.2.4.1.0.1.1.1","1071571"
"r_1","1000BGN","2008","3.1.2.4.1.0.1.1.1","2427277"
"r_1","1000BGN","2009","3.1.2.4.1.0.1.1.1","1381315"
"r_1","1000BGN","2010","3.1.2.4.1.0.1.1.1","1867589"
"r_1","1000BGN","2011","3.1.2.4.1.0.1.1.1","2487295"
"r_1","1000BGN","2012","3.1.2.4.1.0.1.1.1","2160095"
"r_1","1000BGN","2013","3.1.2.4.1.0.1.1.1","2703717"
"r_1","1000BGN","2014","3.1.2.4.1.0.1.1.1","3813028"
"r_1","1000BGN","2015","3.1.2.4.1.0.1.1.1","5795486"
"r_1","1000BGN","2016","3.1.2.4.1.0.1.1.1","5112687"
"r_1","1000BGN","2017","3.1.2.4.1.0.1.1.1","4979425"
"r_1","1000BGN","2018","3.1.2.4.1.0.1.1.1","6799079"
"r_1","1000BGN","2019","3.1.2.4.1.0.1.1.1","4762873"
"r_1","1000BGN","2020","3.1.2.4.1.0.1.1.1","9624811"
"r_1","1000BGN","2005","3.1.2.4.1.0.1.1.1.1","91"
"r_1","1000BGN","2006","3.1.2.4.1.0.1.1.1.1","0"
"r_1","1000BGN","2007","3.1.2.4.1.0.1.1.1.1","60"
"r_1","1000BGN","2008","3.1.2.4.1.0.1.1.1.1","106"
"r_1","1000BGN","2009","3.1.2.4.1.0.1.1.1.1","249"
"r_1","1000BGN","2010","3.1.2.4.1.0.1.1.1.1","16"
"r_1","1000BGN","2011","3.1.2.4.1.0.1.1.1.1","187"
"r_1","1000BGN","2012","3.1.2.4.1.0.1.1.1.1","253"
"r_1","1000BGN","2013","3.1.2.4.1.0.1.1.1.1","114"
"r_1","1000BGN","2014","3.1.2.4.1.0.1.1.1.1","0"
"r_1","1000BGN","2015","3.1.2.4.1.0.1.1.1.1","0"
"r_1","1000BGN","2016","3.1.2.4.1.0.1.1.1.1","289"
"r_1","1000BGN","2017","3.1.2.4.1.0.1.1.1.1","1643"
"r_1","1000BGN","2018","3.1.2.4.1.0.1.1.1.1","2437"
"r_1","1000BGN","2019","3.1.2.4.1.0.1.1.1.1","7510"
"r_1","1000BGN","2020","3.1.2.4.1.0.1.1.1.1","6706"
"r_1","1000BGN","2005","3.1.2.4.1.0.1.1.1.2","174324"
"r_1","1000BGN","2006","3.1.2.4.1.0.1.1.1.2","328220"
"r_1","1000BGN","2007","3.1.2.4.1.0.1.1.1.2","1004605"
"r_1","1000BGN","2008","3.1.2.4.1.0.1.1.1.2","2279657"
"r_1","1000BGN","2009","3.1.2.4.1.0.1.1.1.2","1250581"
"r_1","1000BGN","2010","3.1.2.4.1.0.1.1.1.2","1655708"
"r_1","1000BGN","2011","3.1.2.4.1.0.1.1.1.2","2200937"
"r_1","1000BGN","2012","3.1.2.4.1.0.1.1.1.2","1806530"
"r_1","1000BGN","2013","3.1.2.4.1.0.1.1.1.2","2300996"
