Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","null_value","",""
"Units","num","брой","Number"
"EKATTE","","ЕКАТТЕ","EKATTE"
"EKATTE","BG","Общо за страната","Total for the country"
"EKATTE","BG3","Северна и Югоизточна България","Severna i Yugoiztochna Bulgaria"
"EKATTE","BG31","Северозападен","Severozapaden"
"EKATTE","BG32","Северен централен","Severen tsentralen"
"EKATTE","BG33","Североизточен","Severoiztochen"
"EKATTE","BG34","Югоизточен","Yugoiztochen"
"EKATTE","BG4","Югозападна и Южна централна България","Yugozapadna i Yuzhna tsentralna Bulgaria"
"EKATTE","BG41","Югозападен","Yugozapaden"
"EKATTE","BG42","Южен централен","Yuzhen tsentralen"
"EKATTE","BGS","Бургас","Burgas"
"EKATTE","BGS01","Айтос","Aytos"
"EKATTE","BGS04","Бургас","Burgas"
"EKATTE","BGS06","Средец","Sredets"
"EKATTE","BGS08","Камено","Kameno"
"EKATTE","BGS09","Карнобат","Karnobat"
"EKATTE","BGS12","Малко Търново","Malko Tarnovo"
"EKATTE","BGS13","Царево","Tsarevo"
"EKATTE","BGS15","Несебър","Nesebar"
"EKATTE","BGS17","Поморие","Pomorie"
"EKATTE","BGS18","Руен","Ruen"
"EKATTE","BGS21","Созопол","Sozopol"
"EKATTE","BGS23","Сунгурларе","Sungurlare"
"EKATTE","BGS27","Приморско","Primorsko"
"EKATTE","BLG","Благоевград","Blagoevgrad"
"EKATTE","BLG01","Банско","Bansko"
"EKATTE","BLG02","Белица","Belitsa"
"EKATTE","BLG03","Благоевград","Blagoevgrad"
"EKATTE","BLG11","Гоце Делчев","Gotse Delchev"
"EKATTE","BLG13","Гърмен","Garmen"
"EKATTE","BLG28","Кресна","Kresna"
"EKATTE","BLG33","Петрич","Petrich"
"EKATTE","BLG37","Разлог","Razlog"
"EKATTE","BLG40","Сандански","Sandanski"
"EKATTE","BLG42","Сатовча","Satovcha"
"EKATTE","BLG44","Симитли","Simitli"
"EKATTE","BLG49","Струмяни","Strumyani"
"EKATTE","BLG52","Хаджидимово","Hadzhidimovo"
"EKATTE","BLG53","Якоруда","Yakoruda"
"EKATTE","DOB","Добрич","Dobrich"
"EKATTE","DOB03","Балчик","Balchik"
"EKATTE","DOB12","Генерал Тошево","General Toshevo"
"EKATTE","DOB15","Добрич-селска","Dobrich-selska"
"EKATTE","DOB17","Каварна","Kavarna"
"EKATTE","DOB20","Крушари","Krushari"
"EKATTE","DOB27","Тервел","Tervel"
"EKATTE","DOB28","Добрич","Dobrich"
