RevisionColumn,periods,Units,EKATTE,Residence,ValueColumn
"r_1","2000","num","BG","0","35164"
"r_1","2000","num","BG","1","26576"
"r_1","2000","num","BG","2","8588"
"r_1","2001","num","BG","0","31974"
"r_1","2001","num","BG","1","24466"
"r_1","2001","num","BG","2","7508"
"r_1","2002","num","BG","0","29218"
"r_1","2002","num","BG","1","23085"
"r_1","2002","num","BG","2","6133"
"r_1","2003","num","BG","0","30645"
"r_1","2003","num","BG","1","24543"
"r_1","2003","num","BG","2","6102"
"r_1","2004","num","BG","0","31038"
"r_1","2004","num","BG","1","24857"
"r_1","2004","num","BG","2","6181"
"r_1","2005","num","BG","0","33501"
"r_1","2005","num","BG","1","26658"
"r_1","2005","num","BG","2","6843"
"r_1","2006","num","BG","0","32773"
"r_1","2006","num","BG","1","26159"
"r_1","2006","num","BG","2","6614"
"r_1","2007","num","BG","0","29640"
"r_1","2007","num","BG","1","23456"
"r_1","2007","num","BG","2","6184"
"r_1","2008","num","BG","0","27722"
"r_1","2008","num","BG","1","21844"
"r_1","2008","num","BG","2","5878"
"r_1","2009","num","BG","0","25923"
"r_1","2009","num","BG","1","20592"
"r_1","2009","num","BG","2","5331"
"r_1","2010","num","BG","0","24286"
"r_1","2010","num","BG","1","19262"
"r_1","2010","num","BG","2","5024"
"r_1","2011","num","BG","0","21448"
"r_1","2011","num","BG","1","16704"
"r_1","2011","num","BG","2","4744"
"r_1","2012","num","BG","0","21167"
"r_1","2012","num","BG","1","16357"
"r_1","2012","num","BG","2","4810"
"r_1","2013","num","BG","0","21943"
"r_1","2013","num","BG","1","17047"
"r_1","2013","num","BG","2","4896"
"r_1","2014","num","BG","0","24596"
"r_1","2014","num","BG","1","18756"
"r_1","2014","num","BG","2","5840"
"r_1","2000","num","BG3","0","17503"
"r_1","2000","num","BG3","1","12838"
"r_1","2000","num","BG3","2","4665"
"r_1","2001","num","BG3","0","15701"
"r_1","2001","num","BG3","1","11743"
"r_1","2001","num","BG3","2","3958"
"r_1","2002","num","BG3","0","14232"
"r_1","2002","num","BG3","1","10985"
"r_1","2002","num","BG3","2","3247"
"r_1","2003","num","BG3","0","14669"
"r_1","2003","num","BG3","1","11493"
"r_1","2003","num","BG3","2","3176"
"r_1","2004","num","BG3","0","15127"
"r_1","2004","num","BG3","1","11866"
"r_1","2004","num","BG3","2","3261"
"r_1","2005","num","BG3","0","16036"
"r_1","2005","num","BG3","1","12442"
"r_1","2005","num","BG3","2","3594"
"r_1","2006","num","BG3","0","15762"
"r_1","2006","num","BG3","1","12279"
"r_1","2006","num","BG3","2","3483"
"r_1","2007","num","BG3","0","14038"
"r_1","2007","num","BG3","1","10726"
"r_1","2007","num","BG3","2","3312"
"r_1","2008","num","BG3","0","13346"
"r_1","2008","num","BG3","1","10179"
"r_1","2008","num","BG3","2","3167"
"r_1","2009","num","BG3","0","12103"
"r_1","2009","num","BG3","1","9216"
"r_1","2009","num","BG3","2","2887"
"r_1","2010","num","BG3","0","11313"
"r_1","2010","num","BG3","1","8624"
"r_1","2010","num","BG3","2","2689"
"r_1","2011","num","BG3","0","10197"
"r_1","2011","num","BG3","1","7589"
"r_1","2011","num","BG3","2","2608"
"r_1","2012","num","BG3","0","10070"
"r_1","2012","num","BG3","1","7379"
"r_1","2012","num","BG3","2","2691"
"r_1","2013","num","BG3","0","10383"
"r_1","2013","num","BG3","1","7447"
"r_1","2013","num","BG3","2","2936"
"r_1","2014","num","BG3","0","11838"
"r_1","2014","num","BG3","1","8356"
"r_1","2014","num","BG3","2","3482"
"r_1","2000","num","BG31","0","3360"
"r_1","2000","num","BG31","1","2527"
"r_1","2000","num","BG31","2","833"
"r_1","2001","num","BG31","0","3106"
"r_1","2001","num","BG31","1","2382"
"r_1","2001","num","BG31","2","724"
"r_1","2002","num","BG31","0","2860"
"r_1","2002","num","BG31","1","2216"
"r_1","2002","num","BG31","2","644"
"r_1","2003","num","BG31","0","2819"
"r_1","2003","num","BG31","1","2221"
"r_1","2003","num","BG31","2","598"
"r_1","2004","num","BG31","0","2759"
"r_1","2004","num","BG31","1","2127"
"r_1","2004","num","BG31","2","632"
"r_1","2005","num","BG31","0","2956"
"r_1","2005","num","BG31","1","2252"
"r_1","2005","num","BG31","2","704"
"r_1","2006","num","BG31","0","2859"
"r_1","2006","num","BG31","1","2216"
"r_1","2006","num","BG31","2","643"
"r_1","2007","num","BG31","0","2563"
"r_1","2007","num","BG31","1","1927"
"r_1","2007","num","BG31","2","636"
"r_1","2008","num","BG31","0","2312"
"r_1","2008","num","BG31","1","1736"
"r_1","2008","num","BG31","2","576"
"r_1","2009","num","BG31","0","2063"
"r_1","2009","num","BG31","1","1546"
"r_1","2009","num","BG31","2","517"
"r_1","2010","num","BG31","0","1932"
"r_1","2010","num","BG31","1","1500"
"r_1","2010","num","BG31","2","432"
"r_1","2011","num","BG31","0","1644"
"r_1","2011","num","BG31","1","1235"
"r_1","2011","num","BG31","2","409"
"r_1","2012","num","BG31","0","1513"
"r_1","2012","num","BG31","1","1126"
"r_1","2012","num","BG31","2","387"
"r_1","2013","num","BG31","0","1521"
"r_1","2013","num","BG31","1","1101"
"r_1","2013","num","BG31","2","420"
"r_1","2014","num","BG31","0","1861"
"r_1","2014","num","BG31","1","1378"
"r_1","2014","num","BG31","2","483"
"r_1","2000","num","VID","0","373"
"r_1","2000","num","VID","1","312"
"r_1","2000","num","VID","2","61"
"r_1","2001","num","VID","0","337"
"r_1","2001","num","VID","1","268"
"r_1","2001","num","VID","2","69"
"r_1","2002","num","VID","0","421"
"r_1","2002","num","VID","1","345"
"r_1","2002","num","VID","2","76"
"r_1","2003","num","VID","0","362"
"r_1","2003","num","VID","1","310"
"r_1","2003","num","VID","2","52"
"r_1","2004","num","VID","0","329"
"r_1","2004","num","VID","1","262"
"r_1","2004","num","VID","2","67"
"r_1","2005","num","VID","0","330"
"r_1","2005","num","VID","1","273"
"r_1","2005","num","VID","2","57"
"r_1","2006","num","VID","0","319"
"r_1","2006","num","VID","1","267"
"r_1","2006","num","VID","2","52"
"r_1","2007","num","VID","0","276"
"r_1","2007","num","VID","1","214"
"r_1","2007","num","VID","2","62"
"r_1","2008","num","VID","0","249"
"r_1","2008","num","VID","1","202"
"r_1","2008","num","VID","2","47"
"r_1","2009","num","VID","0","239"
"r_1","2009","num","VID","1","184"
"r_1","2009","num","VID","2","55"
"r_1","2010","num","VID","0","220"
"r_1","2010","num","VID","1","184"
"r_1","2010","num","VID","2","36"
"r_1","2011","num","VID","0","159"
"r_1","2011","num","VID","1","122"
"r_1","2011","num","VID","2","37"
"r_1","2012","num","VID","0","158"
"r_1","2012","num","VID","1","130"
"r_1","2012","num","VID","2","28"
"r_1","2013","num","VID","0","146"
"r_1","2013","num","VID","1","108"
"r_1","2013","num","VID","2","38"
"r_1","2014","num","VID","0","162"
"r_1","2014","num","VID","1","127"
"r_1","2014","num","VID","2","35"
"r_1","2000","num","VID01","0","25"
"r_1","2000","num","VID01","1","25"
"r_1","2000","num","VID01","2","-"
"r_1","2001","num","VID01","0","21"
"r_1","2001","num","VID01","1","20"
"r_1","2001","num","VID01","2","1"
"r_1","2002","num","VID01","0","22"
"r_1","2002","num","VID01","1","21"
"r_1","2002","num","VID01","2","1"
"r_1","2003","num","VID01","0","17"
"r_1","2003","num","VID01","1","16"
"r_1","2003","num","VID01","2","1"
"r_1","2004","num","VID01","0","16"
"r_1","2004","num","VID01","1","13"
"r_1","2004","num","VID01","2","3"
"r_1","2005","num","VID01","0","13"
"r_1","2005","num","VID01","1","13"
"r_1","2005","num","VID01","2","-"
"r_1","2006","num","VID01","0","11"
"r_1","2006","num","VID01","1","9"
"r_1","2006","num","VID01","2","2"
"r_1","2007","num","VID01","0","19"
"r_1","2007","num","VID01","1","16"
"r_1","2007","num","VID01","2","3"
"r_1","2008","num","VID01","0","14"
"r_1","2008","num","VID01","1","13"
"r_1","2008","num","VID01","2","1"
"r_1","2009","num","VID01","0","14"
"r_1","2009","num","VID01","1","14"
"r_1","2009","num","VID01","2","-"
"r_1","2010","num","VID01","0","15"
"r_1","2010","num","VID01","1","14"
"r_1","2010","num","VID01","2","1"
"r_1","2011","num","VID01","0","11"
"r_1","2011","num","VID01","1","11"
"r_1","2011","num","VID01","2","-"
"r_1","2012","num","VID01","0","8"
"r_1","2012","num","VID01","1","8"
"r_1","2012","num","VID01","2","-"
"r_1","2013","num","VID01","0","8"
"r_1","2013","num","VID01","1","6"
"r_1","2013","num","VID01","2","2"
"r_1","2014","num","VID01","0","3"
"r_1","2014","num","VID01","1","3"
"r_1","2014","num","VID01","2","-"
"r_1","2000","num","VID03","0","1"
"r_1","2000","num","VID03","1","-"
"r_1","2000","num","VID03","2","1"
"r_1","2001","num","VID03","0","2"
"r_1","2001","num","VID03","1","-"
"r_1","2001","num","VID03","2","2"
"r_1","2002","num","VID03","0","2"
"r_1","2002","num","VID03","1","-"
"r_1","2002","num","VID03","2","2"
"r_1","2003","num","VID03","0","2"
"r_1","2003","num","VID03","1","-"
"r_1","2003","num","VID03","2","2"
"r_1","2004","num","VID03","0","2"
"r_1","2004","num","VID03","1","-"
"r_1","2004","num","VID03","2","2"
"r_1","2005","num","VID03","0","1"
"r_1","2005","num","VID03","1","-"
"r_1","2005","num","VID03","2","1"
"r_1","2006","num","VID03","0","2"
"r_1","2006","num","VID03","1","-"
"r_1","2006","num","VID03","2","2"
"r_1","2007","num","VID03","0","2"
"r_1","2007","num","VID03","1","-"
"r_1","2007","num","VID03","2","2"
"r_1","2008","num","VID03","0","1"
"r_1","2008","num","VID03","1","-"
"r_1","2008","num","VID03","2","1"
"r_1","2009","num","VID03","0","-"
"r_1","2009","num","VID03","1","-"
"r_1","2009","num","VID03","2","-"
"r_1","2010","num","VID03","0","2"
"r_1","2010","num","VID03","1","-"
"r_1","2010","num","VID03","2","2"
"r_1","2011","num","VID03","0","-"
"r_1","2011","num","VID03","1","-"
"r_1","2011","num","VID03","2","-"
"r_1","2012","num","VID03","0","-"
"r_1","2012","num","VID03","1","-"
"r_1","2012","num","VID03","2","-"
"r_1","2013","num","VID03","0","-"
"r_1","2013","num","VID03","1","-"
"r_1","2013","num","VID03","2","-"
"r_1","2014","num","VID03","0","-"
"r_1","2014","num","VID03","1","-"
"r_1","2014","num","VID03","2","-"
"r_1","2000","num","VID06","0","12"
"r_1","2000","num","VID06","1","11"
"r_1","2000","num","VID06","2","1"
"r_1","2001","num","VID06","0","16"
"r_1","2001","num","VID06","1","9"
"r_1","2001","num","VID06","2","7"
"r_1","2002","num","VID06","0","12"
"r_1","2002","num","VID06","1","9"
"r_1","2002","num","VID06","2","3"
"r_1","2003","num","VID06","0","6"
"r_1","2003","num","VID06","1","4"
"r_1","2003","num","VID06","2","2"
"r_1","2004","num","VID06","0","10"
"r_1","2004","num","VID06","1","6"
"r_1","2004","num","VID06","2","4"
"r_1","2005","num","VID06","0","9"
"r_1","2005","num","VID06","1","6"
"r_1","2005","num","VID06","2","3"
"r_1","2006","num","VID06","0","5"
"r_1","2006","num","VID06","1","2"
"r_1","2006","num","VID06","2","3"
"r_1","2007","num","VID06","0","9"
"r_1","2007","num","VID06","1","3"
"r_1","2007","num","VID06","2","6"
"r_1","2008","num","VID06","0","11"
"r_1","2008","num","VID06","1","5"
"r_1","2008","num","VID06","2","6"
"r_1","2009","num","VID06","0","11"
"r_1","2009","num","VID06","1","5"
"r_1","2009","num","VID06","2","6"
"r_1","2010","num","VID06","0","6"
"r_1","2010","num","VID06","1","5"
"r_1","2010","num","VID06","2","1"
"r_1","2011","num","VID06","0","6"
"r_1","2011","num","VID06","1","2"
"r_1","2011","num","VID06","2","4"
"r_1","2012","num","VID06","0","7"
"r_1","2012","num","VID06","1","3"
"r_1","2012","num","VID06","2","4"
"r_1","2013","num","VID06","0","9"
"r_1","2013","num","VID06","1","3"
"r_1","2013","num","VID06","2","6"
"r_1","2014","num","VID06","0","15"
"r_1","2014","num","VID06","1","7"
"r_1","2014","num","VID06","2","8"
"r_1","2000","num","VID09","0","292"
"r_1","2000","num","VID09","1","258"
"r_1","2000","num","VID09","2","34"
"r_1","2001","num","VID09","0","251"
"r_1","2001","num","VID09","1","227"
"r_1","2001","num","VID09","2","24"
"r_1","2002","num","VID09","0","334"
"r_1","2002","num","VID09","1","306"
"r_1","2002","num","VID09","2","28"
"r_1","2003","num","VID09","0","302"
"r_1","2003","num","VID09","1","280"
"r_1","2003","num","VID09","2","22"
"r_1","2004","num","VID09","0","251"
"r_1","2004","num","VID09","1","231"
"r_1","2004","num","VID09","2","20"
"r_1","2005","num","VID09","0","272"
"r_1","2005","num","VID09","1","245"
"r_1","2005","num","VID09","2","27"
"r_1","2006","num","VID09","0","263"
"r_1","2006","num","VID09","1","242"
"r_1","2006","num","VID09","2","21"
"r_1","2007","num","VID09","0","204"
"r_1","2007","num","VID09","1","181"
"r_1","2007","num","VID09","2","23"
"r_1","2008","num","VID09","0","197"
"r_1","2008","num","VID09","1","175"
"r_1","2008","num","VID09","2","22"
"r_1","2009","num","VID09","0","186"
"r_1","2009","num","VID09","1","160"
"r_1","2009","num","VID09","2","26"
"r_1","2010","num","VID09","0","172"
"r_1","2010","num","VID09","1","153"
"r_1","2010","num","VID09","2","19"
"r_1","2011","num","VID09","0","114"
"r_1","2011","num","VID09","1","104"
"r_1","2011","num","VID09","2","10"
"r_1","2012","num","VID09","0","122"
"r_1","2012","num","VID09","1","112"
"r_1","2012","num","VID09","2","10"
"r_1","2013","num","VID09","0","107"
"r_1","2013","num","VID09","1","96"
"r_1","2013","num","VID09","2","11"
"r_1","2014","num","VID09","0","127"
"r_1","2014","num","VID09","1","112"
"r_1","2014","num","VID09","2","15"
"r_1","2000","num","VID15","0","5"
"r_1","2000","num","VID15","1","3"
"r_1","2000","num","VID15","2","2"
"r_1","2001","num","VID15","0","2"
"r_1","2001","num","VID15","1","2"
"r_1","2001","num","VID15","2","-"
"r_1","2002","num","VID15","0","1"
"r_1","2002","num","VID15","1","1"
"r_1","2002","num","VID15","2","-"
"r_1","2003","num","VID15","0","1"
"r_1","2003","num","VID15","1","1"
"r_1","2003","num","VID15","2","-"
"r_1","2004","num","VID15","0","4"
"r_1","2004","num","VID15","1","3"
"r_1","2004","num","VID15","2","1"
"r_1","2005","num","VID15","0","3"
"r_1","2005","num","VID15","1","2"
"r_1","2005","num","VID15","2","1"
"r_1","2006","num","VID15","0","3"
"r_1","2006","num","VID15","1","3"
"r_1","2006","num","VID15","2","-"
"r_1","2007","num","VID15","0","4"
"r_1","2007","num","VID15","1","4"
"r_1","2007","num","VID15","2","-"
"r_1","2008","num","VID15","0","2"
"r_1","2008","num","VID15","1","1"
"r_1","2008","num","VID15","2","1"
"r_1","2009","num","VID15","0","1"
"r_1","2009","num","VID15","1","1"
"r_1","2009","num","VID15","2","-"
"r_1","2010","num","VID15","0","3"
"r_1","2010","num","VID15","1","3"
"r_1","2010","num","VID15","2","-"
"r_1","2011","num","VID15","0","-"
"r_1","2011","num","VID15","1","-"
"r_1","2011","num","VID15","2","-"
"r_1","2012","num","VID15","0","4"
"r_1","2012","num","VID15","1","4"
"r_1","2012","num","VID15","2","-"
"r_1","2013","num","VID15","0","2"
"r_1","2013","num","VID15","1","2"
"r_1","2013","num","VID15","2","-"
"r_1","2014","num","VID15","0","1"
"r_1","2014","num","VID15","1","1"
"r_1","2014","num","VID15","2","-"
"r_1","2000","num","VID16","0","5"
"r_1","2000","num","VID16","1","1"
"r_1","2000","num","VID16","2","4"
"r_1","2001","num","VID16","0","9"
"r_1","2001","num","VID16","1","2"
"r_1","2001","num","VID16","2","7"
"r_1","2002","num","VID16","0","16"
"r_1","2002","num","VID16","1","4"
"r_1","2002","num","VID16","2","12"
"r_1","2003","num","VID16","0","12"
"r_1","2003","num","VID16","1","4"
"r_1","2003","num","VID16","2","8"
"r_1","2004","num","VID16","0","18"
"r_1","2004","num","VID16","1","4"
"r_1","2004","num","VID16","2","14"
"r_1","2005","num","VID16","0","17"
"r_1","2005","num","VID16","1","2"
"r_1","2005","num","VID16","2","15"
"r_1","2006","num","VID16","0","14"
"r_1","2006","num","VID16","1","4"
"r_1","2006","num","VID16","2","10"
"r_1","2007","num","VID16","0","17"
"r_1","2007","num","VID16","1","7"
"r_1","2007","num","VID16","2","10"
"r_1","2008","num","VID16","0","5"
"r_1","2008","num","VID16","1","1"
"r_1","2008","num","VID16","2","4"
"r_1","2009","num","VID16","0","8"
"r_1","2009","num","VID16","1","1"
"r_1","2009","num","VID16","2","7"
"r_1","2010","num","VID16","0","3"
"r_1","2010","num","VID16","1","-"
"r_1","2010","num","VID16","2","3"
"r_1","2011","num","VID16","0","8"
"r_1","2011","num","VID16","1","3"
"r_1","2011","num","VID16","2","5"
"r_1","2012","num","VID16","0","-"
"r_1","2012","num","VID16","1","-"
"r_1","2012","num","VID16","2","-"
"r_1","2013","num","VID16","0","6"
"r_1","2013","num","VID16","1","-"
"r_1","2013","num","VID16","2","6"
"r_1","2014","num","VID16","0","4"
"r_1","2014","num","VID16","1","-"
"r_1","2014","num","VID16","2","4"
"r_1","2000","num","VID22","0","16"
"r_1","2000","num","VID22","1","14"
"r_1","2000","num","VID22","2","2"
"r_1","2001","num","VID22","0","12"
"r_1","2001","num","VID22","1","8"
"r_1","2001","num","VID22","2","4"
"r_1","2002","num","VID22","0","6"
"r_1","2002","num","VID22","1","4"
"r_1","2002","num","VID22","2","2"
"r_1","2003","num","VID22","0","8"
"r_1","2003","num","VID22","1","5"
"r_1","2003","num","VID22","2","3"
"r_1","2004","num","VID22","0","7"
"r_1","2004","num","VID22","1","5"
"r_1","2004","num","VID22","2","2"
"r_1","2005","num","VID22","0","5"
"r_1","2005","num","VID22","1","5"
