RevisionColumn,periods,Units,EKATTE,Residence,ValueColumn
"r_1","2000","num","BG","0","10578"
"r_1","2000","num","BG","1","9024"
"r_1","2000","num","BG","2","1554"
"r_1","2001","num","BG","0","10275"
"r_1","2001","num","BG","1","8771"
"r_1","2001","num","BG","2","1504"
"r_1","2002","num","BG","0","10203"
"r_1","2002","num","BG","1","8618"
"r_1","2002","num","BG","2","1585"
"r_1","2003","num","BG","0","12003"
"r_1","2003","num","BG","1","9976"
"r_1","2003","num","BG","2","2027"
"r_1","2004","num","BG","0","14669"
"r_1","2004","num","BG","1","11811"
"r_1","2004","num","BG","2","2858"
"r_1","2005","num","BG","0","14676"
"r_1","2005","num","BG","1","11813"
"r_1","2005","num","BG","2","2863"
"r_1","2006","num","BG","0","14828"
"r_1","2006","num","BG","1","12160"
"r_1","2006","num","BG","2","2668"
"r_1","2007","num","BG","0","16347"
"r_1","2007","num","BG","1","13672"
"r_1","2007","num","BG","2","2675"
"r_1","2008","num","BG","0","14104"
"r_1","2008","num","BG","1","11515"
"r_1","2008","num","BG","2","2589"
"r_1","2009","num","BG","0","11662"
"r_1","2009","num","BG","1","9640"
"r_1","2009","num","BG","2","2022"
"r_1","2010","num","BG","0","11012"
"r_1","2010","num","BG","1","9254"
"r_1","2010","num","BG","2","1758"
"r_1","2011","num","BG","0","10581"
"r_1","2011","num","BG","1","8849"
"r_1","2011","num","BG","2","1732"
"r_1","2012","num","BG","0","11947"
"r_1","2012","num","BG","1","9861"
"r_1","2012","num","BG","2","2086"
"r_1","2013","num","BG","0","10908"
"r_1","2013","num","BG","1","9058"
"r_1","2013","num","BG","2","1850"
"r_1","2014","num","BG","0","10584"
"r_1","2014","num","BG","1","8680"
"r_1","2014","num","BG","2","1904"
"r_1","2000","num","BG3","0","5710"
"r_1","2000","num","BG3","1","4680"
"r_1","2000","num","BG3","2","1030"
"r_1","2001","num","BG3","0","5727"
"r_1","2001","num","BG3","1","4703"
"r_1","2001","num","BG3","2","1024"
"r_1","2002","num","BG3","0","5556"
"r_1","2002","num","BG3","1","4522"
"r_1","2002","num","BG3","2","1034"
"r_1","2003","num","BG3","0","6562"
"r_1","2003","num","BG3","1","5189"
"r_1","2003","num","BG3","2","1373"
"r_1","2004","num","BG3","0","8444"
"r_1","2004","num","BG3","1","6453"
"r_1","2004","num","BG3","2","1991"
"r_1","2005","num","BG3","0","8055"
"r_1","2005","num","BG3","1","6164"
"r_1","2005","num","BG3","2","1891"
"r_1","2006","num","BG3","0","7984"
"r_1","2006","num","BG3","1","6230"
"r_1","2006","num","BG3","2","1754"
"r_1","2007","num","BG3","0","7707"
"r_1","2007","num","BG3","1","6066"
"r_1","2007","num","BG3","2","1641"
"r_1","2008","num","BG3","0","7775"
"r_1","2008","num","BG3","1","6068"
"r_1","2008","num","BG3","2","1707"
"r_1","2009","num","BG3","0","6308"
"r_1","2009","num","BG3","1","5050"
"r_1","2009","num","BG3","2","1258"
"r_1","2010","num","BG3","0","5571"
"r_1","2010","num","BG3","1","4520"
"r_1","2010","num","BG3","2","1051"
"r_1","2011","num","BG3","0","5401"
"r_1","2011","num","BG3","1","4359"
"r_1","2011","num","BG3","2","1042"
"r_1","2012","num","BG3","0","6157"
"r_1","2012","num","BG3","1","4948"
"r_1","2012","num","BG3","2","1209"
"r_1","2013","num","BG3","0","5575"
"r_1","2013","num","BG3","1","4509"
"r_1","2013","num","BG3","2","1066"
"r_1","2014","num","BG3","0","5537"
"r_1","2014","num","BG3","1","4412"
"r_1","2014","num","BG3","2","1125"
"r_1","2000","num","BG31","0","1222"
"r_1","2000","num","BG31","1","961"
"r_1","2000","num","BG31","2","261"
"r_1","2001","num","BG31","0","1284"
"r_1","2001","num","BG31","1","1016"
"r_1","2001","num","BG31","2","268"
"r_1","2002","num","BG31","0","1270"
"r_1","2002","num","BG31","1","991"
"r_1","2002","num","BG31","2","279"
"r_1","2003","num","BG31","0","1517"
"r_1","2003","num","BG31","1","1149"
"r_1","2003","num","BG31","2","368"
"r_1","2004","num","BG31","0","2198"
"r_1","2004","num","BG31","1","1608"
"r_1","2004","num","BG31","2","590"
"r_1","2005","num","BG31","0","2248"
"r_1","2005","num","BG31","1","1621"
"r_1","2005","num","BG31","2","627"
"r_1","2006","num","BG31","0","1973"
"r_1","2006","num","BG31","1","1471"
"r_1","2006","num","BG31","2","502"
"r_1","2007","num","BG31","0","1726"
"r_1","2007","num","BG31","1","1281"
"r_1","2007","num","BG31","2","445"
"r_1","2008","num","BG31","0","1711"
"r_1","2008","num","BG31","1","1266"
"r_1","2008","num","BG31","2","445"
"r_1","2009","num","BG31","0","1402"
"r_1","2009","num","BG31","1","1069"
"r_1","2009","num","BG31","2","333"
"r_1","2010","num","BG31","0","1104"
"r_1","2010","num","BG31","1","837"
"r_1","2010","num","BG31","2","267"
"r_1","2011","num","BG31","0","1144"
"r_1","2011","num","BG31","1","879"
"r_1","2011","num","BG31","2","265"
"r_1","2012","num","BG31","0","1190"
"r_1","2012","num","BG31","1","893"
"r_1","2012","num","BG31","2","297"
"r_1","2013","num","BG31","0","1164"
"r_1","2013","num","BG31","1","878"
"r_1","2013","num","BG31","2","286"
"r_1","2014","num","BG31","0","1127"
"r_1","2014","num","BG31","1","835"
"r_1","2014","num","BG31","2","292"
"r_1","2000","num","VID","0","203"
"r_1","2000","num","VID","1","159"
"r_1","2000","num","VID","2","44"
"r_1","2001","num","VID","0","166"
"r_1","2001","num","VID","1","132"
"r_1","2001","num","VID","2","34"
"r_1","2002","num","VID","0","228"
"r_1","2002","num","VID","1","180"
"r_1","2002","num","VID","2","48"
"r_1","2003","num","VID","0","255"
"r_1","2003","num","VID","1","193"
"r_1","2003","num","VID","2","62"
"r_1","2004","num","VID","0","408"
"r_1","2004","num","VID","1","302"
"r_1","2004","num","VID","2","106"
"r_1","2005","num","VID","0","362"
"r_1","2005","num","VID","1","262"
"r_1","2005","num","VID","2","100"
"r_1","2006","num","VID","0","298"
"r_1","2006","num","VID","1","234"
"r_1","2006","num","VID","2","64"
"r_1","2007","num","VID","0","257"
"r_1","2007","num","VID","1","186"
"r_1","2007","num","VID","2","71"
"r_1","2008","num","VID","0","202"
"r_1","2008","num","VID","1","155"
"r_1","2008","num","VID","2","47"
"r_1","2009","num","VID","0","194"
"r_1","2009","num","VID","1","147"
"r_1","2009","num","VID","2","47"
"r_1","2010","num","VID","0","139"
"r_1","2010","num","VID","1","115"
"r_1","2010","num","VID","2","24"
"r_1","2011","num","VID","0","123"
"r_1","2011","num","VID","1","97"
"r_1","2011","num","VID","2","26"
"r_1","2012","num","VID","0","136"
"r_1","2012","num","VID","1","102"
"r_1","2012","num","VID","2","34"
"r_1","2013","num","VID","0","133"
"r_1","2013","num","VID","1","109"
"r_1","2013","num","VID","2","24"
"r_1","2014","num","VID","0","122"
"r_1","2014","num","VID","1","97"
"r_1","2014","num","VID","2","25"
"r_1","2000","num","VID01","0","12"
"r_1","2000","num","VID01","1","10"
"r_1","2000","num","VID01","2","2"
"r_1","2001","num","VID01","0","16"
"r_1","2001","num","VID01","1","16"
"r_1","2001","num","VID01","2","-"
"r_1","2002","num","VID01","0","13"
"r_1","2002","num","VID01","1","12"
"r_1","2002","num","VID01","2","1"
"r_1","2003","num","VID01","0","13"
"r_1","2003","num","VID01","1","11"
"r_1","2003","num","VID01","2","2"
"r_1","2004","num","VID01","0","27"
"r_1","2004","num","VID01","1","25"
"r_1","2004","num","VID01","2","2"
"r_1","2005","num","VID01","0","26"
"r_1","2005","num","VID01","1","21"
"r_1","2005","num","VID01","2","5"
"r_1","2006","num","VID01","0","23"
"r_1","2006","num","VID01","1","18"
"r_1","2006","num","VID01","2","5"
"r_1","2007","num","VID01","0","21"
"r_1","2007","num","VID01","1","18"
"r_1","2007","num","VID01","2","3"
"r_1","2008","num","VID01","0","6"
"r_1","2008","num","VID01","1","5"
"r_1","2008","num","VID01","2","1"
"r_1","2009","num","VID01","0","11"
"r_1","2009","num","VID01","1","9"
"r_1","2009","num","VID01","2","2"
"r_1","2010","num","VID01","0","8"
"r_1","2010","num","VID01","1","6"
"r_1","2010","num","VID01","2","2"
"r_1","2011","num","VID01","0","9"
"r_1","2011","num","VID01","1","7"
"r_1","2011","num","VID01","2","2"
"r_1","2012","num","VID01","0","8"
"r_1","2012","num","VID01","1","8"
"r_1","2012","num","VID01","2","-"
"r_1","2013","num","VID01","0","9"
"r_1","2013","num","VID01","1","9"
"r_1","2013","num","VID01","2","-"
"r_1","2014","num","VID01","0","5"
"r_1","2014","num","VID01","1","5"
"r_1","2014","num","VID01","2","-"
"r_1","2000","num","VID03","0","-"
"r_1","2000","num","VID03","1","-"
"r_1","2000","num","VID03","2","-"
"r_1","2001","num","VID03","0","-"
"r_1","2001","num","VID03","1","-"
"r_1","2001","num","VID03","2","-"
"r_1","2002","num","VID03","0","-"
"r_1","2002","num","VID03","1","-"
"r_1","2002","num","VID03","2","-"
"r_1","2003","num","VID03","0","2"
"r_1","2003","num","VID03","1","-"
"r_1","2003","num","VID03","2","2"
"r_1","2004","num","VID03","0","3"
"r_1","2004","num","VID03","1","-"
"r_1","2004","num","VID03","2","3"
"r_1","2005","num","VID03","0","4"
"r_1","2005","num","VID03","1","-"
"r_1","2005","num","VID03","2","4"
"r_1","2006","num","VID03","0","2"
"r_1","2006","num","VID03","1","-"
"r_1","2006","num","VID03","2","2"
"r_1","2007","num","VID03","0","4"
"r_1","2007","num","VID03","1","-"
"r_1","2007","num","VID03","2","4"
"r_1","2008","num","VID03","0","1"
"r_1","2008","num","VID03","1","-"
"r_1","2008","num","VID03","2","1"
"r_1","2009","num","VID03","0","1"
"r_1","2009","num","VID03","1","-"
"r_1","2009","num","VID03","2","1"
"r_1","2010","num","VID03","0","-"
"r_1","2010","num","VID03","1","-"
"r_1","2010","num","VID03","2","-"
"r_1","2011","num","VID03","0","1"
"r_1","2011","num","VID03","1","-"
"r_1","2011","num","VID03","2","1"
"r_1","2012","num","VID03","0","3"
"r_1","2012","num","VID03","1","-"
"r_1","2012","num","VID03","2","3"
"r_1","2013","num","VID03","0","-"
"r_1","2013","num","VID03","1","-"
"r_1","2013","num","VID03","2","-"
"r_1","2014","num","VID03","0","1"
"r_1","2014","num","VID03","1","-"
"r_1","2014","num","VID03","2","1"
"r_1","2000","num","VID06","0","8"
"r_1","2000","num","VID06","1","3"
"r_1","2000","num","VID06","2","5"
"r_1","2001","num","VID06","0","7"
"r_1","2001","num","VID06","1","3"
