RevisionColumn,Indicators,NACE2008A38,Units,periods,ValueColumn
"r_4","3.1.1.6.1","1","1000EUR","2008","19185002.9"
"r_4","3.1.1.6.1","1","1000EUR","2009","20441581.2"
"r_4","3.1.1.6.1","1","1000EUR","2010","22114446.3"
"r_4","3.1.1.6.1","1","1000EUR","2011","21644918"
"r_4","3.1.1.6.1","1","1000EUR","2012","21950596.1"
"r_4","3.1.1.6.1","1","1000EUR","2013","23339733.1"
"r_4","3.1.1.6.1","1","1000EUR","2014","21581579.6"
"r_4","3.1.1.6.1","A","1000EUR","2008","107842.6"
"r_4","3.1.1.6.1","A","1000EUR","2009","76126.6"
"r_4","3.1.1.6.1","A","1000EUR","2010","84754.3"
"r_4","3.1.1.6.1","A","1000EUR","2011","91479.6"
"r_4","3.1.1.6.1","A","1000EUR","2012","106052.2"
"r_4","3.1.1.6.1","A","1000EUR","2013","128162"
"r_4","3.1.1.6.1","A","1000EUR","2014","170668.2"
"r_4","3.1.1.6.1","B","1000EUR","2008","173119.6"
"r_4","3.1.1.6.1","B","1000EUR","2009","411615.9"
"r_4","3.1.1.6.1","B","1000EUR","2010","435955.5"
"r_4","3.1.1.6.1","B","1000EUR","2011","512678.8"
"r_4","3.1.1.6.1","B","1000EUR","2012","646287.8"
"r_4","3.1.1.6.1","B","1000EUR","2013","740852.1"
"r_4","3.1.1.6.1","B","1000EUR","2014","724887.3"
"r_4","3.1.1.6.1","CA","1000EUR","2008","712775.3"
"r_4","3.1.1.6.1","CA","1000EUR","2009","769314.4"
"r_4","3.1.1.6.1","CA","1000EUR","2010","905576"
"r_4","3.1.1.6.1","CA","1000EUR","2011","874257.1"
"r_4","3.1.1.6.1","CA","1000EUR","2012","945154.1"
"r_4","3.1.1.6.1","CA","1000EUR","2013","935211.7"
"r_4","3.1.1.6.1","CA","1000EUR","2014","886096.2"
"r_4","3.1.1.6.1","CB","1000EUR","2008","835854.7"
"r_4","3.1.1.6.1","CB","1000EUR","2009","653921.4"
"r_4","3.1.1.6.1","CB","1000EUR","2010","637621.3"
"r_4","3.1.1.6.1","CB","1000EUR","2011","651649.6"
"r_4","3.1.1.6.1","CB","1000EUR","2012","251971.4"
"r_4","3.1.1.6.1","CB","1000EUR","2013","261197.5"
"r_4","3.1.1.6.1","CB","1000EUR","2014","254859.9"
"r_4","3.1.1.6.1","CC","1000EUR","2008","281217.7"
"r_4","3.1.1.6.1","CC","1000EUR","2009","200761.2"
"r_4","3.1.1.6.1","CC","1000EUR","2010","268873.3"
"r_4","3.1.1.6.1","CC","1000EUR","2011","215140.8"
"r_4","3.1.1.6.1","CC","1000EUR","2012","221173.8"
"r_4","3.1.1.6.1","CC","1000EUR","2013","257001.4"
"r_4","3.1.1.6.1","CC","1000EUR","2014","246130.4"
"r_4","3.1.1.6.1","CD","1000EUR","2008",".."
"r_4","3.1.1.6.1","CD","1000EUR","2009","209338.1"
"r_4","3.1.1.6.1","CD","1000EUR","2010",".."
"r_4","3.1.1.6.1","CD","1000EUR","2011",".."
"r_4","3.1.1.6.1","CD","1000EUR","2012",".."
"r_4","3.1.1.6.1","CD","1000EUR","2013",".."
"r_4","3.1.1.6.1","CD","1000EUR","2014",".."
"r_4","3.1.1.6.1","CE","1000EUR","2008","509271.4"
"r_4","3.1.1.6.1","CE","1000EUR","2009","455644.5"
"r_4","3.1.1.6.1","CE","1000EUR","2010","488693.1"
"r_4","3.1.1.6.1","CE","1000EUR","2011","467517.9"
"r_4","3.1.1.6.1","CE","1000EUR","2012","444444.7"
"r_4","3.1.1.6.1","CE","1000EUR","2013","502764.5"
"r_4","3.1.1.6.1","CE","1000EUR","2014","575221.6"
"r_4","3.1.1.6.1","CF","1000EUR","2008",".."
"r_4","3.1.1.6.1","CF","1000EUR","2009","25506.4"
