RevisionColumn,periods,SZCLS_EMPL,NUTS,Units,Indicators,ValueColumn
"r_1","2008","0","BG","num","3.1.1.03.1","323003"
"r_1","2008","0","BG","num","3.1.1.03.2","2219261"
"r_1","2008","0","BG","1000BGN","3.1.1.03.3","97633100"
"r_1","2008","0","BG","1000BGN","3.1.1.03.4","234326729"
"r_1","2008","0","BG","1000BGN","3.1.1.03.5","224253396"
"r_1","2009","0","BG","num","3.1.1.03.1","368229"
"r_1","2009","0","BG","num","3.1.1.03.2","2193002"
"r_1","2009","0","BG","1000BGN","3.1.1.03.3","107105307"
"r_1","2009","0","BG","1000BGN","3.1.1.03.4","202297212"
"r_1","2009","0","BG","1000BGN","3.1.1.03.5","196899408"
"r_1","2010","0","BG","num","3.1.1.03.1","366929"
"r_1","2010","0","BG","num","3.1.1.03.2","2081299"
"r_1","2010","0","BG","1000BGN","3.1.1.03.3","106397669"
"r_1","2010","0","BG","1000BGN","3.1.1.03.4","206623058"
"r_1","2010","0","BG","1000BGN","3.1.1.03.5","200858581"
"r_1","2011","0","BG","num","3.1.1.03.1","366240"
"r_1","2011","0","BG","num","3.1.1.03.2","2066537"
"r_1","2011","0","BG","1000BGN","3.1.1.03.3","108016721"
"r_1","2011","0","BG","1000BGN","3.1.1.03.4","229152801"
"r_1","2011","0","BG","1000BGN","3.1.1.03.5","222375741"
"r_1","2012","0","BG","num","3.1.1.03.1","372036"
"r_1","2012","0","BG","num","3.1.1.03.2","2049672"
"r_1","2012","0","BG","1000BGN","3.1.1.03.3","112522587"
"r_1","2012","0","BG","1000BGN","3.1.1.03.4","240567449"
"r_1","2012","0","BG","1000BGN","3.1.1.03.5","232540474"
"r_1","2013","0","BG","num","3.1.1.03.1","377383"
"r_1","2013","0","BG","num","3.1.1.03.2","2050259"
"r_1","2013","0","BG","1000BGN","3.1.1.03.3","113772862"
"r_1","2013","0","BG","1000BGN","3.1.1.03.4","243265809"
"r_1","2013","0","BG","1000BGN","3.1.1.03.5","234422423"
"r_1","2014","0","BG","num","3.1.1.03.1","383905"
"r_1","2014","0","BG","num","3.1.1.03.2","2075598"
"r_1","2014","0","BG","1000BGN","3.1.1.03.3","117198506"
"r_1","2014","0","BG","1000BGN","3.1.1.03.4","251948230"
"r_1","2014","0","BG","1000BGN","3.1.1.03.5","244131036"
"r_1","2015","0","BG","num","3.1.1.03.1","393460"
"r_1","2015","0","BG","num","3.1.1.03.2","2101095"
"r_1","2015","0","BG","1000BGN","3.1.1.03.3","119674303"
"r_1","2015","0","BG","1000BGN","3.1.1.03.4","268231726"
"r_1","2015","0","BG","1000BGN","3.1.1.03.5","255251565"
"r_1","2016","0","BG","num","3.1.1.03.1","404937"
"r_1","2016","0","BG","num","3.1.1.03.2","2156511"
"r_1","2016","0","BG","1000BGN","3.1.1.03.3","121633211"
"r_1","2016","0","BG","1000BGN","3.1.1.03.4","266746152"
"r_1","2016","0","BG","1000BGN","3.1.1.03.5","251447491"
"r_1","2017","0","BG","num","3.1.1.03.1","406310"
"r_1","2017","0","BG","num","3.1.1.03.2","2193508"
"r_1","2017","0","BG","1000BGN","3.1.1.03.3","124351492"
"r_1","2017","0","BG","1000BGN","3.1.1.03.4","293351703"
"r_1","2017","0","BG","1000BGN","3.1.1.03.5","274475682"
"r_1","2018","0","BG","num","3.1.1.03.1","413535"
"r_1","2018","0","BG","num","3.1.1.03.2","2208432"
"r_1","2018","0","BG","1000BGN","3.1.1.03.3","128663065"
"r_1","2018","0","BG","1000BGN","3.1.1.03.4","315213790"
"r_1","2018","0","BG","1000BGN","3.1.1.03.5","295925304"
"r_1","2019","0","BG","num","3.1.1.03.1","419681"
"r_1","2019","0","BG","num","3.1.1.03.2","2210488"
"r_1","2019","0","BG","1000BGN","3.1.1.03.3","137713692"
"r_1","2019","0","BG","1000BGN","3.1.1.03.4","337440955"
"r_1","2019","0","BG","1000BGN","3.1.1.03.5","315826750"
"r_1","2020","0","BG","num","3.1.1.03.1","411564"
"r_1","2020","0","BG","num","3.1.1.03.2","2091074"
"r_1","2020","0","BG","1000BGN","3.1.1.03.3","117739449"
"r_1","2020","0","BG","1000BGN","3.1.1.03.4","329084714"
"r_1","2020","0","BG","1000BGN","3.1.1.03.5","307140881"
"r_1","2008","1","BG","num","3.1.1.03.1","289981"
"r_1","2008","1","BG","num","3.1.1.03.2","582862"
"r_1","2008","1","BG","1000BGN","3.1.1.03.3","27051933"
"r_1","2008","1","BG","1000BGN","3.1.1.03.4","48467053"
