Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"NACE2008A21","","Агрегирана номенклатура А21 на базата на КИД-2008 (буквен код)","Aggregated Nomenclature of Economic Activities A21 (2008)"
"NACE2008A21","1","Общо (всички икономически дейности, с изключение на сектори K, O, T и U)","Total (all NACE aktivities except K, O, T and U)"
"NACE2008A21","A","СЕЛСКО, ГОРСКО И РИБНО СТОПАНСТВО","Agriculture, forestry and fishing"
"NACE2008A21","B","ДОБИВНА ПРОМИШЛЕНОСТ","Mining and quarrying"
"NACE2008A21","C","ПРЕРАБОТВАЩА ПРОМИШЛЕНОСТ","Manufacturing"
"NACE2008A21","D","ПРОИЗВОДСТВО И РАЗПРЕДЕЛЕНИЕ НА ЕЛЕКТРИЧЕСКА И ТОПЛИННА ЕНЕРГИЯ И НА ГАЗООБРАЗНИ ГОРИВА","Electricity, gas, steam and air conditioning supply"
"NACE2008A21","E","ДОСТАВЯНЕ НА ВОДИ; КАНАЛИЗАЦИОННИ УСЛУГИ, УПРАВЛЕНИЕ НА ОТПАДЪЦИ И ВЪЗСТАНОВЯВАНЕ","Water supply, sewerage, waste management and remediation activities"
"NACE2008A21","F","СТРОИТЕЛСТВО","Construction"
"NACE2008A21","G","ТЪРГОВИЯ; РЕМОНТ НА АВТОМОБИЛИ И МОТОЦИКЛЕТИ","Wholesale and retail trade; repair of motor vehicles and motorcycles"
"NACE2008A21","H","ТРАНСПОРТ, СКЛАДИРАНЕ И ПОЩИ","Transportation and storage"
"NACE2008A21","I","ХОТЕЛИЕРСТВО И РЕСТОРАНТЬОРСТВО","Accommodation and food service activities"
"NACE2008A21","J","СЪЗДАВАНЕ И РАЗПРОСТРАНЕНИЕ НА ИНФОРМАЦИЯ И ТВОРЧЕСКИ ПРОДУКТИ; ДАЛЕКОСЪОБЩЕНИЯ","Information and communication"
"NACE2008A21","L","ОПЕРАЦИИ С НЕДВИЖИМИ ИМОТИ","Real estate activities"
"NACE2008A21","M","ПРОФЕСИОНАЛНИ ДЕЙНОСТИ И НАУЧНИ ИЗСЛЕДВАНИЯ","Professional, scientific and technical activities"
"NACE2008A21","N","АДМИНИСТРАТИВНИ И СПОМАГАТЕЛНИ ДЕЙНОСТИ","Administrative and support service activities"
"NACE2008A21","P","ОБРАЗОВАНИЕ","Education"
"NACE2008A21","Q","ХУМАННО ЗДРАВЕОПАЗВАНЕ И СОЦИАЛНА РАБОТА","Human health and social work activities"
"NACE2008A21","R","КУЛТУРА, СПОРТ И РАЗВЛЕЧЕНИЯ","Arts, entertainment and recreation"
"NACE2008A21","S","ДРУГИ ДЕЙНОСТИ","Other service activities"
"SZCLS_EMPL","","Големина на групата според броя на заетите лица","Size class by employed"
"SZCLS_EMPL","0","Общо","Total"
"SZCLS_EMPL","1","0 - 9","0 - 9"
"SZCLS_EMPL","4","10 - 49","10 - 49"
"SZCLS_EMPL","5","50 - 249","50 - 249"
"SZCLS_EMPL","6","250 +","250 +"
"Indicators","","Показатели","Indicators"
"Indicators","3.1.1.03.1","Предприятия","Enterprises"
"Indicators","3.1.1.03.2","Заети лица","Persons employed"
"Indicators","3.1.1.03.3","Дълготрайни материални активи","Tangible fixed assets"
"Indicators","3.1.1.03.4","Приходи от дейността","Revenues"
"Indicators","3.1.1.03.5","Разходи за  дейността","Expenditure"
"Units","","Мерни единици","Measuring units"
"Units","1000BGN","хиляди левове","Thousand BGN"
"Units","num","брой","Number"
