RevisionColumn,NACE2008A21,periods,SZCLS_EMPL,Indicators,Units,ValueColumn
"r_1","1","2008","0","3.1.1.03.1","num","323003"
"r_1","1","2008","0","3.1.1.03.2","num","2219261"
"r_1","1","2008","0","3.1.1.03.3","1000BGN","97633100"
"r_1","1","2008","0","3.1.1.03.4","1000BGN","234326729"
"r_1","1","2008","0","3.1.1.03.5","1000BGN","224253396"
"r_1","1","2009","0","3.1.1.03.1","num","368229"
"r_1","1","2009","0","3.1.1.03.2","num","2193002"
"r_1","1","2009","0","3.1.1.03.3","1000BGN","107105307"
"r_1","1","2009","0","3.1.1.03.4","1000BGN","202297212"
"r_1","1","2009","0","3.1.1.03.5","1000BGN","196899408"
"r_1","1","2010","0","3.1.1.03.1","num","366929"
"r_1","1","2010","0","3.1.1.03.2","num","2081299"
"r_1","1","2010","0","3.1.1.03.3","1000BGN","106397669"
"r_1","1","2010","0","3.1.1.03.4","1000BGN","206623058"
"r_1","1","2010","0","3.1.1.03.5","1000BGN","200858581"
"r_1","1","2011","0","3.1.1.03.1","num","366240"
"r_1","1","2011","0","3.1.1.03.2","num","2066537"
"r_1","1","2011","0","3.1.1.03.3","1000BGN","108016721"
"r_1","1","2011","0","3.1.1.03.4","1000BGN","229152801"
"r_1","1","2011","0","3.1.1.03.5","1000BGN","222375741"
"r_1","1","2012","0","3.1.1.03.1","num","372036"
"r_1","1","2012","0","3.1.1.03.2","num","2049672"
"r_1","1","2012","0","3.1.1.03.3","1000BGN","112522587"
"r_1","1","2012","0","3.1.1.03.4","1000BGN","240567449"
"r_1","1","2012","0","3.1.1.03.5","1000BGN","232540474"
"r_1","1","2013","0","3.1.1.03.1","num","377383"
"r_1","1","2013","0","3.1.1.03.2","num","2050259"
"r_1","1","2013","0","3.1.1.03.3","1000BGN","113772862"
"r_1","1","2013","0","3.1.1.03.4","1000BGN","243265809"
"r_1","1","2013","0","3.1.1.03.5","1000BGN","234422423"
"r_1","1","2014","0","3.1.1.03.1","num","383905"
