Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","1000BGN","хиляди левове","Thousand BGN"
"Indicators","","Показатели","Indicators"
"Indicators","3.1.2.3.3.1","Нематериални активи","Intangible assets"
"Indicators","3.1.2.3.3.10","Подчинени пасиви","Subordinated liabilities"
"Indicators","3.1.2.3.3.11","Застрахователни пасиви","Insurance liabilities"
"Indicators","3.1.2.3.3.12","Финансови пасиви","Financial liabilities"
"Indicators","3.1.2.3.3.13","Други пасиви","Other liabilities"
"Indicators","3.1.2.3.3.14","Други пасиви, които не са посочени другаде","Other liabilities not specified elsewhere"
"Indicators","3.1.2.3.3.15","СУМА НА ПАСИВА","TOTAL LIABILITIES"
"Indicators","3.1.2.3.3.2","Материални активи","Tangible assets"
"Indicators","3.1.2.3.3.3","Разходи за активи с право на ползване по оперативен лизинг","Expenses for right-of-use assets under operating leases"
"Indicators","3.1.2.3.3.4","Инвестиции","Investments"
"Indicators","3.1.2.3.3.5","Активи от застрахователни и презастрахователни договори","Assets from insurance and reinsurance contracts"
"Indicators","3.1.2.3.3.6","Вземания","Receivables"
"Indicators","3.1.2.3.3.7","Пари и парични еквиваленти","Cash and cash equivalents"
"Indicators","3.1.2.3.3.8","Други активи, които не са посочени другаде","Other assets not specified elsewhere"
"Indicators","3.1.2.3.3.9","СУМА НА АКТИВА","TOTAL ASSETS"
"Indicators","3.1.2.3.5.16","Заеми и ипотеки","Loans and mortgages"
"Indicators","3.1.2.3.5.17","Капитал и резерви","Capital and reserves"
"Indicators","3.1.2.3.5.18","Други резерви","Other provisions"
