RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2005","3.1.2.3.3.1","3382"
"r_2","1000BGN","2006","3.1.2.3.3.1","5765"
"r_2","1000BGN","2007","3.1.2.3.3.1","8285"
"r_2","1000BGN","2008","3.1.2.3.3.1","9629"
"r_2","1000BGN","2009","3.1.2.3.3.1","14473"
"r_2","1000BGN","2010","3.1.2.3.3.1","13951"
"r_2","1000BGN","2011","3.1.2.3.3.1","22260"
"r_2","1000BGN","2012","3.1.2.3.3.1","19782"
"r_2","1000BGN","2013","3.1.2.3.3.1","16910"
"r_2","1000BGN","2014","3.1.2.3.3.1","15299"
"r_2","1000BGN","2015","3.1.2.3.3.1","12605"
"r_2","1000BGN","2016","3.1.2.3.3.1","12728"
"r_2","1000BGN","2017","3.1.2.3.3.1","22143"
"r_2","1000BGN","2018","3.1.2.3.3.1","37070"
"r_2","1000BGN","2019","3.1.2.3.3.1","46687"
"r_2","1000BGN","2020","3.1.2.3.3.1","44946"
"r_2","1000BGN","2005","3.1.2.3.3.2","753835"
"r_2","1000BGN","2006","3.1.2.3.3.2","1064999"
"r_2","1000BGN","2007","3.1.2.3.3.2","1470122"
"r_2","1000BGN","2008","3.1.2.3.3.2","1695514"
"r_2","1000BGN","2009","3.1.2.3.3.2","1925337"
"r_2","1000BGN","2010","3.1.2.3.3.2","2077906"
"r_2","1000BGN","2011","3.1.2.3.3.2","2108562"
"r_2","1000BGN","2012","3.1.2.3.3.2","2186292"
"r_2","1000BGN","2013","3.1.2.3.3.2","2323249"
"r_2","1000BGN","2014","3.1.2.3.3.2","2616970"
"r_2","1000BGN","2015","3.1.2.3.3.2","2738772"
"r_2","1000BGN","2016","3.1.2.3.3.2","3065990"
"r_2","1000BGN","2017","3.1.2.3.3.2","3138013"
"r_2","1000BGN","2018","3.1.2.3.3.2","3232890"
"r_2","1000BGN","2019","3.1.2.3.3.2","3647134"
"r_2","1000BGN","2020","3.1.2.3.3.2","4082774"
"r_2","1000BGN","2005","3.1.2.3.3.3","19828"
"r_2","1000BGN","2006","3.1.2.3.3.3","29608"
"r_2","1000BGN","2007","3.1.2.3.3.3","48205"
"r_2","1000BGN","2008","3.1.2.3.3.3","51106"
"r_2","1000BGN","2009","3.1.2.3.3.3","59932"
"r_2","1000BGN","2010","3.1.2.3.3.3","66376"
"r_2","1000BGN","2011","3.1.2.3.3.3","60999"
"r_2","1000BGN","2012","3.1.2.3.3.3","73685"
"r_2","1000BGN","2013","3.1.2.3.3.3","81645"
"r_2","1000BGN","2014","3.1.2.3.3.3","94561"
"r_2","1000BGN","2015","3.1.2.3.3.3","102901"
"r_2","1000BGN","2016","3.1.2.3.3.3","140411"
"r_2","1000BGN","2017","3.1.2.3.3.3","193364"
"r_2","1000BGN","2018","3.1.2.3.3.3","240586"
"r_2","1000BGN","2019","3.1.2.3.3.3","364076"
"r_2","1000BGN","2020","3.1.2.3.3.3","456594"
"r_2","1000BGN","2005","3.1.2.3.3.4","275929"
"r_2","1000BGN","2006","3.1.2.3.3.4","329102"
"r_2","1000BGN","2007","3.1.2.3.3.4","419695"
"r_2","1000BGN","2008","3.1.2.3.3.4","559851"
"r_2","1000BGN","2009","3.1.2.3.3.4","595046"
"r_2","1000BGN","2010","3.1.2.3.3.4","581079"
"r_2","1000BGN","2011","3.1.2.3.3.4","649705"
"r_2","1000BGN","2012","3.1.2.3.3.4","689421"
"r_2","1000BGN","2013","3.1.2.3.3.4","742962"
"r_2","1000BGN","2014","3.1.2.3.3.4","801620"
"r_2","1000BGN","2015","3.1.2.3.3.4","837097"
"r_2","1000BGN","2016","3.1.2.3.3.4","786309"
"r_2","1000BGN","2017","3.1.2.3.3.4","902886"
"r_2","1000BGN","2018","3.1.2.3.3.4","1003011"
"r_2","1000BGN","2019","3.1.2.3.3.4","1005300"
"r_2","1000BGN","2020","3.1.2.3.3.4","1067667"
"r_2","1000BGN","2005","3.1.2.3.5.16","-"
"r_2","1000BGN","2006","3.1.2.3.5.16","-"
"r_2","1000BGN","2007","3.1.2.3.5.16","-"
"r_2","1000BGN","2008","3.1.2.3.5.16","-"
"r_2","1000BGN","2009","3.1.2.3.5.16","-"
"r_2","1000BGN","2010","3.1.2.3.5.16","-"
"r_2","1000BGN","2011","3.1.2.3.5.16","-"
"r_2","1000BGN","2012","3.1.2.3.5.16","-"
"r_2","1000BGN","2013","3.1.2.3.5.16","-"
"r_2","1000BGN","2014","3.1.2.3.5.16","-"
"r_2","1000BGN","2015","3.1.2.3.5.16","-"
"r_2","1000BGN","2016","3.1.2.3.5.16","-"
