RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG","1000cp","2003Q1","0","2704.3"
"r_2","BG","1000cp","2003Q1","1","1424"
"r_2","BG","1000cp","2003Q1","2","1280.3"
"r_2","BG","1000cp","2003Q2","0","2876"
"r_2","BG","1000cp","2003Q2","1","1525.9"
"r_2","BG","1000cp","2003Q2","2","1350.1"
"r_2","BG","1000cp","2003Q3","0","2933.1"
"r_2","BG","1000cp","2003Q3","1","1555.3"
"r_2","BG","1000cp","2003Q3","2","1377.8"
"r_2","BG","1000cp","2003Q4","0","2825.6"
"r_2","BG","1000cp","2003Q4","1","1497.7"
"r_2","BG","1000cp","2003Q4","2","1327.9"
"r_2","BG","1000cp","2004Q1","0","2783.8"
"r_2","BG","1000cp","2004Q1","1","1482.2"
"r_2","BG","1000cp","2004Q1","2","1301.7"
"r_2","BG","1000cp","2004Q2","0","2969.8"
"r_2","BG","1000cp","2004Q2","1","1575.3"
"r_2","BG","1000cp","2004Q2","2","1394.5"
"r_2","BG","1000cp","2004Q3","0","3024.6"
"r_2","BG","1000cp","2004Q3","1","1597.3"
"r_2","BG","1000cp","2004Q3","2","1427.2"
"r_2","BG","1000cp","2004Q4","0","2911.9"
"r_2","BG","1000cp","2004Q4","1","1545.6"
"r_2","BG","1000cp","2004Q4","2","1366.3"
"r_2","BG","1000cp","2005Q1","0","2838.4"
"r_2","BG","1000cp","2005Q1","1","1511.8"
"r_2","BG","1000cp","2005Q1","2","1326.6"
"r_2","BG","1000cp","2005Q2","0","3008.9"
"r_2","BG","1000cp","2005Q2","1","1603.6"
"r_2","BG","1000cp","2005Q2","2","1405.2"
"r_2","BG","1000cp","2005Q3","0","3098.1"
"r_2","BG","1000cp","2005Q3","1","1656.4"
"r_2","BG","1000cp","2005Q3","2","1441.6"
"r_2","BG","1000cp","2005Q4","0","2982.3"
"r_2","BG","1000cp","2005Q4","1","1596.7"
"r_2","BG","1000cp","2005Q4","2","1385.7"
"r_2","BG","1000cp","2006Q1","0","2940.5"
"r_2","BG","1000cp","2006Q1","1","1563.2"
"r_2","BG","1000cp","2006Q1","2","1377.2"
"r_2","BG","1000cp","2006Q2","0","3139.1"
"r_2","BG","1000cp","2006Q2","1","1667"
"r_2","BG","1000cp","2006Q2","2","1472.1"
"r_2","BG","1000cp","2006Q3","0","3200.8"
"r_2","BG","1000cp","2006Q3","1","1694.8"
"r_2","BG","1000cp","2006Q3","2","1506"
"r_2","BG","1000cp","2006Q4","0","3159.6"
"r_2","BG","1000cp","2006Q4","1","1686.2"
"r_2","BG","1000cp","2006Q4","2","1473.4"
"r_2","BG","1000cp","2007Q1","0","3135.4"
"r_2","BG","1000cp","2007Q1","1","1667.4"
"r_2","BG","1000cp","2007Q1","2","1467.9"
"r_2","BG","1000cp","2007Q2","0","3253.1"
"r_2","BG","1000cp","2007Q2","1","1723.8"
"r_2","BG","1000cp","2007Q2","2","1529.3"
