RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG","1000cp","2003Q1","0","2666"
"r_2","BG","1000cp","2003Q1","1","1395.1"
"r_2","BG","1000cp","2003Q1","2","1270.9"
"r_2","BG","1000cp","2003Q2","0","2818.7"
"r_2","BG","1000cp","2003Q2","1","1486"
"r_2","BG","1000cp","2003Q2","2","1332.7"
"r_2","BG","1000cp","2003Q3","0","2875.5"
"r_2","BG","1000cp","2003Q3","1","1518"
"r_2","BG","1000cp","2003Q3","2","1357.5"
"r_2","BG","1000cp","2003Q4","0","2780"
"r_2","BG","1000cp","2003Q4","1","1465.6"
"r_2","BG","1000cp","2003Q4","2","1314.4"
"r_2","BG","1000cp","2004Q1","0","2740.9"
"r_2","BG","1000cp","2004Q1","1","1451.5"
"r_2","BG","1000cp","2004Q1","2","1289.4"
"r_2","BG","1000cp","2004Q2","0","2922"
"r_2","BG","1000cp","2004Q2","1","1542.1"
"r_2","BG","1000cp","2004Q2","2","1379.9"
"r_2","BG","1000cp","2004Q3","0","2973.7"
"r_2","BG","1000cp","2004Q3","1","1565.8"
"r_2","BG","1000cp","2004Q3","2","1407.9"
"r_2","BG","1000cp","2004Q4","0","2870.7"
"r_2","BG","1000cp","2004Q4","1","1518.5"
"r_2","BG","1000cp","2004Q4","2","1352.2"
"r_2","BG","1000cp","2005Q1","0","2802.5"
"r_2","BG","1000cp","2005Q1","1","1486.4"
"r_2","BG","1000cp","2005Q1","2","1316.1"
"r_2","BG","1000cp","2005Q2","0","2971.6"
"r_2","BG","1000cp","2005Q2","1","1577.9"
"r_2","BG","1000cp","2005Q2","2","1393.8"
"r_2","BG","1000cp","2005Q3","0","3063.4"
"r_2","BG","1000cp","2005Q3","1","1633.3"
"r_2","BG","1000cp","2005Q3","2","1430.1"
"r_2","BG","1000cp","2005Q4","0","2950.4"
"r_2","BG","1000cp","2005Q4","1","1576.8"
"r_2","BG","1000cp","2005Q4","2","1373.6"
"r_2","BG","1000cp","2006Q1","0","2908.1"
"r_2","BG","1000cp","2006Q1","1","1539.7"
"r_2","BG","1000cp","2006Q1","2","1368.5"
"r_2","BG","1000cp","2006Q2","0","3100.8"
"r_2","BG","1000cp","2006Q2","1","1640.1"
"r_2","BG","1000cp","2006Q2","2","1460.7"
"r_2","BG","1000cp","2006Q3","0","3158.5"
"r_2","BG","1000cp","2006Q3","1","1666.3"
"r_2","BG","1000cp","2006Q3","2","1492.2"
"r_2","BG","1000cp","2006Q4","0","3119.7"
"r_2","BG","1000cp","2006Q4","1","1658.4"
