RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG","perc","2003Q1","0","40.5"
"r_2","BG","perc","2003Q1","1","44.5"
"r_2","BG","perc","2003Q1","2","36.9"
"r_2","BG","perc","2003Q2","0","43.1"
"r_2","BG","perc","2003Q2","1","47.6"
"r_2","BG","perc","2003Q2","2","38.9"
"r_2","BG","perc","2003Q3","0","43.9"
"r_2","BG","perc","2003Q3","1","48.5"
"r_2","BG","perc","2003Q3","2","39.7"
"r_2","BG","perc","2003Q4","0","42.3"
"r_2","BG","perc","2003Q4","1","46.8"
"r_2","BG","perc","2003Q4","2","38.2"
"r_2","BG","perc","2004Q1","0","41.7"
"r_2","BG","perc","2004Q1","1","46.2"
"r_2","BG","perc","2004Q1","2","37.5"
"r_2","BG","perc","2004Q2","0","44.5"
"r_2","BG","perc","2004Q2","1","49.1"
"r_2","BG","perc","2004Q2","2","40.2"
"r_2","BG","perc","2004Q3","0","45.3"
"r_2","BG","perc","2004Q3","1","49.8"
"r_2","BG","perc","2004Q3","2","41.1"
"r_2","BG","perc","2004Q4","0","43.6"
"r_2","BG","perc","2004Q4","1","48.2"
"r_2","BG","perc","2004Q4","2","39.3"
"r_2","BG","perc","2005Q1","0","42.5"
"r_2","BG","perc","2005Q1","1","47.2"
"r_2","BG","perc","2005Q1","2","38.2"
"r_2","BG","perc","2005Q2","0","45.1"
"r_2","BG","perc","2005Q2","1","50.1"
"r_2","BG","perc","2005Q2","2","40.5"
"r_2","BG","perc","2005Q3","0","46.4"
"r_2","BG","perc","2005Q3","1","51.8"
"r_2","BG","perc","2005Q3","2","41.5"
"r_2","BG","perc","2005Q4","0","44.7"
"r_2","BG","perc","2005Q4","1","49.8"
"r_2","BG","perc","2005Q4","2","39.9"
"r_2","BG","perc","2006Q1","0","44.2"
"r_2","BG","perc","2006Q1","1","49"
"r_2","BG","perc","2006Q1","2","39.7"
"r_2","BG","perc","2006Q2","0","47.1"
"r_2","BG","perc","2006Q2","1","52.2"
"r_2","BG","perc","2006Q2","2","42.5"
"r_2","BG","perc","2006Q3","0","48.1"
"r_2","BG","perc","2006Q3","1","53.1"
"r_2","BG","perc","2006Q3","2","43.4"
"r_2","BG","perc","2006Q4","0","47.4"
"r_2","BG","perc","2006Q4","1","52.8"
"r_2","BG","perc","2006Q4","2","42.5"
"r_2","BG","perc","2007Q1","0","47.2"
"r_2","BG","perc","2007Q1","1","52.4"
"r_2","BG","perc","2007Q1","2","42.5"
"r_2","BG","perc","2007Q2","0","49"
"r_2","BG","perc","2007Q2","1","54.2"
"r_2","BG","perc","2007Q2","2","44.2"
"r_2","BG","perc","2007Q3","0","49.9"
"r_2","BG","perc","2007Q3","1","55.4"
"r_2","BG","perc","2007Q3","2","44.9"
"r_2","BG","perc","2007Q4","0","49.8"
"r_2","BG","perc","2007Q4","1","55.5"
"r_2","BG","perc","2007Q4","2","44.5"
"r_2","BG","perc","2008Q1","0","49.7"
"r_2","BG","perc","2008Q1","1","55.1"
"r_2","BG","perc","2008Q1","2","44.8"
"r_2","BG","perc","2008Q2","0","51"
"r_2","BG","perc","2008Q2","1","56.5"
"r_2","BG","perc","2008Q2","2","45.8"
"r_2","BG","perc","2008Q3","0","51.6"
"r_2","BG","perc","2008Q3","1","57.5"
"r_2","BG","perc","2008Q3","2","46.2"
"r_2","BG","perc","2008Q4","0","50.8"
"r_2","BG","perc","2008Q4","1","56.8"
"r_2","BG","perc","2008Q4","2","45.3"
"r_2","BG","perc","2009Q1","0","49.5"
"r_2","BG","perc","2009Q1","1","55.1"
"r_2","BG","perc","2009Q1","2","44.5"
"r_2","BG","perc","2009Q2","0","50.1"
"r_2","BG","perc","2009Q2","1","55.6"
"r_2","BG","perc","2009Q2","2","45.1"
"r_2","BG","perc","2009Q3","0","49.8"
"r_2","BG","perc","2009Q3","1","55.3"
"r_2","BG","perc","2009Q3","2","44.8"
"r_2","BG","perc","2009Q4","0","48.2"
"r_2","BG","perc","2009Q4","1","53.6"
"r_2","BG","perc","2009Q4","2","43.2"
"r_2","BG","perc","2010Q1","0","47.2"
"r_2","BG","perc","2010Q1","1","52.4"
"r_2","BG","perc","2010Q1","2","42.4"
"r_2","BG","perc","2010Q2","0","48.2"
"r_2","BG","perc","2010Q2","1","53.5"
"r_2","BG","perc","2010Q2","2","43.3"
"r_2","BG","perc","2010Q3","0","48.8"
"r_2","BG","perc","2010Q3","1","54"
"r_2","BG","perc","2010Q3","2","43.9"
"r_2","BG","perc","2010Q4","0","47.4"
"r_2","BG","perc","2010Q4","1","51.9"
"r_2","BG","perc","2010Q4","2","43.2"
"r_2","BG","perc","2011Q1","0","45.6"
"r_2","BG","perc","2011Q1","1","50.1"
"r_2","BG","perc","2011Q1","2","41.5"
"r_2","BG","perc","2011Q2","0","46.3"
"r_2","BG","perc","2011Q2","1","50.9"
"r_2","BG","perc","2011Q2","2","42"
"r_2","BG","perc","2011Q3","0","47.7"
"r_2","BG","perc","2011Q3","1","52.5"
"r_2","BG","perc","2011Q3","2","43.3"
"r_2","BG","perc","2011Q4","0","46.7"
"r_2","BG","perc","2011Q4","1","50.8"
"r_2","BG","perc","2011Q4","2","42.9"
"r_2","BG","perc","2012Q1","0","45.1"
"r_2","BG","perc","2012Q1","1","49"
"r_2","BG","perc","2012Q1","2","41.5"
"r_2","BG","perc","2012Q2","0","46.2"
"r_2","BG","perc","2012Q2","1","50.3"
"r_2","BG","perc","2012Q2","2","42.4"
"r_2","BG","perc","2012Q3","0","47.9"
"r_2","BG","perc","2012Q3","1","52.3"
"r_2","BG","perc","2012Q3","2","43.9"
"r_2","BG","perc","2012Q4","0","47"
"r_2","BG","perc","2012Q4","1","51.5"
"r_2","BG","perc","2012Q4","2","42.7"
"r_2","BG","perc","2013Q1","0","45.6"
"r_2","BG","perc","2013Q1","1","49.7"
"r_2","BG","perc","2013Q1","2","41.7"
"r_2","BG","perc","2013Q2","0","47"
"r_2","BG","perc","2013Q2","1","51.1"
"r_2","BG","perc","2013Q2","2","43.1"
"r_2","BG","perc","2013Q3","0","48.2"
"r_2","BG","perc","2013Q3","1","52.9"
"r_2","BG","perc","2013Q3","2","43.9"
