RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG","perc","2003Q1","0","50.2"
"r_2","BG","perc","2003Q1","1","53.3"
"r_2","BG","perc","2003Q1","2","47.1"
"r_2","BG","perc","2003Q2","0","53.1"
"r_2","BG","perc","2003Q2","1","56.7"
"r_2","BG","perc","2003Q2","2","49.5"
"r_2","BG","perc","2003Q3","0","54.2"
"r_2","BG","perc","2003Q3","1","58"
"r_2","BG","perc","2003Q3","2","50.5"
"r_2","BG","perc","2003Q4","0","52.5"
"r_2","BG","perc","2003Q4","1","56.2"
"r_2","BG","perc","2003Q4","2","48.8"
"r_2","BG","perc","2004Q1","0","51.6"
"r_2","BG","perc","2004Q1","1","55.4"
"r_2","BG","perc","2004Q1","2","48"
"r_2","BG","perc","2004Q2","0","55.1"
"r_2","BG","perc","2004Q2","1","58.7"
"r_2","BG","perc","2004Q2","2","51.6"
"r_2","BG","perc","2004Q3","0","56"
"r_2","BG","perc","2004Q3","1","59.6"
"r_2","BG","perc","2004Q3","2","52.6"
"r_2","BG","perc","2004Q4","0","54.1"
"r_2","BG","perc","2004Q4","1","58"
"r_2","BG","perc","2004Q4","2","50.3"
"r_2","BG","perc","2005Q1","0","53"
"r_2","BG","perc","2005Q1","1","56.9"
"r_2","BG","perc","2005Q1","2","49.2"
"r_2","BG","perc","2005Q2","0","56.2"
"r_2","BG","perc","2005Q2","1","60.2"
"r_2","BG","perc","2005Q2","2","52.3"
"r_2","BG","perc","2005Q3","0","57.9"
"r_2","BG","perc","2005Q3","1","62.3"
"r_2","BG","perc","2005Q3","2","53.5"
"r_2","BG","perc","2005Q4","0","56"
"r_2","BG","perc","2005Q4","1","60.6"
"r_2","BG","perc","2005Q4","2","51.6"
"r_2","BG","perc","2006Q1","0","55.5"
"r_2","BG","perc","2006Q1","1","59.6"
"r_2","BG","perc","2006Q1","2","51.5"
"r_2","BG","perc","2006Q2","0","59.1"
"r_2","BG","perc","2006Q2","1","63.3"
"r_2","BG","perc","2006Q2","2","55"
"r_2","BG","perc","2006Q3","0","60.3"
"r_2","BG","perc","2006Q3","1","64.1"
"r_2","BG","perc","2006Q3","2","56.5"
"r_2","BG","perc","2006Q4","0","59.8"
"r_2","BG","perc","2006Q4","1","64.1"
"r_2","BG","perc","2006Q4","2","55.5"
"r_2","BG","perc","2007Q1","0","59.7"
"r_2","BG","perc","2007Q1","1","64.1"
"r_2","BG","perc","2007Q1","2","55.4"
"r_2","BG","perc","2007Q2","0","61.6"
"r_2","BG","perc","2007Q2","1","65.5"
"r_2","BG","perc","2007Q2","2","57.7"
"r_2","BG","perc","2007Q3","0","62.7"
"r_2","BG","perc","2007Q3","1","66.8"
"r_2","BG","perc","2007Q3","2","58.6"
"r_2","BG","perc","2007Q4","0","62.9"
"r_2","BG","perc","2007Q4","1","67.4"
"r_2","BG","perc","2007Q4","2","58.5"
"r_2","BG","perc","2008Q1","0","62.6"
"r_2","BG","perc","2008Q1","1","66.9"
"r_2","BG","perc","2008Q1","2","58.4"
"r_2","BG","perc","2008Q2","0","63.9"
"r_2","BG","perc","2008Q2","1","68.4"
"r_2","BG","perc","2008Q2","2","59.5"
"r_2","BG","perc","2008Q3","0","65"
"r_2","BG","perc","2008Q3","1","69.6"
"r_2","BG","perc","2008Q3","2","60.4"
"r_2","BG","perc","2008Q4","0","64.3"
"r_2","BG","perc","2008Q4","1","69.2"
"r_2","BG","perc","2008Q4","2","59.6"
"r_2","BG","perc","2009Q1","0","62.6"
"r_2","BG","perc","2009Q1","1","67.1"
"r_2","BG","perc","2009Q1","2","58.3"
"r_2","BG","perc","2009Q2","0","63.3"
"r_2","BG","perc","2009Q2","1","67.7"
"r_2","BG","perc","2009Q2","2","59"
"r_2","BG","perc","2009Q3","0","63.1"
"r_2","BG","perc","2009Q3","1","67.4"
"r_2","BG","perc","2009Q3","2","58.9"
"r_2","BG","perc","2009Q4","0","61.2"
"r_2","BG","perc","2009Q4","1","65.3"
"r_2","BG","perc","2009Q4","2","57.2"
"r_2","BG","perc","2010Q1","0","58.9"
"r_2","BG","perc","2010Q1","1","62.6"
"r_2","BG","perc","2010Q1","2","55.2"
"r_2","BG","perc","2010Q2","0","60.3"
"r_2","BG","perc","2010Q2","1","64.1"
"r_2","BG","perc","2010Q2","2","56.4"
"r_2","BG","perc","2010Q3","0","60.9"
"r_2","BG","perc","2010Q3","1","64.6"
"r_2","BG","perc","2010Q3","2","57.1"
"r_2","BG","perc","2010Q4","0","59.1"
"r_2","BG","perc","2010Q4","1","62"
"r_2","BG","perc","2010Q4","2","56.2"
"r_2","BG","perc","2011Q1","0","57.2"
"r_2","BG","perc","2011Q1","1","60.1"
"r_2","BG","perc","2011Q1","2","54.3"
"r_2","BG","perc","2011Q2","0","58.1"
"r_2","BG","perc","2011Q2","1","61"
"r_2","BG","perc","2011Q2","2","55.2"
"r_2","BG","perc","2011Q3","0","59.8"
"r_2","BG","perc","2011Q3","1","62.9"
"r_2","BG","perc","2011Q3","2","56.7"
"r_2","BG","perc","2011Q4","0","58.6"
"r_2","BG","perc","2011Q4","1","60.9"
"r_2","BG","perc","2011Q4","2","56.3"
"r_2","BG","perc","2012Q1","0","56.9"
"r_2","BG","perc","2012Q1","1","59"
"r_2","BG","perc","2012Q1","2","54.8"
"r_2","BG","perc","2012Q2","0","58.3"
"r_2","BG","perc","2012Q2","1","60.8"
"r_2","BG","perc","2012Q2","2","55.9"
"r_2","BG","perc","2012Q3","0","60.6"
"r_2","BG","perc","2012Q3","1","63.1"
"r_2","BG","perc","2012Q3","2","58"
"r_2","BG","perc","2012Q4","0","59.4"
"r_2","BG","perc","2012Q4","1","62.2"
"r_2","BG","perc","2012Q4","2","56.5"
"r_2","BG","perc","2013Q1","0","57.7"
"r_2","BG","perc","2013Q1","1","60.1"
"r_2","BG","perc","2013Q1","2","55.3"
"r_2","BG","perc","2013Q2","0","59.5"
"r_2","BG","perc","2013Q2","1","61.7"
"r_2","BG","perc","2013Q2","2","57.1"
"r_2","BG","perc","2013Q3","0","61.1"
"r_2","BG","perc","2013Q3","1","63.9"
"r_2","BG","perc","2013Q3","2","58.3"
"r_2","BG","perc","2013Q4","0","59.6"
"r_2","BG","perc","2013Q4","1","62.5"
"r_2","BG","perc","2013Q4","2","56.6"
"r_2","BG","perc","2014Q1","0","59"
"r_2","BG","perc","2014Q1","1","61.8"
"r_2","BG","perc","2014Q1","2","56.2"
"r_2","BG","perc","2014Q2","0","61"
"r_2","BG","perc","2014Q2","1","63.7"
"r_2","BG","perc","2014Q2","2","58.1"
"r_2","BG","perc","2014Q3","0","62.8"
"r_2","BG","perc","2014Q3","1","65.8"
"r_2","BG","perc","2014Q3","2","59.7"
"r_2","BG","perc","2014Q4","0","61.4"
"r_2","BG","perc","2014Q4","1","64"
"r_2","BG","perc","2014Q4","2","58.8"
"r_2","BG","perc","2015Q1","0","61"
"r_2","BG","perc","2015Q1","1","63.8"
"r_2","BG","perc","2015Q1","2","58.1"
"r_2","BG","perc","2015Q2","0","62.4"
"r_2","BG","perc","2015Q2","1","65.4"
"r_2","BG","perc","2015Q2","2","59.5"
"r_2","BG","perc","2015Q3","0","64.5"
"r_2","BG","perc","2015Q3","1","67.6"
"r_2","BG","perc","2015Q3","2","61.4"
"r_2","BG","perc","2015Q4","0","63.7"
"r_2","BG","perc","2015Q4","1","67"
"r_2","BG","perc","2015Q4","2","60.4"
"r_2","BG31","perc","2003Q1","0","47.5"
"r_2","BG31","perc","2003Q1","1","48.7"
"r_2","BG31","perc","2003Q1","2","46.3"
"r_2","BG31","perc","2003Q2","0","48.4"
"r_2","BG31","perc","2003Q2","1","50.8"
"r_2","BG31","perc","2003Q2","2","45.9"
"r_2","BG31","perc","2003Q3","0","48.2"
"r_2","BG31","perc","2003Q3","1","51.8"
"r_2","BG31","perc","2003Q3","2","44.6"
"r_2","BG31","perc","2003Q4","0","47"
"r_2","BG31","perc","2003Q4","1","49.8"
"r_2","BG31","perc","2003Q4","2","44.3"
"r_2","BG31","perc","2004Q1","0","46.6"
"r_2","BG31","perc","2004Q1","1","49.1"
"r_2","BG31","perc","2004Q1","2","44.1"
"r_2","BG31","perc","2004Q2","0","49.3"
"r_2","BG31","perc","2004Q2","1","52.4"
"r_2","BG31","perc","2004Q2","2","46.1"
"r_2","BG31","perc","2004Q3","0","50.5"
"r_2","BG31","perc","2004Q3","1","53"
"r_2","BG31","perc","2004Q3","2","47.9"
"r_2","BG31","perc","2004Q4","0","49.5"
"r_2","BG31","perc","2004Q4","1","51.8"
"r_2","BG31","perc","2004Q4","2","47.1"
"r_2","BG31","perc","2005Q1","0","46.4"
"r_2","BG31","perc","2005Q1","1","48.7"
"r_2","BG31","perc","2005Q1","2","44.1"
"r_2","BG31","perc","2005Q2","0","50"
"r_2","BG31","perc","2005Q2","1","52.4"
